,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2014,삼성,25,C,88,41,395.2,376,350,22,4,98.9,8.46,-0.91,,0.31,,-0.01,-0.92,-1.34,,-2.46,-4.03,3.67,1.21,-0.218,0.107
1,1,1,2015,삼성,26,C,68,28,274.2,294,277,16,1,99.7,9.6,-0.4,,0.46,,0.02,0.04,1.85,,1.42,2.87,2.4,3.82,0.131,0.353
2,2,2,2016,삼성,27,C,82,39,381.1,324,291,28,5,98.5,7.53,-0.85,,-0.65,,-0.29,-0.89,-5.32,,-6.39,-10.83,3.91,-2.48,-0.567,-0.22
3,3,3,2018,두산,29,C,6,1,18.0,18,16,2,0,100.0,9.0,-0.09,,0.06,,,-0.12,-0.89,,-0.76,-15.74,0.17,-0.6,-0.068,-0.053
4,4,4,2019,두산,30,C,23,8,91.0,51,47,4,0,100.0,5.04,-0.16,,0.27,,,0.6,-0.15,,0.61,3.25,0.84,1.45,0.063,0.149
5,5,5,2020,두산,31,C,2,0,5.0,5,5,0,0,100.0,9.0,0.0,,0.02,,,,0.34,,0.25,0.75,0.05,0.3,0.024,0.028
6,6,6,2020,SSG,31,C,45,35,297.1,282,262,17,3,98.9,8.45,0.11,,-0.56,,0.08,-2.77,0.68,,-2.66,-7.81,2.98,0.32,-0.25,0.03
7,7,7,2021,SSG,32,C,87,38,369.0,324,301,22,1,99.7,7.88,-0.26,,0.69,,-0.04,-1.59,-0.82,,-1.76,-2.82,3.31,1.55,-0.175,0.154
8,8,8,2022,SSG,33,C,22,15,139.0,114,109,5,0,100.0,7.38,0.63,,0.42,,0.09,-0.62,-0.07,,0.47,3.08,1.32,1.79,0.049,0.185
9,9,9,2023,SSG,34,C,16,4,55.0,48,45,2,1,97.9,7.69,0.0,,-0.35,,-0.01,-0.98,-1.45,,-2.36,-21.25,0.38,-1.98,-0.241,-0.202
