,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2009,우리,19,1B,16,,,,,,1,,,0.05,,,,,,,,0.05,0.48,,,0.005,
1,2010,넥센,20,1B,64,,,,,,3,,,0.34,,,,,,,,0.34,0.76,,,0.032,
2,2011,넥센,21,3B,35,,,,,,4,,,0.46,,,,,,,,0.46,1.89,,,0.046,
3,2012,넥센,22,3B,7,,,,,,0,,,0.10,,,,,,,,0.10,2.12,,,0.011,
4,2015,넥센,25,3B,6,1,22.0,11,1,9,1,90.9,4.09,0.96,,0.03,-0.03,0.07,,,,1.02,24.53,0.00,1.02,0.095,0.095
5,2016,넥센,26,1B,9,4,37.0,38,34,2,2,94.7,8.76,-0.88,,0.04,,,,,,-0.83,-5.21,-0.26,-1.09,-0.074,-0.097
6,2016,넥센,26,3B,7,2,20.0,7,1,5,1,85.7,2.70,-1.16,,0.02,,,,,,-1.14,-7.13,0.00,-1.14,-0.101,-0.101
7,2017,넥센,27,1B,39,33,275.2,272,258,10,4,98.5,8.75,-1.15,,-0.29,,0.05,,,,-1.39,-3.34,-2.64,-4.03,-0.128,-0.370
8,2017,넥센,27,3B,22,14,124.0,43,10,28,5,88.4,2.76,-3.70,,0.10,-0.67,-0.32,,,,-4.60,-11.03,0.00,-4.60,-0.422,-0.422
9,2018,넥센,28,1B,53,21,256.1,260,245,14,1,99.6,9.09,1.64,,-0.24,,-0.19,,,,1.21,1.87,-2.18,-0.97,0.108,-0.087
10,2018,넥센,28,3B,28,20,161.0,42,12,29,1,97.6,2.29,-1.95,,0.15,-1.34,0.33,,,,-2.81,-4.35,0.00,-2.81,-0.251,-0.251
11,2019,키움,29,1B,40,20,221.1,197,179,15,3,98.5,7.89,-5.06,,-0.77,,0.03,,,,-5.80,-7.02,-1.98,-7.78,-0.597,-0.800
12,2019,키움,29,3B,67,63,511.0,155,31,117,7,95.5,2.61,2.47,,-0.04,-0.65,-0.60,,,,1.18,1.43,0.00,1.18,0.121,0.121
13,2020,KIA,30,1B,6,3,26.0,28,26,1,1,96.4,9.35,-1.11,,0.02,,,,,,-1.09,-14.20,-0.22,-1.31,-0.102,-0.123
14,2020,KIA,30,3B,8,7,58.0,15,3,10,2,86.7,2.02,-2.32,,0.04,0.03,,,,,-2.26,-29.61,0.00,-2.26,-0.213,-0.213
