,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2015,LG,20,2B,1,0,2.0,1,1,0,0,100.0,4.5,0.0,,0.0,,,,,,0.0,0.02,,,0.0,
1,1,1,2015,LG,20,SS,17,8,66.0,41,14,24,3,92.7,5.18,-1.73,,0.14,1.09,,,,,-0.5,-3.63,0.46,-0.04,-0.047,-0.004
2,2,2,2016,LG,21,SS,13,4,36.2,15,3,12,0,100.0,3.68,1.52,,0.05,-0.69,,,,,0.88,9.09,0.26,1.14,0.078,0.101
3,3,3,2017,LG,22,SS,7,2,17.0,7,4,3,0,100.0,3.71,-0.29,,0.03,0.44,,,,,0.17,3.11,0.06,0.23,0.016,0.021
4,4,4,2020,LG,25,1B,1,1,7.0,7,7,0,0,100.0,9.0,0.42,,0.01,,,,,,0.43,1.34,-0.06,0.37,0.04,0.035
5,5,5,2020,LG,25,2B,2,0,6.0,2,0,1,1,50.0,1.5,-0.75,,0.01,,,,,,-0.74,-2.32,0.02,-0.72,-0.07,-0.068
6,6,6,2020,LG,25,3B,35,17,157.0,35,11,24,0,100.0,2.01,1.38,,0.1,0.13,0.03,,,,1.64,5.13,0.0,1.64,0.154,0.154
7,7,7,2020,LG,25,SS,9,0,16.0,7,1,6,0,100.0,3.94,0.98,,0.02,,,,,,1.0,3.13,0.08,1.08,0.094,0.102
8,8,8,2021,LG,26,1B,1,0,2.0,2,2,0,0,100.0,9.0,0.51,,0.0,,,,,,0.51,14.66,,,0.05,
9,9,9,2021,LG,26,3B,2,0,5.0,2,0,1,1,50.0,1.8,-0.57,,0.0,,,,,,-0.56,-16.24,0.0,-0.56,-0.056,-0.056
10,10,10,2021,LG,26,SS,2,0,2.0,2,1,1,0,100.0,9.0,0.34,,0.0,,,,,,0.34,9.81,,,0.034,
11,11,11,2022,KT,27,1B,3,0,4.1,6,6,0,0,100.0,12.46,-0.48,,0.0,,,,,,-0.48,-1.98,-0.04,-0.52,-0.05,-0.054
12,12,12,2022,KT,27,2B,19,8,78.1,36,13,23,0,100.0,4.14,-0.64,,0.09,0.24,,,,,-0.31,-1.27,0.32,0.01,-0.032,0.001
13,13,13,2022,KT,27,3B,7,2,20.2,7,2,5,0,100.0,3.05,0.43,,0.02,0.2,,,,,0.65,2.66,0.0,0.65,0.067,0.067
14,14,14,2022,KT,27,SS,11,3,48.1,18,5,13,0,100.0,3.35,-0.33,,0.08,-0.03,,,,,-0.29,-1.18,0.36,0.07,-0.029,0.008
15,15,15,2023,KT,28,2B,6,0,12.0,5,2,3,0,100.0,3.75,-0.24,,0.03,,,,,,-0.21,-0.44,0.03,-0.18,-0.021,-0.018
16,16,16,2023,KT,28,3B,26,12,109.1,22,5,17,0,100.0,1.81,1.45,,0.25,0.33,0.09,,,,2.12,4.43,0.0,2.12,0.216,0.216
17,17,17,2023,KT,28,SS,43,14,167.1,86,32,52,2,97.7,4.52,-1.25,,0.39,1.13,,,,,0.27,0.57,1.16,1.43,0.028,0.146
18,18,18,2024,KT,29,3B,4,3,23.0,3,2,1,0,100.0,1.17,0.13,,0.16,,,,,,0.29,2.43,0.0,0.29,0.026,0.026
19,19,19,2024,KT,29,SS,11,2,34.0,15,9,6,0,100.0,3.97,0.81,,0.3,-0.17,,,,,0.94,7.92,0.14,1.08,0.085,0.098
