,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2018,롯데,26,2B,10,3,37.1,29,12,16,1,96.6,6.75,-0.19,,0.05,0.67,,,,,0.53,2.81,0.15,0.68,0.047,0.061
1,2018,롯데,26,3B,15,10,96.0,22,10,12,0,100.0,2.06,2.06,,0.09,0.25,0.33,,,,2.73,14.57,0.00,2.73,0.244,0.244
2,2018,롯데,26,SS,6,2,24.2,8,4,4,0,100.0,2.92,0.93,,0.05,0.31,,,,,1.29,6.89,0.22,1.51,0.115,0.135
3,2019,롯데,27,1B,11,8,64.1,71,66,4,1,98.6,9.79,1.65,,0.06,,0.03,,,,1.74,8.65,-0.56,1.18,0.179,0.122
4,2019,롯데,27,2B,4,2,16.1,6,1,4,1,83.3,2.76,-0.73,,0.02,,,,,,-0.71,-3.51,0.08,-0.63,-0.073,-0.065
5,2019,롯데,27,3B,3,1,12.0,1,0,1,0,100.0,0.75,0.13,,0.01,-0.12,,,,,0.02,0.08,0.00,0.02,0.002,0.002
6,2019,롯데,27,SS,3,1,8.0,2,0,2,0,100.0,2.25,-0.07,,0.01,,,,,,-0.06,-0.31,0.06,0.00,-0.006,0.000
7,2020,키움,28,1B,31,13,132.1,141,129,11,1,99.3,9.52,-1.90,,0.12,,0.06,,,,-1.72,-2.08,-1.08,-2.80,-0.162,-0.263
8,2020,키움,28,2B,9,5,51.0,35,16,19,0,100.0,6.18,-0.37,,0.05,0.12,,,,,-0.21,-0.25,0.25,0.04,-0.020,0.004
9,2020,키움,28,3B,94,78,681.0,201,53,140,8,96.0,2.55,5.76,,0.41,-1.00,-0.35,,,,4.82,5.83,0.00,4.82,0.453,0.453
10,2021,키움,29,1B,30,9,121.0,120,112,8,0,100.0,8.93,-1.37,,0.10,,,,,,-1.27,-1.58,-0.92,-2.19,-0.125,-0.217
11,2021,키움,29,2B,13,6,57.1,39,13,26,0,100.0,6.12,0.50,,0.07,0.10,,,,,0.67,0.84,0.23,0.90,0.066,0.089
12,2021,키움,29,3B,77,44,422.1,124,28,88,8,93.5,2.47,1.92,,-0.18,0.35,0.50,,,,2.58,3.23,0.00,2.58,0.256,0.256
13,2021,키움,29,SS,3,2,18.0,14,5,8,1,92.9,6.50,-1.83,,0.03,0.09,,,,,-1.71,-2.14,0.16,-1.55,-0.170,-0.154
14,2022,키움,30,1B,102,40,512.0,572,530,37,5,99.1,9.97,2.55,,0.39,,-0.05,,,,2.89,3.62,-4.16,-1.27,0.298,-0.131
15,2022,키움,30,3B,14,3,36.1,15,3,11,1,93.3,3.47,1.23,,0.03,-0.26,,,,,1.00,1.25,0.00,1.00,0.103,0.103
16,2023,키움,31,1B,32,11,143.0,153,144,7,2,98.7,9.50,-0.52,,0.26,,0.06,,,,-0.20,-0.70,-1.24,-1.44,-0.020,-0.147
17,2023,키움,31,3B,6,0,9.0,3,0,3,0,100.0,3.00,0.83,,0.02,0.37,,,,,1.22,4.29,0.00,1.22,0.125,0.125
18,2024,삼성,32,1B,3,3,18.0,14,13,0,1,92.9,6.50,1.18,,-0.41,,,,,,0.77,1.90,-0.12,0.65,0.070,0.059
19,2024,삼성,32,2B,2,1,7.0,7,3,4,0,100.0,9.00,-0.60,,0.04,,,,,,-0.56,-1.38,0.04,-0.52,-0.051,-0.047
20,2024,삼성,32,3B,48,30,267.1,81,31,48,2,97.5,2.66,2.60,,0.83,0.96,-0.17,,,,4.22,10.48,0.00,4.22,0.386,0.386
