,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2011,SK,19,RF,6,,,,,,1,,,0.04,,,,,,,,0.04,0.91,,,0.004,
1,2012,SK,20,RF,14,,,,,,0,,,0.04,,,,,,,,0.04,0.38,,,0.004,
2,2013,SK,21,CF,3,1,13.0,2,2,0,0,100.0,1.38,0.27,,0.02,,,,,,0.29,10.62,0.00,0.29,0.030,0.030
3,2017,SK,25,LF,30,16,148.1,30,27,0,3,90.0,1.64,-3.07,-0.14,-1.15,,,,,,-4.36,-6.98,-0.71,-5.07,-0.400,-0.466
4,2017,SK,25,CF,12,9,79.0,22,21,1,0,100.0,2.51,1.84,0.35,0.08,,,,,,2.26,3.61,0.00,2.26,0.207,0.207
5,2017,SK,25,RF,28,8,113.2,29,27,0,2,93.1,2.14,2.14,-0.50,-0.82,,,,,,0.82,1.31,-0.49,0.33,0.075,0.030
6,2018,SK,26,LF,19,10,100.1,25,23,0,2,92.0,2.06,-0.46,-0.19,-0.34,,,,,,-0.99,-1.48,-0.40,-1.39,-0.088,-0.124
7,2018,SK,26,CF,33,20,196.2,41,38,0,3,92.7,1.74,0.91,-0.89,-1.27,,,,,,-1.25,-1.88,0.00,-1.25,-0.112,-0.112
8,2018,SK,26,RF,35,14,146.1,37,36,1,0,100.0,2.28,2.01,0.13,0.20,,,,,,2.33,3.50,-0.57,1.76,0.208,0.157
9,2019,SK,27,1B,1,0,1.0,2,1,1,0,100.0,18.00,-0.23,,0.00,,,,,,-0.23,-2.58,,,-0.024,
10,2019,SK,27,LF,2,0,6.0,1,1,0,0,100.0,1.50,0.19,0.11,0.01,,,,,,0.31,3.47,-0.02,0.29,0.032,0.030
11,2019,SK,27,RF,9,3,35.0,9,9,0,0,100.0,2.31,-0.24,-0.61,0.06,,,,,,-0.79,-8.70,-0.13,-0.92,-0.081,-0.094
12,2020,SK,28,LF,10,6,48.2,19,18,0,1,94.7,3.33,1.60,-0.51,-0.45,,,,,,0.64,1.85,-0.22,0.42,0.060,0.040
13,2020,SK,28,CF,7,6,47.0,11,11,0,0,100.0,2.11,-1.59,-0.40,0.05,,,,,,-1.93,-5.57,0.00,-1.93,-0.182,-0.182
14,2020,SK,28,RF,25,19,184.1,52,49,0,3,94.2,2.39,2.24,-0.61,-1.30,,,,,,0.34,0.97,-0.85,-0.51,0.032,-0.048
15,2021,SSG,29,CF,2,2,14.0,5,3,1,1,80.0,2.57,0.12,0.23,-0.48,,,,,,-0.14,-0.23,0.00,-0.14,-0.014,-0.014
16,2021,NC,29,LF,43,29,240.1,54,52,2,0,100.0,2.02,-1.29,-0.50,0.22,,,,,,-1.57,-2.57,-1.09,-2.66,-0.156,-0.264
17,2021,NC,29,CF,13,8,66.0,17,16,1,0,100.0,2.32,-0.31,-0.59,0.07,,,,,,-0.83,-1.36,0.00,-0.83,-0.082,-0.082
18,2021,NC,29,RF,31,4,79.0,18,17,0,1,94.4,1.94,-0.94,-0.10,-0.39,,,,,,-1.43,-2.34,-0.27,-1.70,-0.142,-0.169
19,2022,NC,30,LF,5,3,30.0,6,6,0,0,100.0,1.80,1.21,0.10,0.05,,,,,,1.36,5.02,-0.12,1.24,0.140,0.128
20,2022,NC,30,CF,13,4,51.0,12,12,0,0,100.0,2.12,-0.83,0.01,0.07,,,,,,-0.74,-2.75,0.00,-0.74,-0.077,-0.077
21,2022,NC,30,RF,14,1,34.0,3,3,0,0,100.0,0.79,-0.49,0.19,0.06,,,,,,-0.24,-0.90,-0.10,-0.34,-0.025,-0.035
