,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2013,삼성,19,2B,2,2,15.0,7,3,4,0,100.0,4.2,0.5,,0.02,,,,,,0.52,9.34,0.05,0.57,0.052,0.057
1,2013,삼성,19,3B,1,1,9.0,4,2,2,0,100.0,4.0,0.01,,0.01,,,,,,0.02,0.28,0.0,0.02,0.002,0.002
2,2013,삼성,19,SS,4,4,31.2,18,9,9,0,100.0,5.12,0.44,,0.05,-0.57,,,,,-0.08,-1.49,0.26,0.18,-0.008,0.018
3,2014,삼성,20,3B,2,0,4.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.12,0.0,0.0,0.0,0.0
4,2014,삼성,20,SS,2,0,2.0,3,1,2,0,100.0,13.5,0.53,,0.0,-0.31,,,,,0.22,6.3,,,0.019,
5,2017,KT,23,2B,46,23,223.0,148,72,76,0,100.0,5.97,-2.5,,0.22,-0.36,,,,,-2.64,-3.07,1.04,-1.6,-0.242,-0.147
6,2017,KT,23,3B,34,25,200.0,57,18,36,3,94.7,2.43,-0.69,,0.16,-0.53,0.18,,,,-0.87,-1.01,0.0,-0.87,-0.08,-0.08
7,2017,KT,23,SS,64,42,387.2,213,71,135,7,96.7,4.78,1.62,,-0.92,-1.42,,,,,-0.73,-0.84,3.86,3.13,-0.067,0.288
8,2018,KT,24,2B,29,10,107.0,70,27,42,1,98.6,5.8,1.51,,-0.36,0.21,,,,,1.36,3.0,0.42,1.78,0.121,0.159
9,2018,KT,24,3B,17,4,48.1,13,6,6,1,92.3,2.23,-0.92,,0.05,,0.18,,,,-0.69,-1.54,0.0,-0.69,-0.062,-0.062
10,2018,KT,24,SS,20,14,116.1,55,18,31,6,89.1,3.79,-1.63,,-0.29,-2.23,,,,,-4.14,-9.17,1.12,-3.02,-0.37,-0.27
11,2019,SSG,25,2B,9,6,50.2,30,15,15,0,100.0,5.33,1.65,,0.07,0.31,,,,,2.04,10.88,0.21,2.25,0.21,0.231
12,2019,SSG,25,SS,13,4,40.0,18,7,11,0,100.0,4.05,-0.39,,0.06,0.18,,,,,-0.15,-0.8,0.24,0.09,-0.015,0.009
13,2019,KT,25,2B,3,0,10.2,7,6,1,0,100.0,5.91,-1.3,,0.02,0.34,,,,,-0.95,-5.05,0.04,-0.91,-0.097,-0.093
14,2019,KT,25,3B,2,1,5.1,1,0,1,0,100.0,1.69,0.52,,0.0,0.0,-0.22,,,,0.31,1.66,0.0,0.31,0.032,0.032
15,2019,KT,25,SS,1,1,5.0,1,0,1,0,100.0,1.8,-0.81,,0.01,,,,,,-0.8,-4.29,0.06,-0.74,-0.083,-0.077
16,2020,SSG,26,2B,7,1,12.2,11,4,7,0,100.0,7.82,-0.43,,0.01,,,,,,-0.42,-0.67,0.02,-0.4,-0.039,-0.037
17,2020,SSG,26,3B,16,1,41.2,12,2,9,1,91.7,2.38,-1.18,,0.03,0.25,,,,,-0.91,-1.47,0.0,-0.91,-0.086,-0.086
18,2020,SSG,26,SS,65,30,303.2,160,48,106,6,96.3,4.56,-3.47,,-0.07,2.9,,,,,-0.65,-1.04,2.1,1.45,-0.061,0.137
19,2021,SSG,27,2B,6,3,36.0,23,7,15,1,95.7,5.5,1.06,,-0.45,0.64,,,,,1.24,2.63,0.16,1.4,0.123,0.139
20,2021,SSG,27,3B,7,2,29.0,8,2,5,1,87.5,2.17,-2.15,,0.02,-0.14,0.1,,,,-2.17,-4.6,0.0,-2.17,-0.215,-0.215
21,2021,SSG,27,SS,1,0,2.0,0,0,0,0,,0.0,-0.11,,0.0,,,,,,-0.11,-0.24,,,-0.011,
22,2021,NC,27,2B,31,17,163.0,82,39,41,2,97.6,4.42,-1.09,,-0.29,-0.36,,,,,-1.74,-3.68,0.67,-1.07,-0.172,-0.106
23,2021,NC,27,3B,18,7,75.2,14,3,11,0,100.0,1.67,0.48,,0.06,-0.14,,,,,0.39,0.83,0.0,0.39,0.039,0.039
24,2021,NC,27,SS,1,0,1.0,0,0,0,0,,0.0,-0.04,,0.0,,,,,,-0.03,-0.07,0.02,-0.01,-0.003,-0.001
