,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2008,KIA,22,P,2,,,,,,0,,,,,,,,,,,,,,,,
1,2012,KIA,26,P,3,,,,,,0,,,,,,,,,,,,,,,,
2,2013,KIA,27,P,13,0,8.1,1,1,0,0,100.0,1.08,,,,,,,,,0.00,0.00,,,0.000,
3,2013,SK,27,P,57,0,40.1,10,3,6,1,90.0,2.01,,,,,,,,,0.00,0.00,,,0.000,
4,2015,LG,29,P,26,0,21.0,6,1,5,0,100.0,2.57,,,,,,,,,0.00,0.00,,,0.000,
5,2015,SK,29,P,12,0,7.1,0,0,0,0,,0.00,,,,,,,,,0.00,0.00,,,0.000,
6,2016,LG,30,P,73,0,54.0,7,1,6,0,100.0,1.17,,,,,,,,,0.00,0.00,,,0.000,
7,2017,LG,31,P,74,0,52.2,13,1,12,0,100.0,2.22,,,,,,,,,0.00,0.00,,,0.000,
8,2018,LG,32,P,64,0,43.2,10,3,7,0,100.0,2.06,,,,,,,,,0.00,,,,0.000,
9,2020,LG,34,P,74,0,50.0,10,3,7,0,100.0,1.80,,,,,,,,,0.00,0.00,,,0.000,
10,2021,LG,35,P,48,0,44.1,13,4,9,0,100.0,2.64,,,,,,,,,0.00,0.00,,,0.000,
11,2022,LG,36,P,63,0,45.0,9,3,6,0,100.0,1.80,,,,,,,,,0.00,0.00,,,0.000,
