,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2019,NC,23,CF,9,2,24.1,11,11,0,0,100.0,4.07,0.1,-0.89,0.03,,,,,,-0.77,-4.59,0.0,-0.77,-0.079,-0.079
1,1,1,2021,NC,25,LF,15,3,43.0,14,14,0,0,100.0,2.93,1.67,0.22,0.04,,,,,,1.93,5.79,-0.16,1.77,0.191,0.175
2,2,2,2021,NC,25,CF,16,4,55.0,20,20,0,0,100.0,3.27,0.8,-0.77,0.06,,,,,,0.09,0.26,0.0,0.09,0.009,0.009
3,3,3,2022,NC,26,LF,3,0,5.0,0,0,0,0,,0.0,0.0,,0.01,,,,,,0.01,0.02,-0.01,0.0,0.001,0.0
4,4,4,2022,NC,26,CF,27,6,87.0,19,18,0,1,94.7,1.86,-2.78,-0.04,-0.36,,,,,,-3.18,-10.4,0.0,-3.18,-0.328,-0.328
5,5,5,2022,NC,26,RF,3,0,2.2,0,0,0,0,,0.0,0.0,-0.08,0.0,,,,,,-0.08,-0.25,,,-0.008,
6,6,6,2023,LG,27,LF,8,0,16.1,2,2,0,0,100.0,1.1,-1.1,0.08,0.03,,,,,,-0.99,-3.76,-0.03,-1.02,-0.101,-0.104
7,7,7,2023,LG,27,CF,12,1,35.0,13,13,0,0,100.0,3.34,1.56,-1.19,0.04,,,,,,0.42,1.59,0.0,0.42,0.043,0.043
8,8,8,2023,LG,27,RF,1,0,1.0,1,1,0,0,100.0,9.0,0.71,,0.0,,,,,,0.71,2.7,-0.01,0.7,0.073,0.072
9,9,9,2024,LG,28,LF,21,0,37.0,14,13,1,0,100.0,3.41,2.33,0.08,0.04,,,,,,2.46,6.21,-0.1,2.36,0.224,0.215
10,10,10,2024,LG,28,RF,8,1,17.0,6,5,1,0,100.0,3.18,-1.11,0.77,0.05,,,,,,-0.29,-0.73,-0.04,-0.33,-0.027,-0.03
