,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2019,키움,20,RF,1,0,4.0,2,2,0,0,100.0,4.5,0.75,,0.01,,,,,,0.76,109.41,-0.01,0.75,0.078,0.077
1,1,1,2020,롯데,21,LF,1,1,9.0,0,0,0,0,,0.0,0.04,0.05,0.01,,,,,,0.1,1.07,-0.04,0.06,0.009,0.005
2,2,2,2020,롯데,21,CF,4,4,31.0,14,14,0,0,100.0,4.06,1.89,-0.67,0.03,,,,,,1.26,13.97,0.0,1.26,0.119,0.119
3,3,3,2020,롯데,21,RF,2,1,8.1,1,1,0,0,100.0,1.08,-0.31,0.17,0.01,,,,,,-0.12,-1.34,-0.04,-0.16,-0.011,-0.015
4,4,4,2021,롯데,22,P,1,0,1.0,0,0,0,0,,0.0,,,,,,,,,0.0,0.0,,,0.0,
5,5,5,2021,롯데,22,LF,29,20,177.0,39,35,3,1,97.4,1.93,1.27,-0.65,-0.34,,,,,,0.28,0.43,-0.84,-0.56,0.028,-0.055
6,6,6,2021,롯데,22,CF,47,39,315.1,78,77,0,1,98.7,2.2,0.68,-0.12,-0.18,,,,,,0.38,0.58,0.0,0.38,0.038,0.038
7,7,7,2021,롯데,22,RF,20,9,93.0,27,26,1,0,100.0,2.61,0.92,-0.07,0.13,,,,,,0.98,1.49,-0.46,0.52,0.097,0.052
8,8,8,2022,롯데,23,1B,1,1,9.0,7,7,0,0,100.0,7.0,-0.47,,0.01,,,,,,-0.47,-2.03,-0.08,-0.55,-0.048,-0.056
9,9,9,2022,롯데,23,LF,4,1,12.0,5,5,0,0,100.0,3.75,0.53,0.31,0.02,,,,,,0.86,3.76,-0.04,0.82,0.089,0.085
10,10,10,2022,롯데,23,RF,16,13,115.0,18,17,0,1,94.4,1.33,-1.86,0.39,-0.28,,,,,,-1.75,-7.65,-0.48,-2.23,-0.181,-0.23
11,11,11,2024,롯데,25,LF,2,0,3.0,0,0,0,0,,0.0,0.0,,0.0,,,,,,0.0,0.05,,,0.0,
