,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2011,KIA,19,P,1,,,,,,0,,,,,,,,,,,,,,,,
1,2015,KIA,23,P,37,7,82.0,10,5,5,0,100.0,1.10,,,,,,,,,0.00,0.00,,,0.000,
2,2016,KIA,24,P,50,10,90.1,11,2,8,1,90.9,1.00,,,,,,,,,0.00,0.00,,,0.000,
3,2017,KIA,25,P,31,2,59.0,6,3,2,1,83.3,0.76,,,,,,,,,0.00,0.00,,,0.000,
4,2018,KIA,26,P,11,1,16.2,1,0,1,0,100.0,0.54,,,,,,,,,0.00,0.00,,,0.000,
5,2020,KIA,28,P,10,0,12.0,1,0,1,0,100.0,0.75,,,,,,,,,0.00,0.00,,,0.000,
6,2020,두산,28,P,50,0,56.2,12,3,8,1,91.7,1.75,,,,,,,,,0.00,0.00,,,0.000,
7,2021,두산,29,P,63,0,74.1,18,6,12,0,100.0,2.18,,,,,,,,,0.00,0.00,,,0.000,
8,2022,두산,30,P,58,0,62.0,17,5,12,0,100.0,2.47,,,,,,,,,0.00,0.00,,,0.000,
9,2023,두산,31,P,64,0,61.2,10,1,7,2,80.0,1.17,,,,,,,,,0.00,0.00,,,0.000,
10,2024,두산,32,P,64,0,59.1,14,1,12,1,92.9,1.97,,,,,,,,,0.00,0.00,,,0.000,
