,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2008,삼성,20,P,9,0,9,4,0,0,0,1,0,0,13.2,12,19,19.0,71,22,,,3,9,0,0,11,,0,0,7.9,12.51,12.51,6.16,2.27,-0.48
1,2009,삼성,21,P,43,0,43,10,0,0,3,3,0,2,60.0,40,42,42.0,281,73,,,7,41,1,0,45,,0,3,6.0,6.3,6.3,5.33,1.9,0.49
2,2010,키움,22,P,17,7,10,2,0,0,1,2,0,0,45.0,31,33,33.0,210,52,,,5,26,2,0,35,,0,2,6.2,6.6,6.6,5.04,1.73,0.0
3,2011,키움,23,P,24,6,18,6,0,0,1,4,0,0,59.2,43,44,44.0,288,68,,,3,36,9,1,74,,0,5,6.49,6.64,6.64,3.41,1.74,-0.23
4,2012,키움,24,P,33,0,33,5,0,0,2,1,0,0,45.2,24,24,24.0,210,42,,,4,39,2,0,36,,0,5,4.73,4.73,4.73,5.34,1.77,0.29
5,2013,키움,25,P,16,1,15,7,0,0,0,1,0,0,28.1,16,16,15.85,125,27,7.0,2.0,1,13,2,0,20,0.0,0,2,5.08,5.08,5.03,4.1,1.41,0.3
6,2015,키움,27,P,2,1,1,0,0,0,0,1,0,0,5.0,6,8,8.0,30,10,3.0,0.0,1,5,0,0,2,1.0,0,0,10.8,14.4,14.4,8.57,3.0,-0.21
7,2016,키움,28,P,67,0,67,4,0,0,6,5,0,21,74.0,38,40,41.6,331,77,14.0,4.0,6,34,1,2,76,2.0,0,2,4.62,4.86,5.06,4.02,1.5,1.61
8,2017,키움,29,P,60,0,60,33,0,0,0,7,15,9,61.1,26,29,29.0,262,59,9.0,0.0,8,22,3,5,62,4.0,1,5,3.82,4.26,4.26,4.39,1.32,1.6
9,2018,키움,30,P,58,0,58,29,0,0,2,3,18,14,55.2,32,32,35.45,239,53,10.0,0.0,9,23,1,2,68,0.0,0,6,5.17,5.17,5.73,4.55,1.37,0.58
10,2019,키움,31,P,67,0,67,1,0,0,3,5,0,40,56.2,19,19,21.25,238,50,6.0,0.0,3,28,2,1,60,2.0,0,0,3.02,3.02,3.38,3.38,1.38,1.69
11,2020,키움,32,P,60,0,60,8,0,0,3,3,5,11,51.1,27,33,30.55,226,52,12.0,0.0,3,21,3,1,48,2.0,0,1,4.73,5.79,5.36,3.74,1.42,0.48
12,2021,SSG,33,P,50,0,50,20,0,0,4,3,6,5,58.1,33,33,32.45,273,71,8.0,0.0,10,30,1,3,44,1.0,0,2,5.09,5.09,5.01,5.46,1.73,0.83
13,2022,SSG,34,P,8,0,8,2,0,0,0,0,1,0,8.0,8,8,8.0,37,9,2.0,1.0,2,4,1,0,3,0.0,0,0,9.0,9.0,9.0,7.76,1.63,-0.17
14,2023,롯데,35,P,67,0,67,7,0,0,4,2,1,18,52.0,18,22,18.55,218,45,7.0,1.0,1,21,3,0,36,5.0,0,1,3.12,3.81,3.21,3.78,1.27,1.73
15,2024,롯데,36,P,74,0,74,10,0,0,8,4,2,17,73.2,34,40,45.4,322,71,11.0,1.0,5,26,5,2,56,6.0,1,6,4.15,4.89,5.55,4.33,1.32,1.12
