,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2014,넥센,22,P,5,0,5,4,0,0,0,0,0,0,6.0,4,4,4.00,32,6,2,0,1,8,0,0,2,0,0,0,6.00,6.00,6.00,9.54,2.33,0.08
1,2015,넥센,23,P,22,5,17,5,0,0,1,1,0,0,50.1,36,41,41.15,237,56,10,2,7,30,3,0,32,5,0,4,6.44,7.33,7.36,6.19,1.71,0.16
2,2018,넥센,26,P,33,3,30,10,0,0,2,2,2,1,47.2,32,33,34.75,218,61,12,1,10,18,4,0,36,3,0,2,6.04,6.23,6.56,6.39,1.66,0.37
3,2019,키움,27,P,33,5,28,4,0,0,8,3,0,3,70.0,35,36,39.75,300,77,15,0,5,23,0,0,50,1,0,3,4.50,4.63,5.11,3.89,1.43,0.73
4,2020,키움,28,P,53,2,51,2,0,0,7,0,0,10,64.0,30,34,38.15,281,70,14,1,1,22,5,1,40,4,0,3,4.22,4.78,5.36,3.88,1.44,0.63
5,2021,키움,29,P,66,0,66,20,0,0,4,2,11,15,64.1,23,26,28.05,282,60,10,0,1,33,1,2,52,3,1,3,3.22,3.64,3.92,3.47,1.45,1.61
6,2022,키움,30,P,43,0,43,12,0,0,3,2,9,10,43.0,15,18,21.05,188,40,7,0,3,20,2,2,34,5,0,2,3.14,3.77,4.41,4.15,1.40,0.53
7,2023,키움,31,P,8,0,8,2,0,0,1,0,0,3,7.2,5,6,5.65,38,9,1,1,1,6,0,1,4,1,0,0,5.87,7.04,6.63,6.12,1.96,-0.10
8,2023,삼성,31,P,63,0,63,16,0,0,5,7,3,8,55.2,45,48,42.20,268,65,17,1,7,37,3,3,36,2,0,1,7.28,7.76,6.82,5.90,1.83,-0.60
9,2024,삼성,32,P,56,0,56,8,0,0,3,2,0,23,52.1,23,24,25.55,225,49,8,1,6,19,4,1,37,2,1,2,3.96,4.13,4.39,5.16,1.30,1.32
