,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2015,KIA,19,P,19,4,15,8,0,0,0,3,0,0,42.1,26,31,29.65,197,47,12,1,4,19,6,0,25,4,2,4,5.53,6.59,6.3,5.57,1.56,0.33
1,1,1,2018,KIA,22,P,11,0,11,2,0,0,0,0,0,0,13.1,17,18,16.1,66,17,4,2,2,5,3,0,16,1,0,0,11.48,12.15,10.87,4.99,1.65,-0.34
2,2,2,2019,KIA,23,P,3,0,3,1,0,0,0,0,0,0,5.0,7,7,7.35,27,10,2,0,0,4,1,0,2,0,0,0,12.6,12.6,13.23,5.91,2.8,-0.38
3,3,3,2020,KIA,24,P,7,0,7,3,0,0,0,0,0,1,7.1,3,3,2.65,28,5,2,1,1,4,1,0,5,0,0,0,3.68,3.68,3.25,6.03,1.23,0.2
4,4,4,2020,NC,24,P,15,3,12,1,0,0,1,1,0,1,25.2,14,14,14.85,116,20,3,0,3,20,5,0,24,0,0,1,4.91,4.91,5.21,6.07,1.56,0.38
5,5,5,2021,NC,25,P,3,3,0,0,0,0,3,0,0,0,16.0,7,7,7.0,69,16,4,0,2,8,1,0,11,0,0,0,3.94,3.94,3.94,5.28,1.5,0.48
6,6,6,2021,두산,25,P,9,2,7,5,0,0,0,3,0,0,14.1,18,20,19.5,74,22,5,0,3,6,2,0,15,2,0,2,11.3,12.56,12.24,5.37,1.95,-0.58
7,7,7,2022,두산,26,P,13,0,13,2,0,0,1,1,0,0,19.2,7,7,8.6,83,17,2,0,1,9,1,0,18,1,0,1,3.2,3.2,3.94,3.68,1.32,0.32
8,8,8,2023,두산,27,P,25,0,25,11,0,0,1,0,1,0,36.2,17,22,22.7,165,37,12,0,1,18,6,1,28,1,0,2,4.17,5.4,5.57,4.21,1.5,0.16
9,9,9,2024,두산,28,P,29,1,28,7,0,0,1,2,0,4,29.2,17,18,19.9,137,38,4,1,2,12,2,0,22,0,0,2,5.16,5.46,6.04,4.61,1.69,0.2
