,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2012,삼성,19,P,37,0,37,9,0,0,2,2,1,5,39.1,8,8,8.0,159,26,,,0,17,2,0,41,,0,3,1.83,1.83,1.83,2.38,1.09,1.73
1,1,1,2013,삼성,20,P,50,0,50,7,0,0,1,0,2,14,50.1,15,15,20.35,201,35,6.0,0.0,3,19,4,2,57,0.0,1,1,2.68,2.68,3.64,3.09,1.07,1.07
2,2,2,2014,삼성,21,P,52,0,52,10,0,0,5,2,0,8,38.1,29,33,32.35,188,42,8.0,0.0,7,26,4,2,38,3.0,0,2,6.81,7.75,7.6,6.21,1.77,-0.25
3,3,3,2015,삼성,22,P,61,0,61,9,0,0,6,3,0,9,67.1,32,32,33.5,280,54,13.0,0.0,7,24,5,1,91,0.0,0,2,4.28,4.28,4.48,3.29,1.16,1.54
4,4,4,2016,삼성,23,P,62,0,62,42,0,0,2,6,25,4,72.2,24,29,35.0,303,59,11.0,0.0,6,26,4,3,76,3.0,1,1,2.97,3.59,4.33,3.8,1.17,2.46
5,5,5,2017,삼성,24,P,66,0,66,19,0,0,4,7,6,16,75.1,35,36,38.75,333,55,7.0,0.0,12,44,7,7,103,3.0,0,5,4.18,4.3,4.63,4.58,1.31,1.98
6,6,6,2018,삼성,25,P,59,0,59,30,0,0,5,2,17,5,66.1,30,32,34.75,284,57,9.0,2.0,12,22,9,2,68,0.0,0,1,4.07,4.34,4.71,5.34,1.19,1.98
7,7,7,2020,삼성,27,P,23,0,23,4,0,0,2,2,0,3,20.1,17,20,16.95,98,18,0.0,1.0,3,18,2,0,21,0.0,0,3,7.52,8.85,7.5,6.22,1.77,-0.09
8,8,8,2021,삼성,28,P,59,0,59,7,0,0,3,2,0,16,51.1,29,32,31.3,238,47,12.0,0.0,8,32,6,0,58,3.0,1,2,5.08,5.61,5.49,5.09,1.54,0.42
9,9,9,2022,NC,29,P,11,0,11,2,0,0,1,2,0,0,6.1,10,10,6.25,37,9,2.0,0.0,0,7,3,0,6,0.0,0,2,14.21,14.21,8.88,6.31,2.53,-0.18
10,10,10,2023,NC,30,P,5,0,5,1,0,0,0,1,0,0,3.1,1,2,1.3,18,2,0.0,0.0,0,5,1,0,5,0.0,0,0,2.7,5.4,3.51,5.68,2.1,0.08
