,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2013,NC,18,P,2,0,2,2,0,0,0,0,0,0,2.0,3,3,3.0,11,6,0,1,0,0,0,0,0,0,0,0,13.5,13.5,13.5,3.8,3.0,-0.04
1,2015,NC,20,P,2,0,2,2,0,0,0,0,0,0,2.0,2,2,2.0,11,3,0,0,0,2,0,0,3,0,0,0,9.0,9.0,9.0,3.44,2.5,-0.08
2,2016,NC,21,P,37,5,32,6,0,0,1,3,0,1,76.1,38,40,36.05,331,68,13,2,5,43,2,0,59,2,0,13,4.48,4.72,4.25,4.92,1.45,2.14
3,2017,NC,22,P,31,22,9,3,0,0,9,9,0,0,134.1,79,86,84.5,600,139,28,0,18,66,5,0,120,4,0,15,5.29,5.76,5.66,5.21,1.53,1.98
4,2018,NC,23,P,21,0,21,5,0,0,3,2,2,1,26.2,22,22,22.45,126,31,5,0,7,17,0,1,24,0,0,3,7.43,7.43,7.58,7.2,1.8,-0.3
5,2019,NC,24,P,53,0,53,6,0,0,5,4,0,9,54.2,28,31,35.0,246,58,7,1,9,23,4,0,49,2,0,6,4.61,5.1,5.76,5.06,1.48,0.07
6,2020,NC,25,P,9,0,9,3,0,0,1,0,0,0,9.2,10,11,12.2,48,12,1,1,1,6,1,0,4,1,0,3,9.31,10.24,11.36,6.44,1.86,-0.23
7,2020,KIA,25,P,28,3,25,2,0,0,3,4,0,6,31.1,39,41,39.45,159,52,13,1,7,16,2,0,22,1,0,8,11.2,11.78,11.33,6.68,2.17,-1.6
8,2021,KIA,26,P,69,0,69,5,0,0,1,5,1,34,76.2,28,28,29.4,336,67,7,1,7,42,3,1,80,3,0,8,3.29,3.29,3.45,4.06,1.42,2.56
9,2022,KIA,27,P,54,0,54,5,0,0,2,3,1,19,52.0,18,20,23.3,233,54,11,2,4,26,1,3,40,3,0,4,3.12,3.46,4.03,4.21,1.54,1.09
10,2023,KIA,28,P,56,0,56,17,0,0,2,2,3,5,51.0,23,26,26.45,226,58,8,0,6,26,1,1,44,1,0,1,4.06,4.59,4.67,4.67,1.65,0.63
11,2024,KIA,29,P,75,0,75,6,0,0,5,4,0,16,75.1,33,41,37.4,331,75,16,0,8,34,2,2,75,5,0,4,3.94,4.9,4.47,4.37,1.45,1.94
