,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2008,LG,18,P,39,14,25,6,0,0,3,13,0,2,106.1,65,70,70.0,490,131,,,10,36,9,0,59,,0,9,5.5,5.92,5.92,4.56,1.57,-0.03
1,1,1,2009,LG,19,P,55,0,55,14,0,0,6,5,2,10,76.1,49,49,49.0,342,81,,,12,35,5,1,56,,0,7,5.78,5.78,5.78,5.27,1.52,0.77
2,2,2,2013,LG,23,P,4,0,4,0,0,0,0,0,0,0,5.0,3,3,3.0,21,7,2.0,0.0,1,1,0,0,1,0.0,0,0,5.4,5.4,5.4,6.3,1.6,0.01
3,3,3,2014,LG,24,P,51,0,51,23,0,0,1,3,3,8,52.2,26,26,24.9,239,57,10.0,2.0,5,27,5,9,41,1.0,0,3,4.44,4.44,4.26,5.03,1.59,1.44
4,4,4,2015,LG,25,P,32,0,32,8,0,0,3,6,1,5,44.0,27,27,24.6,191,49,8.0,0.0,3,14,5,2,32,0.0,0,2,5.52,5.52,5.03,4.28,1.43,0.59
5,5,5,2016,LG,26,P,6,0,6,4,0,0,0,0,0,0,8.0,3,3,3.35,34,7,2.0,0.0,0,3,1,0,4,0.0,0,2,3.38,3.38,3.77,4.54,1.25,0.26
6,6,6,2017,LG,27,P,61,0,61,27,0,0,8,7,7,3,61.2,40,43,47.1,280,75,14.0,1.0,5,25,4,8,57,5.0,0,7,5.84,6.28,6.87,3.97,1.62,-0.58
7,7,7,2018,LG,28,P,66,0,66,55,0,0,5,3,27,0,65.0,35,36,45.1,299,76,14.0,0.0,5,24,7,3,50,3.0,0,2,4.85,4.98,6.24,4.77,1.54,-0.15
8,8,8,2019,LG,29,P,13,0,13,9,0,0,1,1,6,0,11.0,2,5,6.9,49,11,4.0,0.0,0,6,0,0,11,1.0,0,0,1.64,4.09,5.65,3.0,1.55,-0.07
9,9,9,2020,LG,30,P,19,19,0,1,1,1,7,4,0,0,110.1,43,51,48.05,470,116,22.0,1.0,10,31,4,0,85,4.0,0,5,3.51,4.16,3.92,4.13,1.33,3.38
10,10,10,2021,LG,31,P,12,12,0,0,0,0,6,2,0,0,58.0,26,29,29.0,249,69,12.0,2.0,5,12,2,0,31,1.0,0,2,4.03,4.5,4.5,4.2,1.4,0.9
11,11,11,2021,키움,31,P,11,11,0,1,1,1,3,3,0,0,56.1,25,26,25.65,248,64,11.0,0.0,1,15,4,0,28,5.0,0,1,3.99,4.15,4.1,3.78,1.4,1.45
12,12,12,2022,키움,32,P,20,20,0,0,0,0,5,6,0,0,87.1,52,55,53.8,390,106,21.0,0.0,13,28,6,2,42,6.0,0,3,5.36,5.67,5.54,5.56,1.53,0.58
13,13,13,2023,키움,33,P,14,14,0,1,1,0,2,8,0,0,72.0,38,40,39.5,295,71,12.0,3.0,4,13,2,1,35,3.0,0,0,4.75,5.0,4.94,3.9,1.17,0.95
14,14,14,2024,키움,34,P,4,4,0,0,0,0,0,2,0,0,16.0,14,14,13.3,74,26,5.0,0.0,3,3,1,0,5,0.0,0,0,7.88,7.88,7.48,6.42,1.81,0.03
