,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2006,KIA,20,P,4,0,4,1,0,0,0,0,0,0,4.2,6,6,6.0,27,12,,,0,2,0,0,1,,0,0,11.57,11.57,11.57,3.88,3.0,-0.17
1,2007,KIA,21,P,14,5,9,4,0,0,0,2,0,0,36.0,27,27,27.0,166,47,,,2,13,3,1,11,,0,1,6.75,6.75,6.75,4.39,1.67,-0.29
2,2008,KIA,22,P,24,0,24,2,0,0,0,0,0,1,10.2,6,7,7.0,55,12,,,0,11,1,0,7,,0,1,5.06,5.91,5.91,5.36,2.16,-0.02
3,2009,KIA,23,P,7,2,5,2,0,0,1,2,0,0,8.2,10,10,10.0,46,11,,,1,8,2,0,7,,0,0,10.38,10.38,10.38,6.58,2.19,-0.19
4,2012,KIA,26,P,56,0,56,6,0,0,1,2,0,6,41.0,24,29,29.0,185,48,,,3,19,2,0,24,,0,4,5.27,6.37,6.37,4.48,1.63,-0.33
5,2013,KIA,27,P,13,0,13,1,0,0,0,1,0,5,8.1,11,12,8.55,44,15,2.0,0.0,2,5,1,0,8,0.0,0,0,11.88,12.96,9.23,6.49,2.4,-0.15
6,2013,SSG,27,P,59,0,59,11,0,0,2,4,0,5,40.1,19,22,23.1,179,37,5.0,0.0,2,20,4,1,32,3.0,0,2,4.24,4.91,5.15,4.17,1.41,0.12
7,2014,SSG,28,P,75,0,75,6,0,0,0,4,0,15,49.0,39,39,39.65,236,67,9.0,1.0,8,27,3,2,37,2.0,0,2,7.16,7.16,7.28,6.21,1.92,-0.23
8,2015,SSG,29,P,12,0,12,1,0,0,1,0,0,0,7.1,5,6,3.25,35,7,1.0,0.0,1,4,4,0,7,0.0,0,0,6.14,7.36,3.99,6.71,1.5,0.17
9,2015,LG,29,P,27,0,27,4,0,0,1,2,0,4,21.0,13,13,13.35,93,22,4.0,0.0,1,12,1,0,13,0.0,0,3,5.57,5.57,5.72,5.03,1.62,0.09
10,2016,LG,30,P,75,0,75,8,0,0,0,4,1,17,54.0,28,30,37.1,254,57,10.0,1.0,5,37,2,4,54,3.0,0,1,4.67,5.0,6.18,4.91,1.74,0.18
11,2017,LG,31,P,75,0,75,5,0,0,3,3,1,24,52.2,23,23,28.05,221,52,11.0,2.0,6,15,2,2,48,0.0,0,1,3.93,3.93,4.79,4.23,1.27,1.06
12,2018,LG,32,P,66,0,66,3,0,0,2,3,0,14,43.2,35,37,34.9,210,63,6.0,1.0,7,13,4,2,37,2.0,0,1,7.21,7.63,7.19,5.2,1.74,-0.33
13,2019,LG,33,P,72,0,72,5,0,0,3,1,0,20,42.0,16,17,18.4,185,44,3.0,3.0,2,16,2,0,38,2.0,0,0,3.43,3.64,3.94,3.44,1.43,0.8
14,2020,LG,34,P,76,0,76,0,0,0,4,2,0,22,50.0,24,27,24.05,230,54,6.0,0.0,3,23,4,2,59,3.0,0,5,4.32,4.86,4.33,3.31,1.54,0.99
15,2021,LG,35,P,50,0,50,9,0,0,1,0,0,5,44.1,12,17,16.85,188,41,4.0,0.0,2,18,3,1,39,2.0,0,1,2.44,3.45,3.42,3.5,1.33,0.98
16,2022,LG,36,P,64,0,64,7,0,0,4,0,0,12,45.0,12,13,14.05,180,39,6.0,3.0,1,11,1,0,35,0.0,0,2,2.4,2.6,2.81,2.93,1.11,1.4
17,2023,LG,37,P,19,0,19,3,0,0,0,0,0,2,14.2,6,8,9.2,72,18,3.0,0.0,2,10,0,0,12,1.0,0,3,3.68,4.91,5.65,5.54,1.91,0.07
18,2024,롯데,38,P,54,0,54,3,0,0,2,1,0,5,27.2,19,21,23.55,128,36,3.0,0.0,5,10,3,1,22,0.0,0,2,6.18,6.83,7.66,5.82,1.66,-0.17
