,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2012,KIA,19,P,17,0,17,6,0,0,0,1,0,1,13.1,11,11,11.0,63,16,,,1,11,0,0,8,,0,2,7.43,7.43,7.43,5.44,2.03,-0.21
1,2013,KIA,20,P,11,0,11,5,0,0,0,0,0,0,19.0,10,10,10.0,92,24,1.0,0.0,0,8,2,0,15,2.0,0,3,4.74,4.74,4.74,3.46,1.68,0.26
2,2014,KIA,21,P,26,6,20,7,0,0,1,5,0,0,58.2,47,47,47.0,277,62,9.0,3.0,5,48,3,0,54,0.0,0,6,7.21,7.21,7.21,5.66,1.88,0.2
3,2015,KIA,22,P,49,0,49,19,0,0,2,6,0,6,56.0,34,36,35.35,251,55,7.0,3.0,7,36,1,3,56,2.0,0,17,5.46,5.79,5.68,4.96,1.63,0.48
4,2016,KIA,23,P,36,0,36,7,0,0,3,2,1,9,33.1,18,21,27.7,152,36,7.0,1.0,3,19,2,1,31,1.0,0,8,4.86,5.67,7.48,4.94,1.65,-0.29
5,2017,KIA,24,P,36,0,36,13,0,0,1,1,1,3,39.0,31,32,34.7,186,46,10.0,1.0,4,23,1,2,42,3.0,0,10,7.15,7.38,8.01,4.56,1.77,-0.61
6,2018,KIA,25,P,21,19,2,0,0,0,7,3,0,0,88.0,57,62,56.35,406,105,18.0,3.0,8,44,4,1,65,4.0,0,16,5.83,6.34,5.76,5.27,1.69,1.36
7,2021,KIA,28,P,8,5,3,2,0,0,0,3,0,0,23.2,12,15,14.5,103,25,5.0,1.0,0,10,2,0,17,4.0,0,2,4.56,5.7,5.51,3.54,1.48,0.24
8,2022,KIA,29,P,24,16,8,2,0,0,4,3,0,0,80.1,47,52,52.55,376,100,13.0,3.0,4,40,6,0,69,5.0,0,6,5.27,5.83,5.89,4.0,1.74,0.25
9,2023,한화,30,P,21,7,14,4,0,0,0,3,0,1,36.1,26,27,28.9,176,48,9.0,0.0,3,21,3,0,28,2.0,0,4,6.44,6.69,7.16,4.95,1.9,-0.3
10,2024,한화,31,P,70,0,70,4,0,0,5,5,0,19,62.2,35,39,37.1,289,63,7.0,1.0,2,38,6,2,64,2.0,0,6,5.03,5.6,5.33,4.2,1.61,0.94
