,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2013,두산,18,P,3,0,3,0,0,0,0,0,0,0,1.1,5,5,4.15,12,6,2,0,0,2,0,0,2,0,0,2,33.75,33.75,28.01,4.70,6.00,-0.05
1,2014,두산,19,P,31,0,31,6,0,0,1,0,0,2,26.1,13,13,14.90,111,24,8,0,2,12,1,0,23,1,0,2,4.44,4.44,5.09,4.50,1.37,0.47
2,2015,두산,20,P,68,0,68,10,0,0,7,2,2,16,61.2,25,30,24.30,278,52,10,1,4,46,2,1,76,2,1,2,3.65,4.38,3.55,4.20,1.59,2.00
3,2016,두산,21,P,15,0,15,3,0,0,0,0,0,0,8.2,6,6,7.00,46,10,3,0,0,11,0,1,7,0,0,2,6.23,6.23,7.27,6.16,2.42,-0.02
4,2017,두산,22,P,35,24,11,2,0,0,9,8,0,2,137.1,56,61,61.85,598,128,27,1,8,64,4,2,139,4,1,3,3.67,4.00,4.05,3.88,1.40,3.94
5,2018,두산,23,P,62,0,62,44,0,0,6,3,27,3,67.0,22,23,26.60,293,58,9,1,4,37,4,3,75,1,0,4,2.96,3.09,3.57,4.02,1.42,2.71
6,2019,두산,24,P,61,0,61,29,0,0,2,5,16,7,54.2,21,24,24.10,236,39,7,1,6,34,1,4,48,3,0,2,3.46,3.95,3.97,4.85,1.34,0.95
7,2020,두산,25,P,36,6,30,19,0,0,5,1,10,2,55.1,24,25,28.75,240,55,7,0,2,21,0,2,55,1,0,7,3.90,4.07,4.68,3.06,1.37,1.04
8,2021,LG,26,P,16,3,13,3,0,0,1,2,0,1,21.0,10,11,10.00,98,20,2,1,2,13,3,1,18,2,0,2,4.29,4.71,4.29,5.12,1.57,0.32
9,2022,LG,27,P,13,0,13,2,0,0,0,0,0,0,12.2,3,3,2.65,58,9,2,0,0,11,1,0,13,1,0,0,2.13,2.13,1.88,4.16,1.58,0.44
10,2023,LG,28,P,57,0,57,9,0,0,4,0,4,16,55.2,10,12,13.00,222,32,9,1,1,22,2,1,59,3,0,0,1.62,1.94,2.10,2.69,0.97,2.67
11,2024,LG,29,P,15,0,15,1,0,0,0,1,0,3,11.2,7,7,4.95,54,13,0,1,2,7,1,0,8,0,0,0,5.40,5.40,3.82,6.65,1.71,0.32
