,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2011,KIA,19,P,5,0,5,4,0,0,0,0,0,0,5.1,4,4,4.0,26,7,,,0,2,1,0,3,,0,1,6.75,6.75,6.75,3.96,1.69,-0.03
1,2015,KIA,23,P,38,7,31,6,0,0,2,5,1,0,82.0,55,63,61.7,383,84,10.0,2.0,18,57,4,4,86,2.0,0,8,6.04,6.91,6.77,6.28,1.72,0.18
2,2016,KIA,24,P,50,9,41,16,0,0,4,4,4,5,90.1,50,53,52.45,407,103,17.0,1.0,10,41,1,2,83,3.0,0,8,4.98,5.28,5.23,4.63,1.59,1.74
3,2017,KIA,25,P,31,2,29,4,0,0,1,1,0,0,59.0,42,44,46.6,270,83,17.0,2.0,5,21,2,0,41,2.0,0,7,6.41,6.71,7.11,4.69,1.76,0.05
4,2018,KIA,26,P,11,1,10,4,0,0,0,1,0,0,16.2,19,20,22.55,88,32,8.0,1.0,4,7,1,1,13,1.0,0,0,10.26,10.8,12.18,6.56,2.34,-0.44
5,2019,KIA,27,P,21,14,7,4,0,0,2,9,0,0,81.2,65,70,65.7,381,112,20.0,1.0,12,33,3,0,52,3.0,0,7,7.16,7.71,7.24,5.33,1.78,-0.29
6,2020,KIA,28,P,10,0,10,7,0,0,0,0,0,0,12.0,8,8,8.15,48,11,2.0,2.0,3,2,0,0,9,0.0,0,0,6.0,6.0,6.11,5.61,1.08,0.07
7,2020,두산,28,P,50,0,50,13,0,0,3,4,1,8,56.2,30,31,34.95,251,63,12.0,1.0,5,20,5,0,51,3.0,0,3,4.76,4.92,5.55,4.16,1.46,0.25
8,2021,두산,29,P,65,0,65,11,0,0,6,6,3,17,74.1,23,23,27.1,303,65,11.0,0.0,3,27,0,0,82,0.0,1,7,2.78,2.78,3.28,2.62,1.24,2.67
9,2022,두산,30,P,58,0,58,38,0,0,2,9,18,9,62.0,24,30,31.85,265,58,9.0,0.0,5,21,2,3,60,2.0,0,4,3.48,4.35,4.62,3.42,1.27,0.49
10,2023,두산,31,P,64,0,64,40,0,0,1,5,22,5,61.2,21,28,26.3,277,67,10.0,3.0,4,24,0,3,62,3.0,0,8,3.06,4.09,3.84,3.21,1.48,1.23
11,2024,두산,32,P,65,0,65,18,0,0,4,3,9,11,59.1,18,22,27.65,264,55,6.0,1.0,5,33,5,4,45,2.0,0,5,2.73,3.34,4.19,5.19,1.48,1.59
