,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2014-10-19,SP,1,LG,패배, 13:4,9,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.264,0.298,0.307,0.605,9,0.57,-0.16,0.001
1,2014-10-22,SP,1,LG,패배, 4:2,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.297,0.306,0.603,3,0.49,-0.13,-0.013
2,2014-10-24,SP,0,LG,승리, 4:3,9,2,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.262,0.297,0.306,0.603,13,1.40,-0.52,0.007
3,2014-10-25,SP,0,LG,패배, 3:11,9,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.295,0.304,0.599,6,0.76,-0.46,-0.037
4,2015-10-18,PO,1,두산,패배, 7:0,9,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.255,0.307,0.354,0.661,5,0.29,0.08,0.011
5,2015-10-19,PO,1,두산,승리, 1:2,9,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.254,0.306,0.352,0.658,9,1.21,-0.60,-0.040
6,2015-10-21,PO,0,두산,승리, 16:2,9,2,1,4,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0.252,0.305,0.350,0.655,24,0.74,-0.32,-0.067
7,2015-10-22,PO,0,두산,패배, 0:7,9,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.304,0.348,0.652,5,1.16,-0.48,-0.045
8,2015-10-24,PO,1,두산,패배, 6:4,9,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.251,0.304,0.348,0.652,9,0.88,-0.44,-0.024
9,2016-10-21,PO,1,LG,승리, 2:3,9,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.292,0.284,0.576,3,1.51,-0.95,-0.085
