,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2022-10-16,SP,1,KT,승리, 4:8,8,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.222,0.327,0.336,0.663,6,2.37,0.41,0.063
1,2022-10-19,SP,0,KT,승리, 9:2,8,6,0,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.226,0.330,0.339,0.669,12,0.02,0.31,0.001
2,2022-10-20,SP,0,KT,패배, 6:9,8,6,1,3,2,2,1,0,0,1,4,2,0,0,0,1,0,0,0,1,0,0.228,0.332,0.349,0.681,15,0.76,2.19,0.090
3,2022-10-22,SP,1,KT,승리, 3:4,8,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.226,0.330,0.346,0.676,16,1.15,-0.93,-0.095
4,2022-10-24,PO,0,LG,패배, 3:6,8,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.328,0.344,0.672,9,1.20,-0.67,-0.061
5,2022-10-25,PO,0,LG,승리, 7:6,9,6,1,5,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.228,0.332,0.346,0.678,26,0.45,0.33,0.048
6,2022-10-27,PO,1,LG,승리, 4:6,8,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.225,0.328,0.342,0.670,18,0.96,-0.90,-0.099
7,2022-10-28,PO,1,LG,승리, 1:4,8,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.223,0.325,0.338,0.663,18,0.87,-1.38,-0.087
8,2022-11-01,KS,0,SSG,승리, 7:6,8,6,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.221,0.323,0.335,0.658,14,1.21,-0.85,-0.096
9,2022-11-02,KS,0,SSG,패배, 1:6,8,6,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.219,0.323,0.333,0.656,16,1.15,-0.39,-0.027
10,2022-11-04,KS,1,SSG,패배, 8:2,8,6,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.218,0.323,0.331,0.654,18,0.77,-0.22,-0.013
11,2022-11-05,KS,1,SSG,승리, 3:6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.323,0.331,0.654,0,,,
12,2022-11-07,KS,0,SSG,패배, 4:5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.323,0.331,0.654,0,,,
13,2022-11-08,KS,0,SSG,패배, 3:4,8,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.322,0.331,0.653,3,0.84,-0.20,-0.024
