,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2013-10-09,SP,1,두산,승리, 2:3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.257,0.289,0.546,0,,,
1,2013-10-11,SP,0,두산,패배, 3:4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.196,0.257,0.289,0.546,1,3.04,-0.26,-0.035
2,2013-10-12,SP,0,두산,패배, 1:2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.257,0.289,0.546,0,,,
3,2013-10-14,SP,1,두산,패배, 8:5,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.255,0.286,0.541,4,2.26,-0.25,-0.058
4,2014-10-27,PO,1,LG,승리, 3:6,9,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.256,0.323,0.420,0.743,10,1.32,-0.70,-0.048
5,2014-10-28,PO,1,LG,패배, 9:2,9,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.258,0.325,0.421,0.746,6,0.73,-0.09,-0.009
6,2014-10-30,PO,0,LG,승리, 6:2,9,2,1,4,3,1,1,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0.260,0.328,0.425,0.753,19,0.44,0.98,0.052
7,2014-10-31,PO,0,LG,승리, 12:2,9,2,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.259,0.327,0.422,0.749,15,0.41,-0.09,0.003
8,2014-11-04,KS,0,삼성,승리, 4:2,9,2,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.255,0.325,0.415,0.740,17,0.89,-0.86,-0.066
9,2014-11-05,KS,0,삼성,패배, 1:7,9,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.258,0.327,0.416,0.743,9,0.39,-0.29,-0.001
10,2014-11-07,KS,1,삼성,패배, 3:1,9,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.259,0.327,0.415,0.742,16,0.91,-0.16,0.013
11,2014-11-08,KS,1,삼성,승리, 3:9,9,2,1,4,3,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.260,0.330,0.413,0.743,14,0.35,0.28,0.026
12,2014-11-10,KS,0,삼성,패배, 1:2,9,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.258,0.327,0.409,0.736,4,1.18,-0.69,-0.057
13,2014-11-11,KS,1,삼성,패배, 11:1,9,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.255,0.324,0.405,0.729,9,0.57,-0.39,-0.032
14,2015-10-07,WC,1,SK,승리, 4:5,9,2,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.266,0.338,0.411,0.749,22,1.87,-0.18,-0.191
15,2015-10-10,SP,0,두산,패배, 3:4,9,2,1,4,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.265,0.337,0.418,0.755,13,1.23,0.25,0.012
16,2015-10-11,SP,0,두산,패배, 2:3,9,2,1,3,2,1,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.267,0.339,0.426,0.765,21,1.46,1.15,0.171
17,2015-10-13,SP,1,두산,승리, 2:5,9,2,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.265,0.339,0.422,0.761,22,0.36,-0.52,-0.023
18,2015-10-14,SP,1,두산,패배, 11:9,9,2,1,5,4,1,2,2,0,0,4,4,0,0,1,0,0,0,0,0,0,0.267,0.341,0.428,0.769,18,1.01,3.20,0.316
