,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2013-10-08,SP,1,두산,승리, 3:4,1,4,1,5,4,1,2,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0.269,0.355,0.322,0.677,19,1.45,1.25,0.119
1,2013-10-09,SP,1,두산,승리, 2:3,1,4,1,5,3,1,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0.269,0.358,0.322,0.680,22,3.15,0.98,0.541
2,2013-10-11,SP,0,두산,패배, 3:4,1,4,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.264,0.353,0.316,0.669,28,1.81,-0.76,-0.086
3,2013-10-12,SP,0,두산,패배, 1:2,1,4,1,4,4,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.267,0.354,0.318,0.672,13,1.21,0.18,0.021
4,2013-10-14,SP,1,두산,패배, 8:5,1,4,1,6,5,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.266,0.354,0.317,0.671,18,1.48,-0.01,-0.053
5,2014-10-24,SP,0,LG,승리, 4:3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370,0.438,0.547,0.985,0,,,
6,2014-10-27,PO,1,LG,승리, 3:6,1,4,1,4,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0.368,0.438,0.544,0.982,21,0.98,-0.82,-0.065
7,2014-10-28,PO,1,LG,패배, 9:2,1,4,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.367,0.436,0.542,0.978,12,0.63,0.32,-0.060
8,2014-10-30,PO,0,LG,승리, 6:2,1,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.365,0.434,0.539,0.973,13,0.49,-1.27,-0.047
9,2014-10-31,PO,0,LG,승리, 12:2,1,4,1,6,6,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.365,0.433,0.537,0.970,22,0.71,-0.78,-0.009
10,2014-11-04,KS,0,삼성,승리, 4:2,1,4,1,5,5,1,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0.363,0.431,0.537,0.968,20,0.85,0.08,0.019
11,2014-11-05,KS,0,삼성,패배, 1:7,1,4,1,4,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.362,0.430,0.534,0.964,22,0.51,-0.07,-0.020
12,2014-11-07,KS,1,삼성,패배, 3:1,1,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0.428,0.531,0.959,13,1.03,-0.77,-0.072
13,2014-11-08,KS,1,삼성,승리, 3:9,1,4,1,4,3,2,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0.359,0.428,0.530,0.958,20,0.76,1.83,0.106
14,2014-11-10,KS,0,삼성,패배, 1:2,1,4,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.358,0.427,0.528,0.955,20,0.92,0.28,0.089
15,2014-11-11,KS,1,삼성,패배, 11:1,1,4,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.357,0.426,0.526,0.952,16,0.48,-0.27,0.004
16,2015-10-07,WC,1,SK,승리, 4:5,1,4,1,6,4,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0.294,0.380,0.424,0.804,24,1.66,-0.50,-0.042
17,2015-10-10,SP,0,두산,패배, 3:4,1,4,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290,0.375,0.417,0.792,16,1.17,-1.20,-0.147
18,2015-10-11,SP,0,두산,패배, 2:3,2,4,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.291,0.376,0.418,0.794,13,1.78,-0.13,-0.011
19,2015-10-13,SP,1,두산,승리, 2:5,2,4,1,4,3,1,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0.294,0.380,0.429,0.809,19,0.67,1.55,0.158
20,2015-10-14,SP,1,두산,패배, 11:9,2,4,1,5,5,1,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0.296,0.380,0.432,0.812,19,0.32,0.27,-0.018
21,2016-10-13,SP,1,LG,패배, 7:0,1,4,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.324,0.404,0.439,0.843,15,0.52,-0.16,-0.011
22,2016-10-14,SP,1,LG,승리, 1:5,1,4,1,4,4,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.323,0.403,0.438,0.841,18,0.82,0.50,0.042
23,2016-10-16,SP,0,LG,패배, 1:4,1,4,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.322,0.402,0.435,0.837,16,0.66,-0.26,0.001
24,2016-10-17,SP,0,LG,패배, 4:5,1,4,1,4,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.321,0.402,0.434,0.836,14,1.10,0.79,0.050
25,2018-10-16,WC,1,KIA,승리, 6:10,2,10,1,5,3,2,1,1,0,0,2,2,1,0,2,0,0,0,0,0,0,0.340,0.405,0.431,0.836,23,1.49,2.99,0.367
26,2018-10-19,SP,0,한화,승리, 3:2,2,10,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.331,0.395,0.419,0.814,19,0.66,-0.91,-0.067
27,2018-10-20,SP,0,한화,승리, 7:5,2,10,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.327,0.390,0.412,0.802,18,0.74,-1.07,-0.050
28,2018-10-22,SP,1,한화,패배, 4:3,1,10,1,5,5,1,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.329,0.390,0.418,0.808,17,1.69,0.23,0.125
29,2018-10-23,SP,1,한화,승리, 2:5,2,10,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.323,0.387,0.410,0.797,9,0.86,-0.64,-0.046
30,2018-10-27,PO,0,SK,패배, 8:10,1,10,1,5,5,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.319,0.382,0.410,0.792,14,1.47,0.20,-0.004
31,2018-10-28,PO,0,SK,패배, 1:5,1,10,1,4,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.324,0.384,0.412,0.796,13,0.91,0.55,0.053
32,2018-10-30,PO,1,SK,승리, 2:3,3,10,1,4,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.322,0.381,0.408,0.789,16,0.96,-0.66,-0.039
33,2018-10-31,PO,1,SK,승리, 2:4,3,10,1,4,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.318,0.384,0.403,0.787,14,0.51,0.20,0.003
34,2018-11-02,PO,0,SK,패배, 10:11,3,10,1,5,5,3,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0.331,0.394,0.420,0.814,9,0.87,2.81,0.203
35,2019-10-06,SP,1,LG,승리, 0:1,1,10,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.300,0.372,0.381,0.753,17,1.14,-0.23,-0.050
36,2019-10-07,SP,1,LG,승리, 4:5,1,10,1,5,5,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.301,0.372,0.384,0.756,25,2.14,1.14,0.456
37,2019-10-09,SP,0,LG,패배, 2:4,1,10,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.301,0.371,0.383,0.754,18,1.27,0.28,0.003
38,2019-10-10,SP,0,LG,승리, 10:5,1,10,1,5,3,3,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.301,0.373,0.382,0.755,18,1.11,0.91,0.089
