,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2015-10-07,WC,0,넥센,패배, 4:5,1,7,1,6,5,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0.316,0.369,0.397,0.766,34,1.34,0.66,0.083
1,2017-10-25,KS,1,두산,패배, 5:3,1,9,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.330,0.370,0.456,0.826,16,0.78,-0.16,0.020
2,2017-10-26,KS,1,두산,승리, 0:1,1,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.330,0.369,0.455,0.824,13,1.40,-0.04,-0.043
3,2017-10-28,KS,0,두산,승리, 6:3,1,7,1,5,5,1,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0.331,0.369,0.458,0.827,18,0.64,1.19,0.134
4,2017-10-29,KS,0,두산,승리, 5:1,1,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.330,0.368,0.456,0.824,16,0.73,-0.75,-0.021
5,2017-10-30,KS,0,두산,승리, 7:6,1,7,1,5,4,1,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0.333,0.372,0.459,0.831,22,0.74,0.74,0.017
6,2019-10-03,WC,0,LG,패배, 1:3,2,7,1,4,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.293,0.358,0.352,0.710,19,1.03,0.08,0.013
7,2020-11-17,KS,1,두산,승리, 3:5,2,10,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.304,0.372,0.367,0.739,18,0.64,-0.91,-0.048
8,2020-11-18,KS,1,두산,패배, 5:4,2,10,1,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.302,0.370,0.364,0.734,30,2.16,-2.08,-0.320
9,2020-11-20,KS,0,두산,패배, 6:7,2,10,1,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0.303,0.371,0.365,0.736,18,2.41,0.56,0.038
10,2020-11-21,KS,0,두산,승리, 3:0,2,7,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.303,0.371,0.365,0.736,11,1.16,-0.41,-0.027
11,2020-11-23,KS,1,두산,승리, 0:5,2,10,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.369,0.362,0.731,19,0.74,-0.65,-0.056
12,2020-11-24,KS,1,두산,승리, 2:4,2,10,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.301,0.368,0.361,0.729,15,1.14,-0.17,0.090
