,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2014-10-19,SP,1,LG,패배, 13:4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.241,0.314,0.555,0,0.30,-0.53,-0.010
1,2014-10-22,SP,1,LG,패배, 4:2,8,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.216,0.241,0.314,0.555,0,2.54,-0.84,-0.083
2,2014-10-25,SP,0,두산,패배, 3:11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.241,0.314,0.555,0,,,
3,2016-10-21,PO,1,LG,승리, 2:3,4,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280,0.333,0.360,0.693,0,,,
4,2016-10-24,PO,0,LG,패배, 1:2,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280,0.333,0.360,0.693,0,,,
5,2016-10-25,PO,0,LG,승리, 8:3,6,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280,0.333,0.360,0.693,0,,,
6,2016-10-30,KS,0,두산,패배, 1:5,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280,0.333,0.360,0.693,0,,,
7,2017-10-08,SP,0,롯데,승리, 9:2,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.360,0.370,0.730,0,,,
8,2017-10-09,SP,0,롯데,패배, 0:1,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.335,0.360,0.370,0.730,4,2.83,-0.15,-0.034
9,2017-10-13,SP,1,롯데,패배, 7:1,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.359,0.368,0.727,1,0.06,-0.12,-0.002
10,2017-10-15,SP,0,롯데,승리, 9:0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.359,0.368,0.727,0,,,
11,2017-10-20,PO,1,두산,패배, 14:3,1,4,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.335,0.360,0.370,0.730,9,0.01,0.19,0.000
12,2019-10-03,WC,0,LG,패배, 1:3,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,0.303,0.304,0.607,6,0.76,-0.56,-0.061
13,2022-10-24,PO,1,키움,승리, 3:6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.299,0.278,0.577,0,,,
14,2022-10-25,PO,1,키움,패배, 7:6,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.299,0.278,0.577,0,,,
15,2022-10-27,PO,0,키움,패배, 4:6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.299,0.278,0.577,0,,,
16,2022-10-28,PO,0,키움,패배, 1:4,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0.295,0.274,0.569,5,1.25,-0.17,-0.031
17,2023-10-30,PO,1,NC,패배, 9:5,9,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.175,0.164,0.339,2,0.06,-0.10,-0.002
18,2023-10-31,PO,1,NC,패배, 3:2,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.175,0.164,0.339,0,,,
19,2023-11-03,PO,0,NC,승리, 11:2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.175,0.164,0.339,0,0.00,0.22,0.000
20,2023-11-05,PO,1,NC,승리, 2:3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.175,0.164,0.339,0,1.63,0.01,0.006
21,2023-11-10,KS,1,LG,패배, 8:7,6,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.172,0.161,0.333,5,0.12,-0.10,-0.003
22,2023-11-11,KS,1,LG,패배, 15:4,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.140,0.169,0.158,0.327,5,0.06,-0.73,-0.001
