,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2009-09-29,SP,1,롯데,패배, 7:2,7,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.296,0.348,0.441,0.789,0,,,
1,2009-09-30,SP,1,롯데,승리, 0:6,7,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.294,0.348,0.438,0.786,0,,,
2,2009-10-02,SP,0,롯데,승리, 12:3,7,0,1,5,5,1,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0.301,0.353,0.443,0.796,0,,,
3,2009-10-03,SP,0,롯데,승리, 9:5,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.352,0.442,0.794,0,,,
4,2009-10-07,PO,0,SK,승리, 3:2,7,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.299,0.351,0.440,0.791,0,,,
5,2009-10-08,PO,0,SK,승리, 4:1,7,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.299,0.350,0.438,0.788,0,,,
6,2009-10-10,PO,1,SK,패배, 3:1,7,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.299,0.350,0.437,0.787,0,,,
7,2009-10-14,PO,0,SK,패배, 3:14,8,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.299,0.349,0.435,0.784,0,,,
8,2010-09-30,SP,1,롯데,패배, 4:1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.333,0.425,0.758,0,,,
9,2010-10-02,SP,0,롯데,승리, 6:5,9,0,1,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.270,0.335,0.426,0.761,0,,,
