,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2012-10-24,KS,1,SK,승리, 1:3,8,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.304,0.342,0.326,0.668,0,,,
1,2012-10-28,KS,0,SK,패배, 8:12,8,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.309,0.347,0.338,0.685,0,,,
2,2012-10-29,KS,0,SK,패배, 1:4,8,0,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.310,0.347,0.338,0.685,0,,,
3,2012-10-31,KS,1,SK,승리, 1:2,8,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,0.340,0.331,0.671,0,,,
4,2013-10-24,KS,1,두산,패배, 7:2,8,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.238,0.277,0.260,0.537,1,0.22,0.05,-0.006
5,2013-10-25,KS,1,두산,패배, 5:1,8,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.241,0.280,0.263,0.543,2,0.44,0.40,0.022
6,2013-10-27,KS,0,두산,승리, 3:2,8,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.240,0.278,0.262,0.540,5,1.60,-0.34,-0.029
7,2013-10-28,KS,0,두산,패배, 1:2,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.238,0.276,0.260,0.536,12,1.12,-0.61,-0.061
8,2013-10-29,KS,0,두산,승리, 7:5,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.275,0.259,0.534,1,0.65,-0.65,-0.026
9,2014-11-04,KS,1,넥센,패배, 4:2,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.313,0.369,0.682,6,1.01,-0.55,-0.054
10,2014-11-05,KS,1,넥센,승리, 1:7,8,2,1,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.278,0.314,0.370,0.684,6,0.54,0.48,0.010
11,2014-11-08,KS,0,넥센,패배, 3:9,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.313,0.369,0.682,3,0.09,-0.23,-0.002
12,2014-11-10,KS,1,넥센,승리, 1:2,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.275,0.311,0.366,0.677,6,0.87,-0.52,-0.043
13,2014-11-11,KS,0,넥센,승리, 11:1,8,2,1,3,2,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.276,0.314,0.367,0.681,9,0.53,1.33,0.073
14,2015-10-26,KS,1,두산,승리, 8:9,8,2,1,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.307,0.335,0.348,0.683,10,1.80,1.87,0.387
15,2015-10-27,KS,1,두산,패배, 6:1,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.305,0.333,0.346,0.679,4,1.00,-0.93,-0.066
16,2015-10-29,KS,0,두산,패배, 1:5,8,2,1,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.307,0.335,0.348,0.683,8,0.58,-0.22,-0.034
17,2015-10-30,KS,0,두산,패배, 3:4,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.306,0.334,0.347,0.681,4,1.66,-0.39,-0.037
18,2015-10-31,KS,0,두산,패배, 2:13,8,2,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.304,0.332,0.344,0.676,7,0.60,-0.87,-0.044
19,2019-10-06,SP,1,LG,승리, 0:1,7,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.283,0.317,0.315,0.632,6,1.54,-0.65,-0.082
