,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2014-10-19,SP,0,NC,승리, 13:4,0,1.0,1,1,1.00,3,3,1,0,0,1,0,0,0,0,12,1.58,0.294,0.388,0.845,4.53,0.01,0.39,0.001,,,7일
1,2014-10-25,SP,1,NC,승리, 3:11,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,2,11,1.55,0.290,0.383,0.833,4.45,0.02,0.64,0.001,,,6일
2,2014-10-27,PO,0,넥센,패배, 3:6,0,0.1,3,3,3.70,4,2,2,0,0,1,0,0,1,0,19,1.58,0.297,0.391,0.861,4.91,2.70,-3.28,-0.522,BLHD,L,2일
3,2014-10-30,PO,1,넥센,패배, 6:2,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,1,3,1.57,0.296,0.389,0.857,4.88,0.03,0.13,0.001,,,3일
4,2014-10-31,PO,1,넥센,패배, 12:2,0,0.0,3,3,3.00,4,3,3,2,0,0,0,0,1,0,15,1.63,0.306,0.399,0.884,5.37,0.03,-3.65,-0.004,,,1일
5,2016-10-13,SP,0,넥센,승리, 7:0,0,2.0,0,0,0.00,10,9,3,0,0,0,1,0,0,3,42,1.40,0.270,0.357,0.681,2.70,0.06,1.16,0.007,,,5일
6,2016-10-16,SP,1,넥센,승리, 1:4,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,11,1.27,0.250,0.333,0.633,2.45,0.56,0.64,0.043,,HD,3일
7,2016-10-17,SP,1,넥센,승리, 4:5,0,1.1,0,0,0.00,4,3,0,0,0,0,0,0,0,0,12,1.14,0.233,0.313,0.592,2.19,2.76,1.33,0.248,,W,1일
8,2016-10-21,PO,0,NC,패배, 2:3,0,1.0,0,0,0.00,3,2,0,0,0,0,1,0,0,0,11,1.13,0.222,0.314,0.581,2.03,2.96,0.07,0.178,,HD,4일
9,2016-10-22,PO,0,NC,패배, 0:2,0,0.1,0,0,0.00,2,1,1,1,0,0,0,0,0,0,3,1.17,0.239,0.327,0.631,1.98,0.26,-0.54,-0.016,,,1일
10,2016-10-24,PO,1,NC,승리, 1:2,0,0.1,0,0,0.50,2,2,1,0,0,0,0,0,0,0,3,1.21,0.250,0.333,0.646,1.93,2.63,-0.48,-0.097,BLHD,,2일
11,2016-10-25,PO,1,NC,패배, 8:3,0,0.1,1,1,1.20,3,2,1,1,0,0,1,0,0,0,10,1.33,0.260,0.351,0.691,2.51,0.16,-1.03,-0.016,,,1일
12,2020-11-05,SP,1,두산,패배, 9:7,0,3.2,0,0,0.00,16,15,4,2,0,0,1,0,0,2,57,1.33,0.270,0.322,0.718,3.39,0.69,0.87,0.086,,,6일
13,2021-11-02,WC,0,두산,패배, 8:16,1,1.1,4,4,2.80,9,7,3,1,0,0,2,0,0,1,37,1.43,0.292,0.340,0.731,4.28,0.94,-1.93,-0.179,31,L,6일
14,2022-10-20,SP,0,KT,패배, 6:9,1,2.0,0,0,0.00,9,9,3,0,0,0,0,0,0,1,30,1.53,0.303,0.359,0.828,5.24,1.06,1.02,0.105,51,,7+일
