,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2016-10-13,SP,0,넥센,승리, 7:0,0,0.2,0,0,0.00,3,3,0,0,0,0,0,0,0,0,10,1.72,0.269,0.379,0.775,4.61,0.12,0.25,0.003,,,7일
1,2016-10-17,SP,1,넥센,승리, 4:5,0,0.1,0,0,0.00,2,2,1,0,0,0,0,0,0,0,7,1.73,0.271,0.380,0.777,4.58,1.66,-0.13,-0.027,,,4일
2,2016-10-21,PO,0,NC,패배, 2:3,0,0.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,2,1.71,0.270,0.379,0.774,4.53,2.34,0.66,0.098,,HD,4일
3,2016-10-22,PO,0,NC,패배, 0:2,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,0,4,1.69,0.267,0.376,0.768,4.47,0.43,1.18,0.030,,,1일
4,2016-10-24,PO,1,NC,승리, 1:2,0,0.2,0,0,0.00,3,3,1,0,0,0,0,0,0,1,14,1.68,0.268,0.375,0.766,4.42,1.58,0.37,0.046,,,2일
5,2016-10-25,PO,1,NC,패배, 8:3,0,0.1,0,0,0.00,3,3,2,0,0,0,0,0,0,1,15,1.71,0.274,0.379,0.774,4.40,0.26,-0.28,-0.009,,,1일
6,2019-10-07,SP,0,키움,패배, 4:5,0,0.0,0,0,0.50,1,1,0,0,0,0,0,0,0,0,7,1.43,0.267,0.335,0.693,3.43,3.17,0.68,-0.302,,,7+일
7,2019-10-09,SP,1,키움,승리, 2:4,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,0,11,1.38,0.260,0.328,0.677,3.32,2.03,1.22,0.202,,W,2일
8,2019-10-10,SP,1,키움,패배, 10:5,0,1.2,1,1,1.00,7,7,2,1,0,0,0,0,0,1,21,1.38,0.261,0.327,0.679,3.40,0.72,-1.16,-0.026,,,1일
9,2020-11-02,WC,1,키움,승리, 3:4,0,0.1,0,0,0.00,2,1,0,0,0,0,0,0,1,0,7,1.53,0.270,0.357,0.702,4.29,4.60,0.44,0.090,,,3일
10,2020-11-04,SP,0,두산,패배, 0:4,0,1.2,0,0,0.00,5,5,1,0,0,0,0,0,0,1,19,1.50,0.268,0.353,0.694,4.15,0.58,2.45,0.086,,,2일
11,2020-11-05,SP,1,두산,패배, 9:7,0,0.1,4,4,5.05,5,4,4,0,0,1,0,0,0,0,17,1.57,0.282,0.363,0.731,4.82,0.73,-4.82,-0.195,,,1일
12,2021-11-04,SP,1,두산,패배, 5:1,0,0.1,1,0,1.35,3,3,2,0,0,0,0,0,0,0,6,1.37,0.257,0.335,0.652,2.42,0.74,-1.21,-0.117,,,7+일
13,2021-11-07,SP,1,두산,패배, 10:3,0,0.1,0,0,0.35,3,3,2,0,0,0,0,0,0,1,11,1.40,0.265,0.340,0.664,2.40,0.04,-0.64,-0.004,,,3일
14,2022-10-25,PO,1,키움,패배, 7:6,0,0.2,1,1,1.00,4,2,1,0,0,0,1,0,0,0,13,1.14,0.241,0.294,0.625,2.56,0.49,-0.69,-0.037,,,7+일
15,2022-10-27,PO,0,키움,패배, 4:6,0,0.0,2,2,1.50,2,1,1,1,0,0,0,0,1,0,4,1.16,0.246,0.302,0.643,2.96,2.29,-1.24,-0.179,,,2일
