,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2015-10-10,SP,1,넥센,승리, 3:4,0,0.1,1,1,0.30,2,2,1,0,0,0,0,0,0,0,4,1.60,0.233,0.365,0.704,3.77,1.62,-0.02,-0.002,,,7일
1,2015-10-11,SP,1,넥센,승리, 2:3,0,0.2,0,0,0.00,3,2,1,0,0,0,0,0,0,0,14,1.60,0.236,0.366,0.707,3.73,3.81,0.40,0.059,,HD,1일
2,2015-10-19,PO,0,NC,패배, 1:2,0,0.1,2,2,2.00,4,2,2,1,0,0,1,0,0,0,13,1.63,0.242,0.372,0.723,4.00,2.46,-2.02,-0.566,BLSV,L,7+일
3,2015-10-21,PO,1,NC,패배, 16:2,0,0.2,3,3,1.45,4,2,1,0,0,0,1,0,1,1,12,1.65,0.245,0.378,0.730,4.38,0.51,-0.98,-0.024,,,2일
4,2015-10-26,KS,0,삼성,패배, 8:9,0,0.1,3,2,3.00,4,2,1,0,0,1,1,0,1,0,21,1.67,0.247,0.383,0.749,4.64,1.69,-2.58,-0.265,,,5일
5,2017-10-17,PO,1,NC,패배, 13:5,0,1.0,0,0,0.00,5,4,1,0,0,0,1,0,0,2,28,1.40,0.247,0.333,0.681,3.64,1.57,0.94,0.091,,,7+일
6,2017-10-18,PO,1,NC,승리, 7:17,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,2,22,1.39,0.245,0.331,0.676,3.61,0.07,0.86,0.008,,,1일
7,2017-10-20,PO,0,NC,승리, 14:3,0,2.2,0,0,0.00,8,8,1,0,0,0,0,0,0,2,26,1.37,0.243,0.328,0.670,3.54,0.48,2.12,0.112,,W,2일
8,2017-10-21,PO,0,NC,승리, 14:5,0,1.2,0,0,0.00,5,5,0,0,0,0,0,0,0,2,20,1.35,0.241,0.326,0.665,3.50,0.45,1.09,0.058,,HD,1일
9,2017-10-25,KS,0,KIA,승리, 5:3,0,1.0,0,0,0.00,6,5,1,0,0,0,1,0,0,1,28,1.36,0.240,0.326,0.664,3.48,1.80,-0.61,-0.119,,HD,4일
10,2017-10-26,KS,0,KIA,패배, 0:1,0,0.1,1,1,0.65,2,1,1,1,0,0,0,0,0,0,3,1.36,0.242,0.327,0.668,3.53,1.94,-0.51,-0.133,,L,1일
11,2017-10-29,KS,1,KIA,패배, 5:1,0,0.2,1,0,1.50,5,4,1,0,0,0,1,0,0,1,17,1.37,0.242,0.327,0.667,3.51,0.87,-1.12,-0.099,,,3일
12,2017-10-30,KS,1,KIA,패배, 7:6,0,0.2,0,0,0.70,3,3,1,0,0,0,0,0,0,1,14,1.37,0.242,0.327,0.667,3.50,0.09,-0.37,-0.009,,,1일
13,2018-11-05,KS,1,SK,승리, 3:7,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,2,17,1.39,0.229,0.337,0.657,2.90,0.65,0.91,0.072,,SV,7+일
14,2018-11-09,KS,0,SK,승리, 2:1,0,2.0,0,0,0.00,7,7,1,0,0,0,0,0,0,3,35,1.36,0.227,0.332,0.647,2.82,2.43,1.25,0.341,,SV,4일
15,2018-11-12,KS,1,SK,패배, 5:4,0,1.2,0,0,0.00,8,6,2,0,0,0,2,0,0,3,38,1.39,0.229,0.337,0.653,2.75,2.40,1.29,0.197,,,3일
16,2019-10-22,KS,1,키움,승리, 6:7,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,11,1.31,0.199,0.314,0.651,3.40,1.41,0.52,0.107,,,7+일
17,2019-10-23,KS,1,키움,승리, 5:6,0,1.0,0,0,0.00,3,2,0,0,0,0,1,0,0,0,10,1.31,0.197,0.314,0.647,3.34,0.27,0.52,0.015,,,1일
