,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2020-11-10,PO,0,KT,승리, 4:1,0,2.1,0,0,0.00,7,7,0,0,0,0,0,0,0,2,33,1.35,0.269,0.333,0.762,4.82,0.72,1.41,0.130,,HD,7+일
1,2020-11-12,PO,1,KT,패배, 5:2,0,0.0,2,2,2.70,3,1,1,0,0,0,2,1,0,0,11,1.39,0.272,0.340,0.771,5.07,1.26,-3.00,-0.217,,,2일
2,2020-11-20,KS,1,NC,승리, 6:7,0,1.0,3,3,3.00,8,7,5,0,0,0,1,0,0,2,36,1.46,0.283,0.350,0.788,5.38,2.20,-2.69,-0.329,,,7+일
3,2020-11-23,KS,0,NC,패배, 0:5,0,0.1,1,1,0.50,2,1,0,0,0,0,1,0,0,0,10,1.47,0.282,0.351,0.788,5.47,0.24,0.06,0.002,,,3일
4,2021-11-01,WC,1,키움,패배, 7:4,0,1.1,1,1,1.00,6,5,2,0,0,0,0,0,0,1,32,1.24,0.242,0.307,0.621,2.85,1.02,-0.34,-0.077,,,2일
5,2021-11-04,SP,0,LG,승리, 5:1,0,1.1,0,0,0.35,6,5,2,0,0,0,1,0,0,0,22,1.26,0.245,0.311,0.627,2.81,2.70,0.09,0.017,,HD,3일
6,2021-11-07,SP,0,LG,승리, 10:3,0,2.0,1,1,1.00,9,9,3,1,0,0,0,0,0,1,28,1.27,0.247,0.312,0.632,2.85,0.05,0.11,0.004,,,3일
7,2021-11-09,PO,0,삼성,승리, 6:4,0,3.0,1,1,0.65,13,11,3,1,0,0,1,0,0,2,52,1.27,0.248,0.312,0.633,2.85,2.65,1.93,0.241,,W,2일
8,2021-11-15,KS,0,KT,패배, 1:6,0,0.0,0,0,0.85,1,1,1,1,0,0,0,0,0,0,4,1.28,0.251,0.314,0.641,2.85,0.58,-1.73,-0.030,,,6일
9,2021-11-17,KS,1,KT,패배, 3:1,0,0.2,0,0,1.20,3,2,1,0,0,0,0,0,0,0,11,1.28,0.252,0.315,0.643,2.83,1.72,-0.55,-0.099,,,2일
10,2021-11-18,KS,1,KT,패배, 8:4,0,1.2,0,0,0.00,5,4,0,0,0,0,1,0,0,0,20,1.27,0.249,0.313,0.637,2.77,0.26,1.34,0.033,,,1일
11,2023-10-19,WC,0,NC,패배, 9:14,0,0.2,6,6,6.00,8,6,4,0,0,1,1,0,1,1,32,1.54,0.282,0.348,0.753,3.90,0.24,-5.58,-0.059,,,3일
12,2024-10-02,WC,1,KT,패배, 4:0,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,12,1.46,0.250,0.356,0.711,2.69,0.05,0.61,0.004,,,6일
