,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2011-04-27,SS,0,넥센,패배, 0:2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2011-04-28,SS,0,넥센,패배, 2:4,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0,,,
2,2014-05-14,SS,0,삼성,패배, 3:10,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
3,2014-05-15,SS,0,삼성,패배, 3:3,2,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,1.000,0.000,1.000,8,2.62,0.92,0.176
4,2014-08-01,SS,1,두산,승리, 6:9,2,6,0,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,3.60,2.25,0.301
5,2014-08-03,SS,1,두산,승리, 2:4,9,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.500,1.000,1.500,19,1.08,-1.08,-0.086
6,2014-08-05,SS,1,삼성,패배, 14:1,7,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.125,0.300,0.500,0.800,16,0.29,-1.07,-0.033
7,2014-08-06,SS,1,삼성,승리, 2:4,9,6,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.333,0.500,0.833,5,0.86,-0.15,-0.017
8,2014-08-09,SS,0,LG,승리, 1:0,9,6,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.231,0.333,0.462,0.795,7,0.79,-0.44,-0.035
9,2014-08-11,SS,0,LG,승리, 4:2,9,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.188,0.278,0.375,0.653,7,0.52,-1.18,-0.041
10,2014-08-12,SS,1,두산,패배, 11:9,9,6,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.222,0.300,0.389,0.689,7,1.03,-0.39,-0.035
11,2014-08-14,SS,1,롯데,패배, 9:4,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.300,0.389,0.689,0,,,
12,2014-08-15,SS,1,롯데,승리, 6:8,9,6,1,4,4,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.273,0.333,0.409,0.742,9,1.01,1.27,0.084
13,2014-08-16,SS,0,NC,패배, 2:3,9,6,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.304,0.385,0.435,0.820,9,0.97,0.29,0.032
14,2014-08-17,SS,0,NC,패배, 3:4,9,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.269,0.345,0.385,0.730,11,0.53,-0.48,-0.040
15,2014-08-19,SS,0,롯데,승리, 10:7,9,6,1,5,4,2,2,1,1,0,5,0,0,0,1,0,0,2,0,0,0,0.300,0.382,0.500,0.882,20,0.30,0.85,0.034
16,2014-08-22,SS,1,SK,승리, 3:8,9,6,1,5,5,1,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0.314,0.385,0.543,0.928,20,0.72,0.45,0.081
17,2014-08-23,SS,0,KIA,패배, 5:6,9,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.289,0.357,0.500,0.857,9,0.59,-0.91,-0.048
