,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2007-04-28,SS,0,두산,승리, 7:2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2007-04-29,SS,0,두산,패배, 3:4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
2,2007-05-01,SS,1,KIA,패배, 8:1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0,,,
3,2007-05-03,SS,1,KIA,패배, 4:1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
4,2008-07-26,SS,1,한화,패배, 5:3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
5,2008-07-29,SS,0,두산,승리, 4:3,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
6,2008-08-28,SS,0,한화,승리, 11:4,9,0,1,5,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.167,0.000,0.167,0,,,
7,2008-08-31,SS,1,삼성,승리, 5:7,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.143,0.000,0.143,0,,,
8,2008-09-04,SS,1,LG,승리, 9:11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.143,0.000,0.143,0,,,
9,2008-09-05,SS,0,KIA,승리, 7:1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.125,0.000,0.125,0,,,
10,2008-09-06,SS,0,KIA,승리, 10:2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.111,0.000,0.111,0,,,
11,2008-09-07,SS,0,KIA,승리, 5:2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.100,0.000,0.100,0,,,
12,2008-09-09,SS,1,우리,승리, 3:4,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.083,0.000,0.083,0,,,
13,2008-09-13,SS,0,삼성,승리, 6:5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.083,0.000,0.083,0,,,
14,2008-09-14,SS,0,삼성,승리, 9:1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.083,0.000,0.083,0,,,
15,2008-09-20,SS,1,두산,패배, 8:2,9,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.083,0.154,0.083,0.237,0,,,
16,2008-09-21,SS,1,두산,패배, 11:2,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.143,0.077,0.220,0,,,
17,2008-09-23,SS,0,KIA,패배, 8:9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.143,0.077,0.220,0,,,
18,2008-09-27,SS,1,한화,승리, 3:4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.143,0.077,0.220,0,,,
19,2008-09-28,SS,1,KIA,승리, 2:4,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.143,0.200,0.143,0.343,0,,,
20,2008-09-30,SS,0,SK,패배, 2:3,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.133,0.188,0.133,0.321,0,,,
21,2008-10-01,SS,0,SK,패배, 1:7,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.158,0.111,0.269,0,,,
22,2008-10-03,SS,0,LG,승리, 9:3,2,0,1,5,4,2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0.136,0.208,0.182,0.390,0,,,
23,2008-10-04,SS,0,LG,패배, 0:4,3,0,0,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.200,0.259,0.240,0.499,0,,,
24,2009-04-04,SS,1,우리,승리, 2:3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
25,2009-04-10,SS,0,한화,패배, 3:8,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
26,2009-04-11,SS,0,한화,패배, 6:10,9,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0,,,
27,2009-04-12,SS,0,한화,승리, 7:4,9,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.167,0.167,0.333,0.500,0,,,
28,2009-04-14,SS,1,KIA,패배, 4:0,9,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.333,0.555,0,,,
29,2009-04-15,SS,1,KIA,승리, 0:1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.333,0.555,0,,,
30,2009-04-17,SS,0,우리,승리, 13:8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.333,0.555,0,,,
31,2009-04-18,SS,0,우리,승리, 5:0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.333,0.555,0,,,
32,2009-04-19,SS,0,우리,패배, 2:6,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.300,0.500,0,,,
33,2009-04-21,SS,0,SK,패배, 1:9,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.182,0.273,0.455,0,,,
34,2009-04-22,SS,0,SK,패배, 1:13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.250,0.417,0,,,
35,2009-04-23,SS,0,SK,패배, 2:8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.231,0.385,0,,,
36,2009-04-24,SS,1,LG,패배, 7:6,2,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.188,0.188,0.250,0.438,0,,,
37,2009-04-25,SS,1,LG,패배, 10:9,9,0,1,5,5,3,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.286,0.286,0.333,0.619,0,,,
38,2009-04-26,SS,1,LG,승리, 3:5,1,0,1,3,3,1,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0.292,0.320,0.375,0.695,0,,,
39,2009-04-28,SS,0,KIA,패배, 0:2,2,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.286,0.310,0.357,0.667,0,,,
40,2009-04-29,SS,0,KIA,승리, 7:2,8,0,1,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.258,0.303,0.323,0.626,0,,,
41,2009-04-30,SS,0,KIA,패배, 5:11,8,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.229,0.270,0.286,0.556,0,,,
42,2009-05-01,SS,1,두산,패배, 11:5,8,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.237,0.275,0.289,0.564,0,,,
43,2009-05-02,SS,1,두산,패배, 7:2,8,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.244,0.279,0.293,0.572,0,,,
44,2009-05-03,SS,1,두산,승리, 2:4,8,0,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.283,0.295,0.578,0,,,
45,2009-05-05,SS,1,SK,패배, 4:0,8,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0.265,0.277,0.542,0,,,
46,2009-05-06,SS,1,SK,패배, 6:3,2,0,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.240,0.283,0.280,0.563,0,,,
47,2009-05-07,SS,1,SK,승리, 3:4,6,0,1,3,3,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.245,0.298,0.302,0.600,0,,,
48,2009-05-08,SS,0,KIA,패배, 3:4,2,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.232,0.295,0.286,0.581,0,,,
49,2009-05-09,SS,0,KIA,승리, 5:4,7,0,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.233,0.292,0.283,0.575,0,,,
50,2009-05-10,SS,0,KIA,패배, 1:2,8,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.238,0.294,0.286,0.580,0,,,
51,2009-05-12,SS,1,삼성,승리, 5:8,8,0,1,4,3,2,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0.258,0.319,0.303,0.622,0,,,
52,2009-05-13,SS,1,삼성,승리, 5:6,8,0,1,1,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0.254,0.333,0.299,0.632,0,,,
53,2009-05-14,SS,1,삼성,승리, 6:8,8,0,1,4,4,2,3,1,0,1,7,6,0,0,0,0,0,0,0,0,0,0.282,0.354,0.380,0.734,0,,,
54,2009-05-15,SS,1,한화,승리, 1:7,8,0,1,4,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.280,0.349,0.387,0.736,0,,,
55,2009-05-17,SS,1,한화,패배, 12:8,8,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.337,0.372,0.709,0,,,
56,2009-05-17,SS,1,한화,패배, 3:1,7,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.326,0.358,0.684,0,,,
57,2009-05-19,SS,0,두산,패배, 3:11,8,0,1,3,3,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0.262,0.333,0.369,0.702,0,,,
58,2009-05-20,SS,0,두산,승리, 11:6,8,0,1,3,2,0,1,1,0,0,2,4,0,0,2,0,0,0,0,0,1,0.267,0.347,0.384,0.731,0,,,
59,2009-05-22,SS,0,삼성,패배, 3:4,8,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.256,0.333,0.367,0.700,0,,,
60,2009-05-23,SS,0,삼성,패배, 5:8,8,0,1,4,4,0,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0.277,0.349,0.383,0.732,0,,,
61,2009-05-24,SS,0,삼성,승리, 7:4,7,0,1,5,5,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.273,0.342,0.384,0.726,0,,,
62,2009-05-26,SS,1,LG,승리, 0:6,8,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.272,0.339,0.379,0.718,0,,,
63,2009-05-27,SS,1,LG,승리, 5:6,8,0,1,3,3,1,1,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0.274,0.345,0.377,0.722,0,,,
64,2009-05-28,SS,1,LG,패배, 13:3,8,0,1,4,4,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.291,0.358,0.400,0.758,0,,,
65,2009-05-29,SS,0,우리,패배, 5:7,1,0,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.289,0.359,0.395,0.754,0,,,
66,2009-05-30,SS,0,우리,패배, 8:10,2,0,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.288,0.361,0.390,0.751,0,,,
67,2009-05-31,SS,0,우리,패배, 3:7,7,0,1,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.289,0.360,0.388,0.748,0,,,
68,2009-06-02,SS,0,SK,패배, 2:3,2,0,1,4,4,0,2,1,0,0,3,1,0,1,0,0,0,1,0,0,0,0.296,0.364,0.400,0.764,0,,,
69,2009-06-03,SS,0,SK,패배, 1:2,6,0,1,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.302,0.368,0.403,0.771,0,,,
70,2009-06-04,SS,0,SK,승리, 9:4,6,0,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.299,0.362,0.396,0.758,0,,,
71,2009-06-05,SS,0,두산,패배, 7:8,6,0,1,4,4,2,2,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0.304,0.370,0.406,0.776,0,,,
72,2009-06-06,SS,0,두산,승리, 8:0,2,0,1,4,4,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.303,0.371,0.401,0.772,0,,,
73,2009-06-07,SS,0,두산,승리, 1:0,6,0,1,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.303,0.374,0.400,0.774,0,,,
74,2009-06-09,SS,1,한화,승리, 3:9,6,0,1,4,4,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.309,0.377,0.403,0.780,0,,,
75,2009-06-10,SS,1,한화,승리, 0:5,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.303,0.371,0.395,0.766,0,,,
76,2009-06-11,SS,1,한화,승리, 6:12,6,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.293,0.360,0.382,0.742,0,,,
77,2009-06-12,SS,1,우리,승리, 9:13,3,0,1,4,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.292,0.361,0.379,0.740,0,,,
78,2009-06-13,SS,1,우리,패배, 7:0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.290,0.366,0.377,0.743,0,,,
79,2009-06-14,SS,1,우리,패배, 15:5,1,0,1,4,3,0,2,1,0,0,3,1,0,0,1,0,0,0,0,0,1,0.297,0.372,0.388,0.760,0,,,
80,2009-06-16,SS,0,삼성,패배, 2:10,7,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.290,0.365,0.379,0.744,0,,,
81,2009-06-17,SS,0,삼성,승리, 1:0,7,0,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.285,0.362,0.372,0.734,0,,,
82,2009-06-18,SS,0,삼성,승리, 9:6,7,0,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.282,0.358,0.367,0.725,0,,,
83,2009-06-19,SS,1,KIA,승리, 3:6,7,0,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.282,0.356,0.365,0.721,0,,,
84,2009-06-20,SS,1,KIA,승리, 1:7,2,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.281,0.354,0.362,0.716,0,,,
85,2009-06-23,SS,1,두산,승리, 3:7,7,0,1,3,3,2,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.282,0.357,0.378,0.735,0,,,
86,2009-06-24,SS,1,두산,패배, 5:4,7,0,1,4,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.281,0.355,0.380,0.735,0,,,
87,2009-06-25,SS,1,두산,승리, 1:4,7,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.276,0.348,0.372,0.720,0,,,
88,2009-06-26,SS,0,한화,승리, 6:4,3,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.278,0.350,0.374,0.724,0,,,
89,2009-06-27,SS,0,한화,승리, 4:3,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.347,0.370,0.717,0,,,
90,2009-06-28,SS,0,한화,승리, 2:0,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.271,0.342,0.365,0.707,0,,,
91,2009-06-30,SS,0,LG,패배, 5:6,7,0,1,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.267,0.341,0.359,0.700,0,,,
92,2009-07-01,SS,0,LG,승리, 6:4,7,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.263,0.339,0.354,0.693,0,,,
93,2009-07-02,SS,0,LG,승리, 4:3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.338,0.352,0.690,0,,,
94,2009-07-03,SS,1,SK,패배, 7:5,8,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0.263,0.338,0.352,0.690,0,,,
95,2009-07-04,SS,1,SK,승리, 0:1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.338,0.352,0.690,0,,,
96,2009-07-05,SS,1,SK,승리, 2:3,8,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.258,0.332,0.346,0.678,0,,,
97,2009-07-08,SS,1,삼성,패배, 3:2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.258,0.337,0.346,0.683,0,,,
