,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2015-04-30,SS,1,NC,승리, 6:9,6,10,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.21,0.45,0.008
1,2015-05-01,SS,0,KIA,승리, 3:1,7,10,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,10,0.66,-0.93,-0.066
2,2015-05-02,SS,0,KIA,패배, 2:5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0,,,
3,2015-05-09,SS,1,삼성,패배, 3:1,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,7,1.25,-0.12,-0.032
4,2015-05-13,SS,1,두산,패배, 5:2,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,3,0.50,-0.20,-0.013
5,2015-05-14,SS,1,두산,승리, 8:9,5,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.125,0.125,0.125,0.250,2,2.58,-0.64,-0.113
6,2015-05-17,SS,0,LG,패배, 4:6,8,2,1,4,4,1,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0.250,0.250,0.250,0.500,13,1.34,-0.69,-0.077
7,2015-05-20,SS,1,한화,승리, 6:7,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.231,0.462,3,1.81,-0.29,-0.046
8,2015-05-21,SS,1,한화,패배, 7:1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.231,0.462,0,,,
9,2015-05-22,SS,0,두산,패배, 3:4,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.214,0.428,4,2.87,-0.29,-0.073
10,2015-05-23,SS,0,두산,패배, 0:9,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,4,0.01,-0.02,0.000
11,2015-05-24,SS,0,두산,패배, 2:7,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.188,0.188,0.376,1,0.06,-0.20,-0.002
12,2015-05-26,SS,1,롯데,패배, 10:5,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0.176,0.176,0.352,2,0.21,-0.54,-0.006
13,2015-05-28,SS,1,롯데,패배, 3:1,6,2,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.158,0.200,0.158,0.358,15,1.78,-0.70,-0.112
14,2015-07-01,SS,1,KT,패배, 4:2,8,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.200,0.158,0.358,0,,,
15,2015-07-03,SS,0,롯데,승리, 8:7,4,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150,0.190,0.150,0.340,7,6.87,-1.00,-0.171
