,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2014-07-05,SS,1,삼성,패배, 6:0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2014-07-06,SS,1,삼성,패배, 7:4,8,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.21,0.05,-0.004
2,2014-08-14,SS,0,넥센,패배, 2:8,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.03,-0.23,-0.001
3,2014-09-14,SS,0,롯데,패배, 3:4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
4,2014-10-06,SS,0,삼성,승리, 5:1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
5,2014-10-08,SS,1,KIA,승리, 2:4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
6,2014-10-10,SS,0,한화,승리, 7:3,5,2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,4,0.54,0.95,0.033
7,2014-10-11,SS,1,LG,패배, 15:2,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,3,0.00,-0.23,0.000
8,2014-10-15,SS,1,SK,승리, 3:6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,0,,,
9,2014-10-16,SS,1,SK,패배, 7:5,8,2,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,23,0.61,0.87,-0.015
10,2014-10-17,SS,1,NC,승리, 1:2,8,2,1,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.200,0.333,0.200,0.533,14,2.06,-0.27,-0.002
