,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2008-06-29,SS,0,우리,패배, 1:4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2008-07-04,SS,0,롯데,패배, 0:7,8,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,,,
2,2008-07-09,SS,0,두산,패배, 1:5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,,,
3,2008-07-16,SS,0,한화,패배, 4:11,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0,,,
4,2008-07-17,SS,0,한화,패배, 7:11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0,,,
5,2008-10-04,SS,1,롯데,승리, 0:4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,0,,,
6,2009-05-26,SS,0,롯데,패배, 0:6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
7,2009-05-28,SS,0,롯데,승리, 13:3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
8,2009-05-29,SS,1,KIA,패배, 12:5,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
9,2009-06-02,SS,1,한화,패배, 11:10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
10,2009-06-06,SS,0,우리,패배, 4:11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
11,2009-06-07,SS,0,우리,패배, 1:7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
12,2009-06-10,SS,0,두산,승리, 8:0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
13,2009-06-17,SS,0,한화,패배, 4:12,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0,,,
14,2009-06-18,SS,0,한화,승리, 12:6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
15,2009-06-21,SS,1,삼성,승리, 5:6,8,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,,
16,2009-06-23,SS,1,우리,패배, 11:8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.125,0.250,0,,,
17,2009-06-24,SS,1,우리,승리, 2:6,8,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.182,0.182,0.182,0.364,0,,,
18,2009-06-25,SS,1,우리,패배, 2:1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,0,,,
19,2009-06-26,SS,0,SK,패배, 3:6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,0,,,
20,2009-07-03,SS,1,두산,승리, 1:10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,0,,,
