,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2014-09-09,SS,0,넥센,패배, 8:13,3,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.13,-0.58,-0.003
1,2015-05-06,SS,0,NC,패배, 4:5,7,8,1,4,3,1,1,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0.333,0.500,0.667,1.167,22,1.11,1.01,0.113
2,2015-05-07,SS,0,NC,승리, 4:2,8,7,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.143,0.250,0.286,0.536,20,1.20,-1.53,-0.112
3,2015-08-08,SS,0,NC,패배, 2:9,8,8,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.111,0.273,0.222,0.495,15,0.34,-0.21,-0.025
4,2015-08-09,SS,0,NC,승리, 9:2,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.222,0.495,0,,,
5,2015-08-12,SS,1,두산,승리, 3:10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.222,0.495,0,,,
6,2015-08-14,SS,1,삼성,승리, 1:13,5,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.091,0.231,0.182,0.413,7,0.00,-0.32,0.000
7,2015-08-15,SS,0,LG,승리, 2:1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.182,0.413,0,,,
8,2015-08-17,SS,0,LG,패배, 2:3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.182,0.413,0,,,
9,2015-09-05,SS,0,삼성,승리, 4:0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.182,0.413,0,,,
10,2015-09-06,SS,0,삼성,패배, 3:9,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.083,0.214,0.167,0.381,3,0.02,-0.12,-0.001
11,2016-04-09,SS,0,KT,승리, 6:3,6,8,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.02,0.96,0.119
12,2016-04-12,SS,0,SK,승리, 7:6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,,,
13,2016-04-13,SS,0,SK,패배, 0:2,9,8,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,1.38,-0.21,-0.004
14,2016-04-14,SS,0,SK,패배, 6:7,2,8,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0.429,0.500,0.429,0.929,15,1.43,-1.21,-0.101
15,2016-04-15,SS,1,넥센,승리, 6:11,2,8,1,4,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.455,0.500,0.455,0.955,12,1.12,0.64,0.060
16,2016-04-17,SS,1,넥센,패배, 2:1,2,8,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.429,0.467,0.429,0.896,14,2.24,-0.23,-0.018
17,2016-04-19,SS,1,삼성,승리, 2:7,2,8,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.389,0.421,0.389,0.810,16,0.64,-0.58,-0.040
18,2016-04-20,SS,1,삼성,패배, 2:1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0.421,0.389,0.810,0,,,
19,2016-04-21,SS,1,삼성,패배, 8:1,8,8,1,4,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.409,0.435,0.455,0.890,13,0.34,0.31,-0.034
20,2016-04-22,SS,0,롯데,패배, 5:7,8,8,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.385,0.407,0.423,0.830,18,0.82,-0.49,-0.009
21,2016-04-23,SS,0,롯데,승리, 16:10,2,8,1,6,4,3,2,0,0,1,5,1,0,0,2,0,0,1,0,0,0,0.400,0.455,0.533,0.988,25,0.51,1.37,0.082
22,2016-04-24,SS,0,롯데,승리, 11:4,2,8,1,6,6,3,4,0,1,0,6,2,2,0,0,0,0,1,0,0,0,0.444,0.487,0.611,1.098,19,0.47,2.12,0.123
23,2016-04-26,SS,0,한화,패배, 2:4,1,8,1,5,4,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.400,0.455,0.550,1.005,24,1.26,-1.02,-0.073
24,2016-04-28,SS,0,한화,패배, 2:3,9,8,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.356,0.408,0.489,0.897,27,1.21,-1.22,-0.152
25,2016-04-29,SS,1,두산,승리, 1:4,9,8,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,0.396,0.458,0.854,15,0.84,-0.94,-0.100
26,2016-05-01,SS,1,두산,패배, 4:1,2,9,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.320,0.393,0.440,0.833,11,1.35,-0.85,-0.072
27,2016-05-03,SS,1,롯데,승리, 2:3,2,9,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.321,0.390,0.434,0.824,10,0.79,-0.48,-0.016
28,2016-05-04,SS,1,롯데,승리, 2:3,2,9,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.298,0.365,0.404,0.769,16,1.09,-1.11,-0.108
29,2016-05-05,SS,1,롯데,승리, 1:17,5,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0.359,0.397,0.756,3,0.00,-0.28,0.000
30,2016-05-06,SS,0,넥센,패배, 6:15,6,9,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.305,0.369,0.407,0.776,4,0.02,0.90,0.001
31,2016-05-08,SS,0,넥센,패배, 6:7,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.364,0.400,0.764,5,1.34,-0.28,-0.034
32,2016-05-11,SS,1,KT,승리, 3:8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.364,0.400,0.764,0,,,
33,2016-05-12,SS,1,KT,승리, 6:10,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.300,0.373,0.400,0.773,1,0.07,0.22,0.001
34,2016-05-13,SS,1,한화,승리, 2:4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.373,0.400,0.773,0,,,
35,2016-05-14,SS,1,한화,승리, 0:8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.373,0.400,0.773,0,,,
36,2016-05-15,SS,1,한화,승리, 7:8,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.373,0.400,0.773,0,,,
