,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2005-04-02,SS,0,두산,패배, 5:14,7,0,1,4,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.000,0.200,0.000,0.200,0,,,
1,2005-04-03,SS,0,두산,패배, 7:8,7,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.250,0.000,0.250,0,,,
2,2005-04-09,SS,0,롯데,패배, 1:2,6,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.200,0.000,0.200,0,,,
3,2005-04-12,SS,1,SK,패배, 10:5,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.182,0.000,0.182,0,,,
4,2005-04-13,SS,1,SK,승리, 7:8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0,,,
5,2005-05-03,SS,0,두산,패배, 5:6,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.231,0.000,0.231,0,,,
6,2005-05-04,SS,0,두산,패배, 5:6,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.000,0.214,0.000,0.214,0,,,
7,2005-05-05,SS,0,두산,패배, 3:4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.214,0.000,0.214,0,,,
8,2005-05-07,SS,0,SK,패배, 4:8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.200,0.000,0.200,0,,,
9,2005-05-08,SS,0,SK,승리, 6:0,7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091,0.250,0.091,0.341,0,,,
10,2005-05-10,SS,1,한화,승리, 2:7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.083,0.235,0.083,0.318,0,,,
11,2005-05-11,SS,1,한화,승리, 3:9,3,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.154,0.278,0.154,0.432,0,,,
12,2005-05-12,SS,1,한화,승리, 4:7,6,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.188,0.286,0.188,0.474,0,,,
13,2005-05-13,SS,1,KIA,승리, 2:9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.286,0.188,0.474,0,,,
14,2005-05-14,SS,1,KIA,승리, 2:6,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.176,0.273,0.176,0.449,0,,,
15,2005-05-15,SS,1,KIA,패배, 9:2,6,0,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.143,0.231,0.143,0.374,0,,,
16,2005-05-18,SS,0,현대,승리, 11:6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.231,0.143,0.374,0,,,
17,2005-05-22,SS,1,두산,패배, 6:5,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.222,0.136,0.358,0,,,
18,2005-05-24,SS,1,롯데,패배, 10:5,8,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.174,0.250,0.217,0.467,0,,,
19,2005-05-25,SS,1,롯데,승리, 3:9,6,0,1,5,4,2,3,3,0,0,6,0,0,0,0,1,0,0,0,0,0,0.259,0.333,0.407,0.740,0,,,
20,2005-05-26,SS,1,롯데,패배, 13:11,3,0,1,5,4,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0.226,0.289,0.355,0.644,0,,,
21,2005-05-27,SS,0,삼성,승리, 12:6,3,0,1,5,4,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0.257,0.326,0.371,0.697,0,,,
22,2005-05-28,SS,0,삼성,패배, 2:9,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0.311,0.351,0.662,0,,,
23,2005-05-29,SS,0,삼성,패배, 2:3,6,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.313,0.350,0.663,0,,,
24,2005-05-31,SS,0,KIA,패배, 9:11,4,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.268,0.327,0.366,0.693,0,,,
25,2005-06-02,SS,0,KIA,패배, 3:6,3,0,1,4,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.267,0.321,0.422,0.743,0,,,
26,2005-06-04,SS,1,SK,패배, 7:3,6,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.298,0.388,0.686,0,,,
27,2005-06-05,SS,1,SK,승리, 2:5,6,0,1,3,3,1,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.269,0.328,0.423,0.751,0,,,
28,2005-06-06,SS,1,SK,패배, 4:1,6,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.250,0.308,0.393,0.701,0,,,
29,2005-06-07,SS,1,현대,승리, 4:5,3,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233,0.290,0.367,0.657,0,,,
30,2005-06-08,SS,1,현대,패배, 5:1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.226,0.301,0.355,0.656,0,,,
31,2005-06-09,SS,1,현대,승리, 1:2,5,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.212,0.286,0.333,0.619,0,,,
32,2005-06-11,SS,0,한화,패배, 1:3,5,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.272,0.314,0.586,0,,,
33,2005-06-12,SS,0,한화,패배, 5:7,5,0,1,4,3,2,1,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0.205,0.282,0.356,0.638,0,,,
34,2005-06-15,SS,1,삼성,승리, 1:8,6,0,1,4,4,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.208,0.281,0.351,0.632,0,,,
35,2005-06-16,SS,1,삼성,패배, 5:2,6,0,1,4,3,1,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0.213,0.290,0.363,0.653,0,,,
36,2005-06-17,SS,0,롯데,승리, 1:0,7,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.205,0.281,0.349,0.630,0,,,
37,2005-06-18,SS,0,롯데,패배, 2:9,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.202,0.278,0.345,0.623,0,,,
38,2005-06-19,SS,0,롯데,승리, 7:6,7,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0.273,0.337,0.610,0,,,
39,2005-06-21,SS,1,KIA,패배, 13:8,8,0,0,3,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.202,0.282,0.337,0.619,0,,,
40,2005-06-22,SS,1,KIA,패배, 5:3,6,0,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.194,0.271,0.323,0.594,0,,,
41,2005-06-23,SS,1,KIA,승리, 4:7,2,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.202,0.278,0.340,0.618,0,,,
42,2005-06-24,SS,1,한화,승리, 7:8,7,0,1,4,4,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.214,0.286,0.357,0.643,0,,,
43,2005-06-25,SS,1,한화,승리, 3:10,6,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.208,0.284,0.347,0.631,0,,,
44,2005-06-26,SS,1,한화,승리, 5:15,6,0,1,5,4,1,1,1,0,0,2,2,0,0,0,0,0,2,0,0,1,0.210,0.281,0.352,0.633,0,,,
45,2005-06-28,SS,0,현대,패배, 2:5,5,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.202,0.272,0.339,0.611,0,,,
46,2005-06-30,SS,0,현대,승리, 6:4,5,0,1,4,4,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.204,0.277,0.363,0.640,0,,,
47,2005-07-01,SS,1,KIA,승리, 0:8,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.273,0.357,0.630,0,,,
48,2005-07-02,SS,1,KIA,승리, 5:7,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.198,0.271,0.353,0.624,0,,,
49,2005-07-05,SS,1,두산,승리, 2:3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.197,0.269,0.350,0.619,0,,,
50,2005-07-06,SS,1,두산,승리, 1:6,6,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.193,0.265,0.345,0.610,0,,,
51,2005-07-07,SS,1,두산,승리, 4:7,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0.263,0.342,0.605,0,,,
52,2005-07-08,SS,0,SK,패배, 6:6,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.189,0.259,0.336,0.595,0,,,
53,2005-07-09,SS,0,SK,패배, 1:10,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.184,0.254,0.328,0.582,0,,,
54,2005-07-10,SS,0,SK,패배, 3:5,3,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.190,0.259,0.333,0.592,0,,,
55,2005-07-12,SS,1,롯데,승리, 3:4,7,0,0,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.197,0.269,0.339,0.608,0,,,
56,2005-07-13,SS,1,롯데,패배, 5:4,6,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.189,0.260,0.326,0.586,0,,,
57,2005-07-19,SS,0,현대,패배, 1:7,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.188,0.258,0.323,0.581,0,,,
58,2005-07-21,SS,0,현대,승리, 10:0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0.257,0.321,0.578,0,,,
59,2005-08-13,SS,0,KIA,패배, 8:10,6,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.185,0.260,0.319,0.579,0,,,
60,2005-08-14,SS,0,KIA,패배, 4:6,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.182,0.256,0.314,0.570,0,,,
61,2005-08-15,SS,0,KIA,패배, 4:6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.182,0.261,0.314,0.575,0,,,
62,2005-08-17,SS,1,현대,패배, 7:4,7,0,1,4,4,0,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0.199,0.273,0.333,0.606,0,,,
63,2005-08-18,SS,1,현대,승리, 5:9,6,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.194,0.268,0.326,0.594,0,,,
64,2005-08-20,SS,1,한화,패배, 13:4,6,0,1,4,4,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.203,0.274,0.338,0.612,0,,,
65,2005-08-21,SS,1,한화,패배, 8:6,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.271,0.333,0.604,0,,,
66,2005-08-23,SS,0,삼성,패배, 8:9,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.199,0.269,0.331,0.600,0,,,
67,2005-08-28,SS,0,한화,패배, 4:9,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0.267,0.329,0.596,0,,,
68,2005-08-30,SS,0,두산,패배, 4:7,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.266,0.327,0.593,0,,,
69,2005-09-02,SS,0,한화,패배, 4:14,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.264,0.325,0.589,0,,,
70,2005-09-03,SS,1,삼성,승리, 3:6,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0.261,0.321,0.582,0,,,
71,2005-09-04,SS,1,삼성,패배, 18:5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.192,0.266,0.321,0.587,0,,,
72,2005-09-06,SS,0,KIA,승리, 7:6,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0.264,0.318,0.582,0,,,
73,2005-09-18,SS,0,SK,패배, 3:4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0.264,0.318,0.582,0,,,
74,2005-09-20,SS,0,삼성,승리, 9:2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.263,0.316,0.579,0,,,
75,2005-09-22,SS,1,한화,승리, 4:6,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0.261,0.314,0.575,0,,,
76,2005-09-23,SS,0,현대,패배, 4:16,6,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.188,0.264,0.313,0.577,0,,,
77,2005-09-25,SS,1,SK,패배, 6:1,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0.261,0.309,0.570,0,,,
78,2005-09-28,SS,0,SK,승리, 3:2,5,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.190,0.265,0.313,0.578,0,,,
79,2006-04-30,SS,1,현대,패배, 12:5,1,0,0,3,3,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,0,,,
80,2006-05-02,SS,0,한화,패배, 7:11,6,0,1,3,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.167,0.375,0.667,1.042,0,,,
81,2006-05-03,SS,0,한화,패배, 6:6,6,0,1,4,4,1,4,0,0,1,7,2,0,0,1,0,0,0,0,0,0,0.500,0.615,1.100,1.715,0,,,
82,2006-05-04,SS,0,한화,패배, 1:6,5,0,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.385,0.529,0.846,1.375,0,,,
83,2006-05-09,SS,1,삼성,승리, 2:8,7,0,1,4,4,2,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.353,0.476,0.882,1.358,0,,,
84,2006-05-10,SS,1,삼성,패배, 9:2,4,0,1,4,4,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.333,0.462,0.762,1.224,0,,,
85,2006-05-11,SS,1,삼성,패배, 4:2,4,0,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.308,0.419,0.654,1.073,0,,,
86,2006-05-12,SS,0,현대,패배, 1:13,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.267,0.371,0.567,0.938,0,,,
87,2006-05-13,SS,0,현대,패배, 2:5,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.235,0.333,0.500,0.833,0,,,
88,2006-05-14,SS,0,현대,패배, 0:7,7,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.237,0.326,0.474,0.800,0,,,
89,2006-05-16,SS,1,롯데,승리, 1:4,7,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.225,0.311,0.450,0.761,0,,,
90,2006-05-17,SS,1,롯데,승리, 2:3,7,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.214,0.298,0.429,0.727,0,,,
91,2006-05-18,SS,1,롯데,승리, 0:2,6,0,1,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.222,0.300,0.444,0.744,0,,,
