,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2019-03-29,SS,1,NC,승리, 0:9,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.00,-0.20,0.000
1,2019-03-30,SS,1,NC,승리, 5:13,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
2,2019-04-02,SS,1,LG,승리, 2:6,8,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,9,0.95,-0.04,-0.003
3,2019-04-03,SS,1,LG,패배, 7:0,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,2,0.03,-0.10,-0.001
4,2019-04-05,SS,0,롯데,패배, 2:5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0,,,
5,2019-04-06,SS,0,롯데,패배, 7:9,8,3,1,3,3,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.250,0.250,0.625,0.875,11,1.09,0.41,-0.002
6,2019-04-13,SS,0,키움,패배, 3:5,7,3,0,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.800,1.200,9,0.48,1.10,0.051
7,2019-04-14,SS,0,키움,승리, 3:2,7,3,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,0.385,0.667,1.052,11,0.70,0.08,-0.012
8,2019-04-17,SS,0,KT,승리, 8:5,9,3,1,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.357,0.438,0.643,1.081,19,0.95,1.22,0.119
9,2019-04-18,SS,0,KT,패배, 5:6,9,3,1,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.353,0.450,0.588,1.038,11,1.70,0.47,0.020
