,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2008-07-23,SS,1,우리,패배, 5:1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2012-04-07,SS,0,두산,승리, 6:2,9,0,1,4,4,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,0,,,
2,2012-04-08,SS,0,두산,패배, 11:13,9,0,1,5,4,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0.250,0.222,0.250,0.472,0,,,
3,2012-04-11,SS,1,SK,패배, 5:1,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.182,0.200,0.382,0,,,
4,2012-04-12,SS,1,SK,승리, 2:4,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.154,0.143,0.154,0.297,0,,,
5,2012-04-13,SS,0,삼성,패배, 0:2,9,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.188,0.176,0.188,0.364,0,,,
6,2012-04-14,SS,0,삼성,패배, 1:4,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.150,0.158,0.308,0,,,
7,2012-04-15,SS,0,삼성,승리, 10:7,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150,0.143,0.150,0.293,0,,,
8,2012-04-17,SS,1,KIA,패배, 2:1,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130,0.125,0.130,0.255,0,,,
9,2012-04-20,SS,1,두산,승리, 4:7,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.120,0.115,0.120,0.235,0,,,
10,2012-04-24,SS,0,LG,승리, 7:3,9,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.148,0.143,0.148,0.291,0,,,
11,2012-04-26,SS,0,LG,승리, 9:7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.143,0.148,0.291,0,,,
12,2012-04-27,SS,0,한화,승리, 11:4,9,0,1,4,4,2,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.194,0.212,0.226,0.438,0,,,
13,2012-04-28,SS,0,한화,승리, 7:5,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.200,0.212,0.412,0,,,
14,2012-04-29,SS,0,한화,패배, 3:6,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.189,0.200,0.389,0,,,
15,2012-05-01,SS,1,롯데,패배, 11:1,9,0,1,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.189,0.225,0.216,0.441,0,,,
16,2012-05-02,SS,1,롯데,승리, 4:6,9,0,1,2,2,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.205,0.238,0.256,0.494,0,,,
17,2012-05-03,SS,1,롯데,패배, 4:2,9,0,1,2,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.220,0.250,0.268,0.518,0,,,
18,2012-05-04,SS,0,KIA,패배, 3:3,9,0,1,5,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.217,0.245,0.261,0.506,0,,,
19,2012-05-05,SS,0,KIA,패배, 2:3,9,0,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.224,0.264,0.265,0.529,0,,,
20,2012-05-06,SS,0,KIA,패배, 8:10,9,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.226,0.263,0.264,0.527,0,,,
21,2012-05-08,SS,1,LG,패배, 8:2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.263,0.264,0.527,0,,,
22,2012-05-09,SS,1,LG,승리, 6:11,9,0,1,5,4,0,1,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0.228,0.274,0.298,0.572,0,,,
23,2012-05-11,SS,0,SK,승리, 7:4,9,0,1,5,5,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.242,0.284,0.323,0.607,0,,,
24,2012-05-12,SS,0,SK,패배, 2:3,9,0,1,4,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.258,0.296,0.333,0.629,0,,,
25,2012-05-13,SS,0,SK,패배, 1:2,2,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.246,0.293,0.319,0.612,0,,,
26,2012-05-15,SS,0,롯데,승리, 9:2,9,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233,0.278,0.301,0.579,0,,,
27,2012-05-16,SS,0,롯데,승리, 8:0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230,0.275,0.297,0.572,0,,,
28,2012-05-17,SS,0,롯데,승리, 9:1,9,0,1,3,3,1,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0.247,0.306,0.325,0.631,0,,,
29,2012-05-18,SS,1,삼성,승리, 6:7,9,0,1,4,4,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.259,0.315,0.358,0.673,0,,,
