,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2012-04-08,SS,1,한화,승리, 5:10,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2012-04-13,SS,1,두산,패배, 6:1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
2,2012-04-15,SS,1,두산,승리, 0:5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
3,2012-04-18,SS,1,SK,패배, 8:2,9,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0,,,
4,2012-04-19,SS,1,SK,승리, 3:6,7,0,1,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.250,0.500,0.250,0.750,0,,,
5,2012-04-20,SS,0,KIA,승리, 11:7,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.429,0.200,0.629,0,,,
6,2012-04-24,SS,0,삼성,승리, 6:2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.200,0.500,0.200,0.700,0,,,
7,2012-04-27,SS,1,LG,패배, 20:8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.500,0.200,0.700,0,,,
8,2012-04-28,SS,1,LG,승리, 3:5,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.444,0.167,0.611,0,,,
9,2012-04-29,SS,1,LG,승리, 0:5,9,0,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.385,0.200,0.585,0,,,
10,2012-05-01,SS,0,넥센,승리, 11:1,9,0,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.214,0.389,0.214,0.603,0,,,
11,2012-05-02,SS,0,넥센,패배, 4:6,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.176,0.333,0.176,0.509,0,,,
12,2012-05-03,SS,0,넥센,승리, 4:2,9,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0.348,0.167,0.515,0,,,
13,2012-05-04,SS,0,SK,패배, 3:5,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.143,0.308,0.143,0.451,0,,,
14,2012-05-05,SS,0,SK,승리, 3:1,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.125,0.276,0.125,0.401,0,,,
15,2012-05-06,SS,0,SK,패배, 3:5,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.111,0.250,0.111,0.361,0,,,
16,2012-05-08,SS,1,삼성,패배, 2:1,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.103,0.235,0.103,0.338,0,,,
17,2012-05-09,SS,1,삼성,패배, 3:0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.229,0.100,0.329,0,,,
18,2012-05-10,SS,1,삼성,패배, 2:2,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.094,0.216,0.094,0.310,0,,,
19,2012-05-11,SS,0,한화,패배, 9:15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.216,0.094,0.310,0,,,
20,2012-05-12,SS,0,한화,승리, 6:4,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.094,0.237,0.094,0.331,0,,,
21,2012-05-13,SS,0,한화,패배, 1:7,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.091,0.322,0,,,
22,2012-05-15,SS,1,넥센,패배, 9:2,9,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.118,0.250,0.118,0.368,0,,,
