,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2015-03-28,SS,0,KIA,패배, 1:3,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.44,-0.12,-0.012
1,2015-03-31,SS,1,롯데,패배, 7:1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
2,2015-04-01,SS,1,롯데,승리, 2:3,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,3.47,-0.48,-0.089
3,2015-04-03,SS,1,삼성,패배, 7:3,5,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.21,-0.20,-0.005
4,2015-04-04,SS,1,삼성,승리, 2:3,7,5,1,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,0.66,1.22,0.108
5,2015-04-05,SS,1,삼성,승리, 5:6,7,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,16,0.48,-0.64,0.039
6,2015-04-09,SS,0,한화,패배, 4:5,7,3,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.214,0.214,0.214,0.428,21,1.70,0.76,0.193
7,2015-04-10,SS,1,두산,승리, 2:5,7,5,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0.235,0.235,0.235,0.470,19,1.26,-0.45,-0.069
8,2015-04-11,SS,1,두산,패배, 9:6,6,5,1,4,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,14,0.60,-0.72,-0.065
9,2015-04-12,SS,1,두산,승리, 2:3,6,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.292,0.292,0.292,0.584,13,1.34,-0.84,-0.123
10,2015-04-15,SS,1,KIA,패배, 9:4,7,5,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.250,0.250,0.250,0.500,20,1.65,-2.54,-0.157
11,2015-04-16,SS,1,KIA,승리, 5:10,2,3,0,3,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.258,0.258,0.258,0.516,10,0.98,0.77,0.080
12,2015-04-17,SS,0,SK,승리, 6:1,7,3,1,4,4,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.286,0.286,0.371,0.657,16,0.58,0.95,0.144
13,2015-04-18,SS,0,SK,패배, 4:8,6,5,1,4,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.282,0.282,0.385,0.667,8,1.07,0.87,0.038
14,2015-04-21,SS,1,한화,승리, 0:10,6,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.262,0.357,0.619,12,0.59,-1.16,-0.046
15,2015-04-22,SS,1,한화,패배, 5:2,6,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.239,0.239,0.326,0.565,20,1.36,-1.45,-0.144
16,2015-04-24,SS,0,NC,패배, 3:11,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0.234,0.319,0.553,2,0.03,-0.46,-0.001
17,2015-04-25,SS,0,NC,승리, 6:2,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229,0.229,0.313,0.542,6,0.49,-0.20,-0.012
18,2015-04-26,SS,0,NC,승리, 7:6,7,3,1,4,4,1,2,2,0,0,4,1,0,0,0,0,0,1,0,0,0,0.250,0.250,0.365,0.615,22,1.24,1.93,0.293
19,2015-04-28,SS,0,삼성,승리, 7:4,7,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.236,0.236,0.345,0.581,19,1.87,-0.97,-0.118
20,2015-04-29,SS,0,삼성,패배, 2:6,7,5,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.241,0.241,0.345,0.586,10,0.80,-1.17,-0.050
21,2015-04-30,SS,0,삼성,패배, 5:8,7,5,1,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.233,0.258,0.333,0.591,13,0.83,-0.68,-0.047
22,2015-05-01,SS,1,넥센,패배, 3:1,7,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.226,0.250,0.323,0.573,10,0.81,-0.46,-0.043
