,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2005-05-15,SS,1,삼성,패배, 13:5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2009-04-04,SS,0,롯데,패배, 2:3,6,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
2,2009-04-05,SS,0,롯데,승리, 10:1,6,0,1,4,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0.286,0.250,0.286,0.536,0,,,
3,2009-04-07,SS,1,삼성,승리, 8:10,5,0,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.231,0.250,0.481,0,,,
4,2009-04-08,SS,1,삼성,승리, 1:5,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.214,0.231,0.445,0,,,
5,2009-04-10,SS,1,SK,패배, 16:4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.214,0.231,0.445,0,,,
6,2009-04-11,SS,1,SK,패배, 10:3,6,0,1,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.313,0.294,0.375,0.669,0,,,
7,2009-04-12,SS,1,SK,패배, 5:4,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.278,0.353,0.631,0,,,
8,2009-04-14,SS,0,두산,승리, 2:1,5,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.227,0.286,0.513,0,,,
9,2009-04-16,SS,0,두산,승리, 1:0,5,0,1,3,3,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.292,0.308,0.333,0.641,0,,,
10,2009-04-17,SS,1,롯데,패배, 13:8,5,0,1,2,2,1,1,1,0,0,2,0,0,0,3,0,1,0,0,0,0,0.308,0.387,0.385,0.772,0,,,
11,2009-04-18,SS,1,롯데,패배, 5:0,5,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.267,0.343,0.333,0.676,0,,,
12,2009-04-19,SS,1,롯데,승리, 2:6,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.333,0.323,0.656,0,,,
13,2009-04-21,SS,1,한화,패배, 8:4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.258,0.351,0.323,0.674,0,,,
14,2009-04-22,SS,1,한화,패배, 11:1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.342,0.313,0.655,0,,,
15,2009-04-23,SS,1,한화,패배, 7:6,7,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.235,0.325,0.294,0.619,0,,,
16,2009-04-25,SS,0,SK,패배, 1:7,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.229,0.317,0.286,0.603,0,,,
