,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2011-09-22,SS,1,SK,승리, 2:12,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2014-04-16,SS,1,NC,패배, 8:7,8,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,4.68,-0.23,-0.066
2,2014-04-19,SS,0,두산,패배, 5:6,1,6,0,2,2,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,12,2.45,1.30,0.023
3,2014-04-20,SS,0,두산,승리, 3:2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,0,,,
4,2014-04-22,SS,0,넥센,패배, 9:10,4,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,0,1.27,0.93,0.074
5,2014-04-23,SS,0,넥센,승리, 10:2,6,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.750,0.750,1.000,1.750,1,0.00,0.27,0.000
6,2014-04-24,SS,0,넥센,패배, 3:10,9,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.750,0.800,1.000,1.800,6,0.27,0.41,0.011
7,2014-04-25,SS,1,SK,패배, 7:6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.800,1.000,1.800,0,,,
8,2014-04-26,SS,1,SK,승리, 4:5,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.750,0.800,1.000,1.800,0,2.43,0.16,0.031
9,2014-05-01,SS,0,한화,패배, 0:3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.800,1.000,1.800,0,,,
10,2014-05-03,SS,0,SK,승리, 6:5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.800,1.000,1.800,0,,,
11,2014-05-04,SS,0,SK,승리, 16:4,8,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.600,0.667,0.800,1.467,5,0.00,-0.26,0.000
12,2014-05-05,SS,0,SK,패배, 5:9,6,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.667,0.714,0.833,1.547,5,0.53,0.62,0.025
13,2014-05-06,SS,1,두산,승리, 10:19,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.714,0.833,1.547,0,,,
