,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2018-04-19,SS,0,KIA,패배, 4:8,8,3,1,4,4,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,16,0.56,1.70,0.037
1,2018-04-20,SS,0,NC,승리, 9:4,8,3,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.375,0.375,0.375,0.750,10,0.73,-0.10,0.086
2,2018-04-21,SS,0,NC,승리, 6:3,3,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,7,0.13,-0.28,-0.003
3,2018-04-22,SS,0,NC,승리, 5:4,8,10,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,8,1.34,-0.24,-0.058
4,2018-04-26,SS,1,넥센,승리, 1:11,3,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.308,0.308,0.616,2,0.00,-0.29,0.000
5,2018-04-29,SS,1,삼성,패배, 8:7,8,3,1,4,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.294,0.294,0.353,0.647,11,1.26,0.87,0.021
6,2018-05-01,SS,0,한화,패배, 5:6,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.278,0.333,0.611,5,1.50,-0.28,-0.038
7,2018-05-02,SS,0,한화,패배, 3:4,7,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.250,0.250,0.300,0.550,12,0.83,0.49,-0.044
8,2018-08-16,SS,0,SK,승리, 14:3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.300,0.550,0,,,
9,2018-09-04,SS,0,KT,패배, 3:4,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.238,0.238,0.286,0.524,4,0.61,-0.22,-0.015
10,2018-09-07,SS,1,NC,패배, 11:1,8,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.217,0.217,0.261,0.478,9,0.75,-0.90,-0.037
11,2021-04-22,SS,1,KT,패배, 11:5,2,10,0,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,9,0.00,1.63,0.000
12,2021-04-23,SS,0,두산,패배, 1:5,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,8,0.42,-0.46,-0.011
13,2021-04-24,SS,0,두산,패배, 6:9,7,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.667,0.834,9,1.22,-0.11,-0.100
14,2021-04-25,SS,0,두산,승리, 10:0,8,3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.286,0.286,0.714,1.000,2,0.01,1.00,0.000
15,2021-04-27,SS,0,삼성,패배, 0:9,8,3,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,7,0.04,-0.34,-0.002
16,2021-04-29,SS,0,삼성,승리, 9:0,8,3,1,4,3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.333,0.385,0.583,0.968,21,0.76,-0.71,-0.053
17,2021-05-01,SS,1,키움,패배, 13:9,8,3,0,3,3,1,3,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0.467,0.500,0.867,1.367,10,0.06,1.63,0.010
18,2021-05-02,SS,1,키움,승리, 0:5,6,3,1,4,4,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.474,0.500,0.947,1.447,17,0.38,0.26,0.077
19,2021-05-05,SS,1,SSG,패배, 13:12,6,3,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.455,0.478,0.864,1.342,11,0.74,-0.67,0.004
20,2021-05-09,SS,0,KT,패배, 5:9,6,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.400,0.423,0.760,1.183,6,0.08,-0.28,0.002
21,2021-08-11,SS,1,롯데,패배, 5:4,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.385,0.407,0.731,1.138,3,1.15,-0.19,-0.029
22,2021-08-12,SS,1,롯데,승리, 4:5,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370,0.393,0.704,1.097,1,1.57,-0.46,-0.040
23,2021-08-14,SS,0,한화,패배, 9:9,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.379,0.679,1.058,4,1.61,-0.22,-0.046
24,2021-08-18,SS,0,SSG,패배, 1:6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.379,0.679,1.058,0,,,
25,2021-08-19,SS,0,SSG,승리, 8:5,6,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.333,0.355,0.633,0.988,11,0.73,0.53,-0.036
26,2021-08-20,SS,1,LG,승리, 3:8,1,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.333,0.344,0.633,0.977,3,0.12,-0.30,0.002
27,2021-08-26,SS,1,두산,패배, 7:0,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0.333,0.613,0.946,2,1.94,-0.46,-0.050
28,2021-08-27,SS,1,두산,승리, 2:4,7,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.344,0.353,0.625,0.978,4,1.65,-0.50,0.022
29,2021-08-28,SS,0,한화,패배, 1:9,7,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.343,0.351,0.600,0.951,7,1.02,-0.13,-0.020
30,2021-08-29,SS,0,한화,패배, 2:3,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.342,0.583,0.925,6,2.12,-0.19,-0.053
31,2021-09-01,SS,0,SSG,승리, 9:2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.342,0.583,0.925,0,,,
32,2021-09-02,SS,0,LG,패배, 0:5,2,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.351,0.359,0.595,0.954,4,0.27,0.40,0.013
33,2021-09-03,SS,0,LG,승리, 5:2,7,3,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.368,0.375,0.605,0.980,4,2.24,0.85,0.080
34,2021-09-04,SS,1,롯데,패배, 8:2,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.359,0.366,0.590,0.956,3,0.09,-0.58,-0.003
35,2021-09-05,SS,1,롯데,승리, 3:9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0.366,0.590,0.956,0,,,
36,2021-09-07,SS,1,한화,승리, 4:16,6,3,0,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.375,0.381,0.675,1.056,1,0.00,1.00,0.000
37,2021-09-08,SS,1,한화,패배, 3:1,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366,0.372,0.659,1.031,2,2.59,-0.36,-0.061
38,2021-09-09,SS,1,두산,패배, 6:2,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.364,0.643,1.007,1,0.85,-0.85,-0.029
39,2021-09-10,SS,1,두산,패배, 8:1,6,3,1,4,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.356,0.375,0.622,0.997,15,0.49,-0.24,0.000
40,2021-09-11,SS,0,KIA,패배, 3:5,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.367,0.609,0.976,3,0.95,-0.19,-0.024
41,2021-09-12,SS,0,KIA,승리, 8:2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.367,0.609,0.976,0,,,
42,2021-09-15,SS,1,키움,승리, 2:13,2,11,0,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.362,0.380,0.681,1.061,5,0.04,1.60,0.004
43,2021-09-16,SS,1,LG,승리, 0:2,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.354,0.373,0.667,1.040,5,0.18,-0.19,-0.005
44,2021-09-17,SS,1,LG,승리, 4:6,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347,0.365,0.653,1.018,1,0.29,-0.44,-0.008
45,2021-09-18,SS,1,KT,패배, 8:1,3,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.360,0.377,0.660,1.037,2,0.02,0.46,0.001
46,2021-09-19,SS,1,KT,패배, 8:2,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.353,0.370,0.647,1.017,6,2.90,-0.46,-0.074
47,2021-09-21,SS,0,두산,패배, 2:12,7,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340,0.357,0.623,0.980,5,0.13,-0.96,-0.006
48,2021-09-22,SS,0,두산,패배, 0:8,7,3,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.333,0.350,0.596,0.946,10,0.35,-1.44,0.006
49,2021-09-24,SS,0,키움,패배, 2:3,1,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.345,0.361,0.603,0.964,8,2.16,0.40,0.087
50,2021-09-25,SS,0,삼성,패배, 0:1,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339,0.355,0.593,0.948,2,2.80,-0.22,-0.079
51,2021-09-28,SS,1,KIA,승리, 9:10,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.349,0.583,0.932,3,0.53,-0.26,-0.014
52,2021-10-01,SS,1,SSG,패배, 3:3,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328,0.344,0.574,0.918,5,1.80,-0.19,-0.045
53,2021-10-03,SS,0,롯데,패배, 7:11,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0.338,0.565,0.903,6,0.17,-0.19,-0.004
54,2021-10-05,SS,0,KT,패배, 4:4,7,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.313,0.328,0.547,0.875,9,1.71,-0.69,-0.093
55,2021-10-07,SS,1,삼성,패배, 5:4,6,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.323,0.338,0.554,0.892,1,3.47,0.40,0.134
56,2021-10-12,SS,0,키움,패배, 2:13,8,10,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.309,0.333,0.529,0.862,17,0.60,-1.02,-0.026
57,2021-10-17,SS,1,LG,패배, 11:1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.304,0.329,0.522,0.851,8,0.01,-0.26,0.000
58,2021-10-23,SS,1,KIA,패배, 7:4,4,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.324,0.514,0.838,2,0.65,-0.19,-0.016
59,2021-10-23,SS,1,KIA,승리, 2:5,9,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.310,0.333,0.521,0.854,7,2.58,0.46,0.075
60,2021-10-26,SS,1,SSG,패배, 7:5,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0.329,0.514,0.843,5,1.83,-0.26,-0.047
61,2021-10-28,SS,0,KT,패배, 2:5,6,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.297,0.321,0.500,0.821,7,2.33,-1.30,-0.127
62,2022-04-02,SS,1,SSG,패배, 4:0,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.21,-0.17,-0.005
63,2022-04-03,SS,1,SSG,패배, 4:1,5,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,3.49,-0.69,-0.080
