,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2008-09-27,SS,0,우리,승리, 8:4,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,1.000,0.000,1.000,0,,,
1,2008-10-01,SS,1,롯데,승리, 1:7,9,0,1,4,4,0,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0.500,0.600,0.500,1.100,0,,,
2,2008-10-02,SS,0,KIA,패배, 2:3,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.286,0.375,0.286,0.661,0,,,
3,2008-10-03,SS,0,KIA,승리, 5:2,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.300,0.222,0.522,0,,,
4,2008-10-04,SS,0,삼성,패배, 3:6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.273,0.200,0.473,0,,,
5,2008-10-05,SS,1,우리,패배, 8:4,4,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.308,0.250,0.558,0,,,
6,2009-07-15,SS,0,LG,패배, 2:3,9,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
7,2009-07-16,SS,0,LG,승리, 10:4,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0,,,
8,2009-09-19,SS,1,한화,승리, 1:12,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0,,,
9,2009-09-20,SS,1,한화,승리, 3:11,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0,,,
10,2010-05-15,SS,1,두산,패배, 6:5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
11,2010-05-16,SS,1,두산,승리, 4:6,3,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0,,,
12,2010-06-03,SS,1,한화,패배, 4:3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,0,,,
13,2010-09-26,SS,1,넥센,승리, 4:5,9,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.250,0.400,0.250,0.650,0,,,
14,2013-03-30,SS,1,LG,패배, 7:4,1,7,1,5,5,1,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0.400,0.400,0.600,1.000,20,0.70,0.28,0.023
15,2013-03-31,SS,1,LG,패배, 4:1,1,8,1,4,3,1,1,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0.375,0.444,0.750,1.194,15,1.75,0.01,-0.069
16,2013-04-02,SS,0,두산,패배, 3:7,1,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.385,0.583,0.968,18,0.56,-0.21,-0.028
17,2013-04-03,SS,0,두산,승리, 4:1,1,7,1,4,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.375,0.412,0.563,0.975,18,0.80,0.71,0.041
18,2013-04-04,SS,0,두산,승리, 7:5,2,7,1,5,4,1,3,0,1,0,5,3,1,0,0,0,0,1,0,0,1,0.450,0.455,0.700,1.155,16,1.55,2.57,0.535
19,2013-04-09,SS,1,넥센,승리, 0:2,2,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.417,0.423,0.625,1.048,15,0.92,-1.08,-0.096
20,2013-04-10,SS,1,넥센,승리, 0:9,2,7,1,5,3,2,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0.407,0.452,0.593,1.045,19,1.07,0.95,0.038
21,2013-04-11,SS,1,넥센,패배, 4:3,2,9,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.355,0.400,0.516,0.916,9,1.87,-1.37,-0.184
22,2013-04-12,SS,0,NC,승리, 5:3,2,7,1,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.382,0.421,0.529,0.950,9,0.79,-0.05,-0.016
23,2013-04-13,SS,0,NC,패배, 1:4,2,7,1,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.371,0.439,0.514,0.953,15,0.96,0.53,0.024
24,2013-04-14,SS,0,NC,패배, 3:4,2,10,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.350,0.413,0.475,0.888,14,2.74,0.33,0.294
25,2013-04-16,SS,0,삼성,승리, 8:3,2,8,1,5,5,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0.356,0.412,0.467,0.879,20,1.42,1.11,0.151
26,2013-04-17,SS,0,삼성,패배, 5:11,2,7,1,4,4,1,2,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0.367,0.418,0.469,0.887,21,0.89,-0.10,-0.010
27,2013-04-18,SS,0,삼성,승리, 6:1,2,7,1,5,5,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.352,0.400,0.444,0.844,12,1.01,-0.60,-0.036
28,2013-04-19,SS,1,KIA,패배, 4:3,1,9,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.322,0.369,0.407,0.776,21,2.05,-2.27,-0.261
29,2013-04-21,SS,1,KIA,패배, 9:0,2,8,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.306,0.353,0.387,0.740,9,0.91,-0.64,-0.066
30,2013-04-24,SS,0,롯데,패배, 7:8,2,10,1,4,4,0,2,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0.318,0.361,0.409,0.770,14,0.95,-0.58,-0.057
31,2013-04-25,SS,0,롯데,패배, 0:6,2,8,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.314,0.355,0.400,0.755,22,0.66,0.10,0.024
32,2013-04-26,SS,1,한화,승리, 1:6,2,7,1,4,2,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0.306,0.363,0.389,0.752,20,1.05,-0.25,-0.047
33,2013-04-27,SS,1,한화,승리, 1:4,2,7,1,4,4,0,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0.316,0.369,0.395,0.764,23,0.69,0.69,0.073
34,2013-04-28,SS,1,한화,패배, 5:5,2,7,1,6,5,1,2,1,0,0,3,1,1,0,1,0,0,1,0,0,0,0.321,0.378,0.407,0.785,27,2.26,0.46,0.186
