,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2005-04-02,SS,0,삼성,패배, 0:4,2,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,0,,,
1,2005-04-03,SS,0,삼성,패배, 2:14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.333,0.714,0.333,1.047,0,,,
2,2005-04-05,SS,1,현대,승리, 2:4,2,0,1,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.429,0.636,0.571,1.207,0,,,
3,2005-04-06,SS,1,현대,패배, 9:2,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.273,0.467,0.364,0.831,0,,,
4,2005-04-07,SS,1,현대,패배, 3:2,2,0,1,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.286,0.474,0.357,0.831,0,,,
5,2005-04-08,SS,1,LG,패배, 6:1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.250,0.478,0.313,0.791,0,,,
6,2005-04-09,SS,1,LG,승리, 1:2,2,0,1,4,4,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.250,0.444,0.350,0.794,0,,,
7,2005-04-12,SS,0,한화,패배, 2:5,2,0,1,4,4,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.208,0.406,0.292,0.698,0,,,
8,2005-04-13,SS,0,한화,승리, 15:5,1,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.240,0.424,0.360,0.784,0,,,
9,2005-04-14,SS,0,한화,승리, 3:2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240,0.424,0.360,0.784,0,,,
10,2005-04-16,SS,0,두산,승리, 5:2,2,0,1,5,5,0,2,1,0,0,3,3,0,0,0,0,0,2,0,0,0,0.267,0.421,0.400,0.821,0,,,
11,2005-04-17,SS,0,두산,승리, 10:5,2,0,1,3,3,2,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0.303,0.465,0.424,0.889,0,,,
12,2005-04-19,SS,1,KIA,패배, 4:1,2,0,1,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.333,0.478,0.472,0.950,0,,,
