,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2021-04-07,SS,0,KT,패배, 3:7,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,4.45,-1.18,-0.281
1,2021-04-08,SS,0,KT,승리, 7:3,7,3,1,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.333,0.500,0.333,0.833,11,0.79,1.31,0.089
2,2021-04-09,SS,1,SSG,승리, 5:9,8,3,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.200,0.429,0.200,0.629,11,1.32,-0.55,-0.048
3,2021-04-10,SS,1,SSG,패배, 4:3,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.375,0.167,0.542,7,2.63,-0.19,-0.065
4,2021-04-11,SS,1,SSG,승리, 0:1,2,10,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.125,0.300,0.125,0.425,11,1.17,-0.28,-0.019
5,2021-04-14,SS,0,키움,승리, 13:2,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.111,0.384,4,0.00,-0.26,0.000
6,2021-04-17,SS,1,두산,패배, 3:1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.111,0.384,0,,,
7,2021-05-26,SS,0,롯데,승리, 5:3,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100,0.250,0.100,0.350,5,2.75,-0.34,-0.078
8,2021-06-09,SS,1,NC,승리, 3:6,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.091,0.322,4,0.08,-0.19,-0.002
9,2021-06-10,SS,1,NC,패배, 6:0,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.083,0.214,0.083,0.297,4,0.89,-0.36,-0.022
