,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2009-06-18,SS,1,롯데,패배, 9:6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2009-06-21,SS,0,LG,패배, 5:6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
2,2009-06-27,SS,0,두산,승리, 12:7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
3,2009-07-14,SS,1,두산,패배, 14:9,8,0,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0,,,
4,2009-07-16,SS,1,두산,패배, 12:11,9,0,0,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,0,,,
5,2009-07-18,SS,1,LG,승리, 3:8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,0,,,
6,2009-08-19,SS,0,한화,패배, 5:13,9,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,
7,2009-08-22,SS,0,두산,패배, 5:12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,
8,2009-08-26,SS,1,롯데,승리, 1:10,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0,,,
9,2009-08-29,SS,1,SK,패배, 6:2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0,,,
10,2009-08-30,SS,1,SK,패배, 3:1,8,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,0,,,
11,2009-09-02,SS,1,KIA,패배, 12:5,8,0,0,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.267,0.267,0.267,0.534,0,,,
12,2009-09-03,SS,1,KIA,승리, 2:3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.267,0.267,0.534,0,,,
13,2009-09-09,SS,1,LG,승리, 7:8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.267,0.267,0.534,0,,,
14,2009-09-11,SS,1,LG,패배, 3:2,8,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.313,0.313,0.313,0.626,0,,,
15,2009-09-12,SS,0,롯데,패배, 1:9,7,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.263,0.263,0.526,0,,,
16,2009-09-13,SS,0,롯데,패배, 0:4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.263,0.263,0.526,0,,,
17,2009-09-19,SS,1,우리,승리, 0:7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.263,0.263,0.526,0,,,
18,2009-09-20,SS,1,우리,승리, 1:9,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,0,,,
19,2009-09-22,SS,0,SK,패배, 1:6,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.238,0.238,0.476,0,,,
20,2009-09-23,SS,0,SK,패배, 4:7,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.217,0.217,0.217,0.434,0,,,
21,2009-09-24,SS,0,두산,패배, 5:7,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.192,0.192,0.192,0.384,0,,,
22,2009-09-25,SS,0,한화,패배, 1:2,8,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.214,0.214,0.214,0.428,0,,,
23,2012-04-07,SS,1,LG,패배, 6:3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0,,,
24,2012-05-26,SS,1,SK,패배, 4:3,8,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,0,,,
25,2012-05-27,SS,1,SK,패배, 4:2,7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0,,,
26,2012-06-17,SS,0,두산,패배, 2:8,6,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.600,0.667,0.600,1.267,0,,,
27,2012-06-20,SS,1,KIA,패배, 0:0,8,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.667,0.714,0.667,1.381,0,,,
28,2012-06-21,SS,1,KIA,승리, 2:7,7,0,1,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.600,0.636,0.600,1.236,0,,,
29,2012-06-23,SS,0,넥센,승리, 8:5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545,0.583,0.545,1.128,0,,,
30,2012-06-24,SS,0,넥센,패배, 5:6,7,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.533,0.500,1.033,0,,,
31,2012-06-26,SS,1,SK,승리, 4:8,7,0,1,4,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.526,0.500,1.026,0,,,
32,2012-06-27,SS,1,SK,패배, 6:1,6,0,1,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.522,0.500,1.022,0,,,
33,2012-07-03,SS,0,LG,승리, 9:4,6,0,1,5,5,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.481,0.500,0.481,0.981,0,,,
34,2012-07-04,SS,0,LG,승리, 4:1,6,0,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.452,0.469,0.452,0.921,0,,,
35,2012-07-07,SS,0,롯데,패배, 0:7,7,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.417,0.400,0.817,0,,,
36,2012-07-08,SS,0,롯데,승리, 7:2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0.405,0.389,0.794,0,,,
37,2012-07-12,SS,1,LG,승리, 5:6,6,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.385,0.400,0.385,0.785,0,,,
38,2012-07-18,SS,0,한화,승리, 11:1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.400,0.385,0.785,0,,,
39,2012-07-19,SS,0,한화,승리, 6:5,6,0,0,3,3,1,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0.429,0.442,0.452,0.894,0,,,
40,2012-07-24,SS,1,SK,패배, 7:6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.419,0.432,0.442,0.874,0,,,
41,2012-07-25,SS,1,SK,승리, 6:9,6,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391,0.404,0.413,0.817,0,,,
42,2012-07-26,SS,1,SK,승리, 1:8,6,0,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.380,0.392,0.400,0.792,0,,,
43,2012-07-28,SS,0,넥센,승리, 6:1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380,0.392,0.400,0.792,0,,,
44,2012-07-31,SS,1,두산,패배, 2:1,6,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.377,0.389,0.396,0.785,0,,,
45,2012-08-01,SS,1,두산,패배, 9:1,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.375,0.382,0.757,0,,,
46,2012-08-03,SS,0,롯데,패배, 3:4,6,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.356,0.367,0.373,0.740,0,,,
47,2012-08-05,SS,0,롯데,패배, 0:1,7,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.355,0.365,0.371,0.736,0,,,
48,2012-08-07,SS,0,SK,패배, 1:2,6,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.348,0.358,0.364,0.722,0,,,
49,2012-08-09,SS,0,SK,패배, 3:4,7,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.348,0.357,0.362,0.719,0,,,
50,2012-08-10,SS,1,LG,패배, 5:0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.357,0.362,0.719,0,,,
51,2012-08-11,SS,1,LG,승리, 1:7,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,0.352,0.357,0.709,0,,,
52,2012-08-12,SS,1,LG,승리, 6:7,7,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.342,0.351,0.356,0.707,0,,,
53,2012-08-15,SS,1,한화,패배, 2:1,6,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.329,0.338,0.342,0.680,0,,,
54,2012-08-19,SS,0,두산,승리, 11:3,6,0,1,4,4,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.325,0.341,0.350,0.691,0,,,
55,2012-08-21,SS,1,롯데,패배, 5:3,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.337,0.346,0.683,0,,,
56,2012-08-25,SS,0,LG,승리, 6:5,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,0.333,0.341,0.674,0,,,
57,2012-08-26,SS,0,LG,승리, 11:2,6,0,1,5,5,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.310,0.326,0.345,0.671,0,,,
58,2012-08-29,SS,0,KIA,승리, 4:0,7,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.303,0.326,0.337,0.663,0,,,
59,2012-08-31,SS,1,넥센,패배, 5:3,6,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.297,0.319,0.330,0.649,0,,,
60,2012-09-04,SS,1,LG,패배, 6:3,6,0,1,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.301,0.323,0.333,0.656,0,,,
61,2012-09-05,SS,1,LG,승리, 0:1,6,0,1,3,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.305,0.333,0.337,0.670,0,,,
62,2012-09-10,SS,1,넥센,승리, 4:9,6,0,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.303,0.330,0.333,0.663,0,,,
63,2012-09-11,SS,0,한화,패배, 2:11,6,0,1,4,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.304,0.336,0.333,0.669,0,,,
64,2012-09-12,SS,0,한화,패배, 2:3,6,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.302,0.333,0.330,0.663,0,,,
65,2012-09-15,SS,1,롯데,승리, 2:3,6,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.308,0.339,0.336,0.675,0,,,
66,2012-09-18,SS,1,한화,승리, 2:3,7,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.303,0.339,0.330,0.669,0,,,
67,2012-09-19,SS,0,한화,패배, 6:8,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.300,0.336,0.327,0.663,0,,,
