,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2019-03-23,SS,0,NC,패배, 0:7,8,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,17,0.15,-0.52,-0.012
1,2019-03-24,SS,0,NC,승리, 4:3,8,6,1,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.286,0.000,0.286,16,2.15,-0.29,-0.123
2,2019-03-26,SS,0,롯데,패배, 2:7,7,6,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,0.300,0.125,0.425,7,0.64,0.18,0.017
3,2019-03-27,SS,0,롯데,승리, 23:4,8,6,1,7,7,2,3,0,0,2,9,4,0,0,0,0,0,3,0,0,0,0.267,0.353,0.667,1.020,17,0.39,2.01,0.156
4,2019-03-28,SS,0,롯데,승리, 12:7,8,6,1,5,2,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0.235,0.409,0.588,0.997,27,0.29,0.69,0.008
5,2019-03-29,SS,1,두산,패배, 3:2,8,6,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.238,0.385,0.524,0.909,14,2.57,-0.32,-0.114
6,2019-03-30,SS,1,두산,패배, 4:2,8,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.208,0.345,0.458,0.803,16,0.99,-0.62,-0.076
7,2019-04-02,SS,1,KIA,패배, 4:1,8,6,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.303,0.393,0.696,17,0.83,-1.11,-0.081
8,2019-04-03,SS,1,KIA,승리, 3:6,8,6,1,3,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.167,0.306,0.367,0.673,14,0.94,0.22,0.032
9,2019-04-04,SS,1,KIA,승리, 7:12,9,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.152,0.282,0.333,0.615,9,0.29,-0.76,-0.023
10,2019-04-05,SS,0,SK,패배, 0:3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.282,0.333,0.615,0,,,
11,2019-04-06,SS,0,SK,패배, 1:2,9,6,1,2,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.171,0.293,0.371,0.664,6,0.60,0.32,0.034
12,2019-04-07,SS,0,SK,패배, 2:3,9,6,1,4,3,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0.184,0.311,0.395,0.706,16,1.54,1.83,0.085
13,2019-04-10,SS,0,LG,승리, 6:5,9,6,1,4,4,0,1,0,1,0,3,2,0,0,0,0,0,2,0,0,0,0.190,0.306,0.429,0.735,12,1.10,1.16,0.264
14,2019-04-11,SS,0,LG,패배, 2:5,9,6,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.182,0.308,0.409,0.717,10,0.77,0.82,-0.023
15,2019-04-12,SS,1,KT,승리, 0:5,8,6,1,4,3,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0.213,0.339,0.426,0.765,16,1.14,2.43,0.244
16,2019-04-13,SS,1,KT,패배, 5:3,7,6,1,4,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.216,0.333,0.471,0.804,16,0.85,0.14,0.036
17,2019-04-14,SS,1,KT,승리, 12:14,8,6,1,4,4,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.236,0.344,0.473,0.817,12,0.61,0.66,0.016
18,2019-04-16,SS,1,키움,패배, 4:0,9,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.328,0.448,0.776,11,1.81,-1.16,-0.138
19,2019-04-17,SS,1,키움,패배, 5:3,8,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210,0.310,0.419,0.729,9,0.88,-0.67,-0.093
20,2019-04-18,SS,1,키움,승리, 4:5,3,3,0,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.219,0.315,0.438,0.753,9,3.50,-1.03,0.194
21,2019-04-19,SS,0,한화,패배, 3:4,8,6,1,5,5,1,4,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0.261,0.346,0.464,0.810,16,1.26,2.31,0.198
22,2019-04-20,SS,0,한화,패배, 5:12,1,6,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.257,0.337,0.446,0.783,18,0.44,0.57,0.025
23,2019-04-21,SS,0,한화,승리, 16:0,1,6,1,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.241,0.326,0.418,0.744,26,0.52,-1.46,-0.093
24,2019-04-24,SS,1,SK,패배, 9:8,8,6,1,5,3,2,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0.244,0.340,0.415,0.755,22,1.29,0.20,-0.015
25,2019-04-25,SS,1,SK,패배, 4:3,9,6,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.235,0.337,0.400,0.737,21,2.51,-0.52,0.037
26,2019-04-27,SS,1,LG,패배, 8:0,8,6,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.239,0.337,0.398,0.735,13,0.39,-0.56,-0.030
27,2019-04-28,SS,1,LG,패배, 2:1,8,6,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.242,0.337,0.396,0.733,12,1.05,-0.12,-0.018
28,2019-04-30,SS,0,KIA,패배, 0:8,7,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.330,0.387,0.717,4,0.74,-0.58,-0.037
29,2019-05-02,SS,0,KIA,패배, 1:8,8,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0.327,0.383,0.710,2,0.06,-0.26,-0.002
30,2019-05-03,SS,0,키움,패배, 3:8,8,6,1,4,3,0,1,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0.237,0.333,0.402,0.735,17,1.70,-0.01,-0.068
31,2019-05-04,SS,0,키움,승리, 3:1,8,6,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.238,0.330,0.396,0.726,14,1.09,-0.78,-0.062
32,2019-05-07,SS,1,NC,승리, 3:6,8,6,1,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.250,0.339,0.404,0.743,7,0.67,1.20,0.052
33,2019-05-08,SS,1,NC,승리, 0:2,8,6,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.252,0.339,0.402,0.741,9,0.30,0.01,-0.012
34,2019-05-09,SS,1,NC,승리, 4:6,8,6,1,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.261,0.344,0.405,0.749,13,0.47,-0.55,-0.010
35,2019-05-10,SS,1,롯데,패배, 12:5,9,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0.339,0.398,0.737,7,0.95,-0.95,-0.048
36,2019-05-14,SS,0,두산,승리, 4:3,9,6,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.250,0.328,0.388,0.716,11,1.20,-0.95,-0.055
37,2019-05-15,SS,0,두산,패배, 1:3,7,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.244,0.321,0.378,0.699,14,0.90,-0.62,-0.070
38,2019-05-17,SS,0,KT,승리, 14:3,8,6,1,4,3,2,2,0,0,1,5,3,0,0,0,1,0,0,0,1,0,0.254,0.333,0.410,0.743,14,0.59,2.16,0.024
39,2019-05-18,SS,0,KT,패배, 0:2,8,6,1,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.272,0.348,0.424,0.772,12,1.60,1.36,0.178
40,2019-05-21,SS,1,한화,승리, 3:9,6,6,1,2,1,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0.278,0.357,0.452,0.809,9,0.57,1.27,0.115
41,2019-05-22,SS,1,한화,승리, 5:6,6,6,1,5,4,2,3,1,0,0,4,1,1,0,1,0,0,0,0,0,0,0.292,0.372,0.469,0.841,16,1.62,2.20,0.472
42,2019-05-23,SS,1,한화,승리, 1:2,6,6,1,4,4,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.299,0.375,0.478,0.853,11,1.60,0.43,0.014
43,2019-05-24,SS,1,키움,패배, 10:5,6,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.290,0.365,0.464,0.829,18,1.13,-1.30,-0.116
44,2019-05-25,SS,1,키움,승리, 9:10,6,6,1,4,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.296,0.369,0.465,0.834,14,1.62,1.08,0.177
45,2019-05-26,SS,1,키움,승리, 3:4,5,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.288,0.360,0.452,0.812,15,1.91,-1.01,-0.197
46,2019-05-28,SS,0,두산,패배, 1:4,5,6,1,4,3,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.289,0.363,0.450,0.813,17,0.82,0.35,0.025
47,2019-05-29,SS,0,두산,패배, 2:3,5,6,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.283,0.355,0.441,0.796,19,1.75,-0.99,-0.207
48,2019-05-30,SS,0,두산,승리, 2:1,5,6,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.284,0.358,0.439,0.797,17,1.28,-0.17,-0.015
49,2019-05-31,SS,0,롯데,패배, 1:6,5,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.277,0.350,0.428,0.778,20,0.71,-1.18,-0.072
50,2019-06-01,SS,0,롯데,패배, 2:5,5,6,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.276,0.348,0.423,0.771,14,0.72,-0.59,-0.071
51,2019-06-02,SS,0,롯데,승리, 8:3,6,6,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.268,0.339,0.411,0.750,22,0.52,-1.89,-0.074
52,2019-06-04,SS,1,NC,승리, 1:3,7,6,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.263,0.337,0.404,0.741,16,0.79,-0.85,-0.077
53,2019-06-05,SS,1,NC,승리, 3:4,8,6,1,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.270,0.342,0.408,0.750,11,0.68,0.17,0.021
54,2019-06-06,SS,1,NC,승리, 0:6,8,6,1,4,3,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.277,0.350,0.412,0.762,18,0.54,1.00,0.068
55,2019-06-07,SS,0,SK,패배, 2:4,7,6,1,5,5,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.275,0.346,0.407,0.753,22,2.48,-0.73,-0.040
56,2019-06-08,SS,0,SK,패배, 0:8,5,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270,0.341,0.400,0.741,14,0.50,-0.52,-0.038
