,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2018-09-04,SS,0,한화,패배, 4:6,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,1.000,0.000,1.000,4,2.09,0.52,0.078
1,2018-09-05,SS,0,한화,패배, 5:11,8,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.500,0.000,0.500,5,0.07,-0.28,-0.002
2,2018-09-06,SS,1,SK,승리, 0:10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0,,,
3,2018-09-08,SS,0,NC,패배, 1:7,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.333,0.000,0.333,4,0.03,-0.22,-0.001
4,2018-09-11,SS,1,두산,패배, 17:4,8,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.167,0.000,0.167,12,0.09,-0.98,-0.006
5,2018-09-12,SS,1,두산,패배, 13:9,6,4,0,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.143,0.250,0.286,0.536,4,0.05,0.72,-0.001
6,2018-09-14,SS,1,KIA,패배, 9:5,9,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.222,0.250,0.472,5,4.08,-0.46,-0.112
7,2018-09-16,SS,1,넥센,패배, 2:0,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.200,0.222,0.422,3,1.38,-0.28,-0.035
8,2018-09-23,SS,0,삼성,패배, 2:5,7,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.182,0.200,0.382,3,0.98,-0.12,-0.025
9,2018-09-25,SS,1,NC,승리, 7:8,8,4,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.231,0.250,0.481,9,0.65,0.41,0.006
10,2018-09-26,SS,1,NC,승리, 7:10,8,4,1,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.143,0.250,0.214,0.464,16,1.29,0.14,0.023
11,2018-09-27,SS,0,넥센,승리, 8:6,2,4,0,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.200,0.333,0.267,0.600,6,1.08,0.75,0.073
12,2018-09-28,SS,0,넥센,패배, 8:9,7,6,0,1,1,2,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.250,0.368,0.500,0.868,4,0.69,1.94,0.063
13,2018-09-29,SS,0,KT,승리, 8:3,7,4,1,4,4,1,3,2,0,0,5,1,0,0,0,0,0,1,0,0,0,0.350,0.435,0.650,1.085,19,0.42,1.35,0.084
14,2018-09-30,SS,0,KT,승리, 8:7,7,4,1,5,4,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.333,0.429,0.583,1.012,23,1.11,-0.11,0.057
15,2018-10-02,SS,0,SK,승리, 8:6,8,4,1,5,5,3,3,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0.379,0.455,0.690,1.145,19,1.06,1.75,0.123
16,2018-10-03,SS,0,한화,패배, 6:7,7,6,1,4,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.355,0.459,0.645,1.104,17,0.67,0.45,0.027
17,2018-10-04,SS,0,한화,승리, 7:2,7,5,1,5,4,0,2,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0.371,0.476,0.629,1.105,24,0.45,0.98,0.016
18,2018-10-06,SS,1,한화,승리, 5:8,7,5,1,4,4,1,3,2,0,1,8,4,0,0,0,0,0,0,0,0,0,0.410,0.500,0.769,1.269,12,1.13,3.67,0.323
19,2018-10-07,SS,0,NC,승리, 8:2,7,5,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.405,0.500,0.738,1.238,20,0.41,-0.69,-0.030
20,2018-10-09,SS,1,KIA,승리, 10:11,7,5,1,5,4,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.413,0.509,0.717,1.226,18,1.66,0.50,0.095
21,2018-10-10,SS,1,KT,패배, 10:1,7,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.388,0.483,0.673,1.156,15,0.27,0.37,-0.022
22,2018-10-10,SS,1,KT,패배, 7:0,7,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.365,0.459,0.635,1.094,17,0.57,-0.79,-0.043
23,2018-10-11,SS,0,KIA,승리, 4:0,7,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.339,0.431,0.589,1.020,16,0.47,-0.36,-0.025
24,2018-10-12,SS,0,KIA,패배, 4:6,7,5,1,4,4,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0.367,0.449,0.617,1.066,18,1.05,1.41,0.154
25,2018-10-13,SS,0,KIA,승리, 5:1,3,6,1,4,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.365,0.438,0.603,1.041,17,0.93,-0.30,-0.020
26,2018-10-14,SS,1,두산,패배, 5:1,6,6,1,4,3,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0.364,0.442,0.606,1.048,11,1.17,-0.39,-0.077
27,2019-03-23,SS,1,키움,패배, 7:4,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.91,-0.26,-0.023
28,2019-03-26,SS,1,삼성,승리, 2:7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
29,2019-03-27,SS,1,삼성,패배, 23:4,6,6,1,4,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.400,0.600,11,0.52,-0.88,-0.032
30,2019-03-28,SS,1,삼성,패배, 12:7,4,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.333,0.500,3,0.17,-0.53,-0.004
31,2019-03-29,SS,0,LG,패배, 1:2,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.333,0.500,0,,,
32,2019-03-30,SS,0,LG,승리, 7:1,4,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.286,0.429,3,0.00,-0.16,0.000
33,2019-03-31,SS,0,LG,패배, 5:6,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.250,0.375,4,4.46,-0.44,-0.114
34,2019-04-03,SS,0,SK,승리, 3:1,9,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.083,0.083,0.167,0.250,21,0.90,-0.86,-0.096
35,2019-04-04,SS,0,SK,패배, 6:7,6,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.133,0.133,0.200,0.333,13,0.77,-0.14,0.006
36,2019-04-05,SS,1,한화,승리, 2:5,5,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.105,0.105,0.158,0.263,13,1.36,-2.23,-0.162
37,2019-06-04,SS,1,한화,승리, 2:3,6,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.095,0.095,0.143,0.238,6,3.74,-0.84,-0.187
38,2019-06-05,SS,1,한화,패배, 6:3,8,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.083,0.083,0.125,0.208,14,1.63,-1.04,-0.131
39,2019-06-07,SS,0,KT,패배, 1:2,7,3,1,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.080,0.148,0.120,0.268,18,1.16,0.35,0.044
40,2019-06-08,SS,0,KT,패배, 2:6,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.077,0.143,0.115,0.258,4,0.17,-0.16,-0.004
41,2019-06-09,SS,0,KT,패배, 0:2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.143,0.115,0.258,0,,,
42,2019-07-02,SS,0,SK,패배, 1:10,9,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.071,0.133,0.107,0.240,5,0.03,-0.24,-0.001
43,2019-07-03,SS,0,SK,패배, 5:8,6,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.069,0.156,0.103,0.259,7,1.29,-0.42,-0.036
44,2019-07-04,SS,0,SK,패배, 7:9,7,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.065,0.147,0.097,0.244,9,0.56,-0.36,-0.028
45,2019-07-05,SS,0,키움,패배, 1:14,4,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.094,0.171,0.125,0.296,3,0.00,0.27,0.000
46,2019-07-06,SS,0,키움,패배, 4:6,6,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.088,0.162,0.118,0.280,8,0.73,-0.26,-0.037
47,2019-07-11,SS,1,NC,패배, 4:0,7,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.108,0.175,0.135,0.310,13,0.86,-0.07,-0.022
