,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2013-07-10,SS,1,SK,승리, 4:5,9,6,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,6,0.31,-0.10,-0.003
1,2013-07-11,SS,1,SK,패배, 5:1,9,6,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,8,0.90,-0.21,-0.018
2,2013-07-12,SS,1,한화,승리, 2:7,9,6,1,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.444,0.777,12,0.20,-0.25,-0.017
3,2013-07-13,SS,1,한화,승리, 2:6,9,6,1,4,4,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.308,0.308,0.615,0.923,20,0.75,0.75,0.078
4,2013-07-23,SS,1,NC,승리, 0:2,7,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.267,0.267,0.533,0.800,9,1.27,-1.10,-0.104
5,2013-07-24,SS,1,NC,승리, 3:4,7,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.235,0.235,0.471,0.706,7,1.20,-0.60,-0.059
6,2013-07-27,SS,1,넥센,승리, 5:6,3,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.235,0.471,0.706,0,,,
7,2013-09-04,SS,1,KIA,패배, 7:5,7,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.190,0.190,0.381,0.571,23,0.55,-0.99,-0.054
8,2014-04-04,SS,0,롯데,패배, 2:4,8,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.49,-0.29,-0.013
9,2014-04-12,SS,1,SK,패배, 10:7,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.50,-0.26,-0.015
10,2014-04-16,SS,1,두산,패배, 5:0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
11,2014-04-19,SS,0,NC,패배, 1:6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
12,2014-04-22,SS,1,LG,승리, 1:8,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.01,-0.23,0.000
13,2017-04-02,SS,0,SK,승리, 8:1,7,10,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.02,0.50,0.000
14,2017-04-06,SS,1,두산,승리, 1:5,9,10,1,2,2,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,8,1.47,0.13,0.030
15,2017-04-11,SS,0,넥센,패배, 2:12,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,5,0.00,-0.53,0.000
