,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2023-09-03,SS,0,삼성,패배, 1:6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2023-09-06,SS,1,키움,승리, 2:8,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.03,-0.94,-0.001
2,2023-09-09,SS,1,롯데,패배, 5:2,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
3,2023-09-24,SS,1,두산,승리, 5:6,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,3.17,-0.75,-0.198
4,2023-09-27,SS,1,KIA,패배, 6:1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
5,2023-09-28,SS,1,KIA,승리, 3:18,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,6,0.00,-0.53,0.000
6,2023-09-30,SS,0,삼성,패배, 1:3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
7,2023-10-02,SS,0,한화,패배, 0:10,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.00,-0.49,0.000
8,2023-10-04,SS,0,SSG,패배, 5:10,9,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,3,0.16,0.42,0.007
9,2023-10-07,SS,1,SSG,승리, 2:3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0,,,
