,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2017-07-12,SS,1,LG,패배, 12:6,0,1.0,1,1,1.00,6,4,1,0,0,0,2,0,0,1,26,3.00,0.250,0.500,0.750,9.00,0.04,-0.39,-0.003,,,7+일
1,2017-07-20,SS,1,두산,패배, 14:2,0,2.0,2,2,2.00,9,7,1,1,0,0,2,0,0,2,37,2.00,0.182,0.400,0.673,9.00,0.00,-0.79,0.000,,,7+일
2,2020-05-05,SS,1,한화,패배, 3:0,0,1.0,0,0,0.00,3,3,1,0,0,0,0,0,0,1,13,1.00,0.333,0.333,0.666,0.00,0.24,0.58,0.015,,,7+일
3,2020-05-07,SS,1,한화,패배, 8:4,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,2,12,0.43,0.143,0.143,0.286,0.00,0.08,1.10,0.008,,,2일
4,2020-05-08,SS,0,롯데,패배, 8:9,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,25,0.60,0.100,0.182,0.282,0.00,2.67,0.58,0.137,,,1일
5,2020-05-14,SS,0,LG,패배, 2:3,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,2,15,0.69,0.143,0.200,0.343,0.00,1.06,0.58,0.075,,,6일
6,2020-05-15,SS,1,NC,패배, 6:2,0,0.2,0,0,0.00,4,4,1,0,0,0,0,0,0,2,15,0.80,0.167,0.211,0.378,0.00,0.97,0.34,0.029,,,1일
7,2020-05-20,SS,0,키움,승리, 5:3,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,15,0.67,0.143,0.182,0.325,0.00,1.16,0.58,0.088,,HD,5일
8,2020-05-21,SS,0,키움,패배, 8:9,0,1.1,0,0,0.50,5,5,1,0,0,0,0,0,0,1,21,0.68,0.154,0.185,0.339,0.00,1.67,0.53,0.010,,,1일
9,2020-05-24,SS,1,KIA,승리, 3:4,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,20,0.72,0.138,0.194,0.332,0.00,2.37,0.58,0.137,,,3일
10,2020-05-26,SS,0,두산,패배, 4:6,0,0.1,0,0,1.20,2,2,1,1,0,0,0,0,0,1,12,0.81,0.161,0.212,0.406,0.00,0.59,-1.48,-0.103,,,2일
11,2020-05-28,SS,0,두산,승리, 6:1,0,1.2,0,0,0.00,4,3,0,0,0,0,1,0,0,1,15,0.77,0.147,0.216,0.392,0.00,0.90,1.17,0.099,,HD,2일
12,2020-05-29,SS,1,한화,승리, 6:8,0,1.0,0,0,0.70,4,4,2,1,0,0,0,0,0,0,23,0.88,0.184,0.244,0.481,0.00,0.60,0.04,0.018,,,1일
13,2020-05-31,SS,1,한화,승리, 4:6,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,23,0.89,0.171,0.244,0.464,0.00,1.47,0.58,0.074,,HD,2일
14,2020-06-05,SS,1,삼성,승리, 1:4,0,1.0,0,0,0.00,3,2,0,0,0,0,0,0,1,2,18,0.83,0.163,0.250,0.459,0.00,1.73,0.58,0.096,,HD,5일
15,2020-06-06,SS,1,삼성,승리, 4:6,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,2,11,0.77,0.152,0.235,0.431,0.00,0.37,0.58,0.029,,,1일
16,2020-06-09,SS,0,LG,승리, 5:3,0,1.0,0,0,0.00,5,3,0,0,0,0,1,0,1,1,14,0.78,0.143,0.250,0.434,0.00,1.81,0.58,0.088,,,3일
17,2020-06-11,SS,0,LG,패배, 3:4,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,0,13,0.80,0.135,0.250,0.423,0.00,0.76,0.58,0.043,,,2일
