,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2014-06-06,SS,1,두산,승리, 10:15,0,2.0,3,3,3.00,11,7,1,0,0,1,4,0,0,1,54,2.50,0.143,0.455,1.026,13.50,0.03,-1.72,0.002,,,7+일
1,2014-06-25,SS,0,삼성,패배, 3:14,0,1.0,0,0,0.00,6,4,1,1,0,0,2,0,0,0,28,2.67,0.182,0.471,1.016,9.00,0.00,0.64,0.000,,,7+일
2,2014-06-27,SS,0,두산,패배, 2:8,0,1.0,1,1,1.00,6,5,2,0,0,0,1,0,0,0,21,2.75,0.250,0.478,0.978,9.00,0.03,-0.36,-0.002,,,2일
3,2014-07-29,SS,1,한화,승리, 3:18,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,0,16,2.40,0.250,0.444,0.894,7.20,0.02,0.64,0.000,,,7+일
4,2014-08-12,SS,0,롯데,승리, 10:1,0,1.0,0,0,0.00,5,4,1,1,0,0,1,0,0,1,22,2.33,0.250,0.438,0.896,6.00,0.00,0.64,0.000,,,7+일
5,2015-04-05,SS,1,SK,패배, 13:7,0,3.2,2,2,2.00,16,14,4,1,0,0,2,0,0,3,76,1.64,0.286,0.375,0.732,4.91,0.08,-1.34,-0.011,,,7+일
6,2015-04-08,SS,0,두산,패배, 4:9,0,3.1,0,0,0.00,12,10,1,0,0,0,2,0,0,2,50,1.29,0.208,0.321,0.571,2.57,0.51,2.09,0.078,,,3일
7,2015-04-24,SS,0,KT,승리, 9:2,0,1.0,0,0,0.00,4,4,1,0,1,0,0,0,0,1,11,1.25,0.214,0.313,0.634,2.25,0.03,0.61,0.001,,,7+일
8,2015-04-26,SS,0,KT,승리, 11:4,0,2.0,0,0,0.00,7,7,0,0,0,0,0,0,0,3,26,1.00,0.171,0.256,0.513,1.80,0.03,1.23,0.005,,,2일
9,2015-04-30,SS,1,롯데,패배, 4:2,0,1.0,1,1,1.00,4,4,1,0,0,1,0,0,0,3,21,1.00,0.179,0.256,0.589,2.45,0.39,-0.39,-0.071,,,4일
10,2015-05-05,SS,1,삼성,승리, 4:9,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,0,20,1.00,0.186,0.255,0.581,2.25,0.94,0.61,0.055,,W,5일
11,2015-05-06,SS,1,삼성,패배, 5:3,0,1.0,1,1,1.00,5,5,2,1,0,0,0,0,0,1,21,1.08,0.208,0.269,0.623,2.77,0.37,-0.39,-0.035,,,1일
12,2015-05-10,SS,1,KIA,패배, 11:6,1,5.0,2,0,2.00,22,20,5,1,0,0,2,0,0,4,103,1.17,0.221,0.284,0.622,2.00,1.08,1.06,-0.006,55,,4일
13,2015-05-16,SS,0,한화,승리, 8:5,1,2.2,3,3,3.00,15,9,3,0,0,0,4,0,1,0,62,1.35,0.234,0.326,0.664,3.05,1.35,-2.16,-0.151,36,,6일
14,2015-05-22,SS,1,NC,패배, 10:0,1,5.1,6,6,6.00,26,23,7,2,0,1,3,0,0,4,97,1.46,0.250,0.339,0.719,4.50,0.50,-2.96,-0.279,31,L,6일
15,2015-05-28,SS,0,삼성,승리, 13:6,1,4.0,5,4,5.00,19,14,5,1,0,1,2,0,0,1,71,1.50,0.263,0.346,0.758,5.10,1.26,-2.55,-0.349,33,,6일
16,2015-06-03,SS,1,한화,패배, 6:2,1,2.2,1,1,1.00,13,7,2,1,0,0,4,0,1,1,67,1.56,0.264,0.366,0.779,4.96,1.12,0.36,0.003,47,,6일
17,2015-06-06,SS,1,두산,승리, 8:9,0,1.0,0,0,0.00,5,4,1,0,0,0,1,0,0,0,18,1.57,0.264,0.367,0.775,4.81,0.11,0.61,0.004,,,3일
18,2015-06-07,SS,1,두산,패배, 9:4,0,1.1,3,3,2.65,10,8,4,1,0,1,1,0,0,1,29,1.66,0.278,0.375,0.819,5.40,0.23,-3.12,-0.033,,,1일
19,2015-06-19,SS,1,LG,패배, 4:2,0,5.1,0,0,0.00,20,16,1,0,0,0,4,0,0,1,90,1.56,0.255,0.361,0.764,4.69,0.82,3.04,0.238,,,7+일
20,2015-07-01,SS,1,삼성,패배, 13:10,0,0.2,1,1,0.65,3,1,0,0,0,0,1,0,0,0,11,1.56,0.253,0.363,0.763,4.83,1.69,-0.43,-0.074,,,7+일
21,2015-07-04,SS,0,두산,승리, 9:5,0,0.2,2,0,2.00,6,5,3,0,0,0,0,0,0,0,19,1.61,0.265,0.367,0.773,4.75,0.22,-1.87,-0.011,,,3일
22,2015-08-10,SS,0,삼성,승리, 12:3,0,1.0,3,3,3.00,6,6,3,0,0,1,0,0,0,2,24,1.64,0.273,0.371,0.800,5.27,0.01,-2.39,0.000,,,7+일
23,2015-08-13,SS,1,한화,승리, 4:9,0,1.0,0,0,0.00,5,4,1,0,0,0,0,0,1,0,16,1.63,0.273,0.372,0.796,5.15,0.11,0.61,0.006,,,3일
24,2015-08-18,SS,0,KT,패배, 5:15,0,4.2,10,10,10.85,26,23,9,2,0,2,3,0,0,4,92,1.72,0.287,0.382,0.845,6.52,0.17,-7.97,-0.132,,,5일
25,2015-09-01,SS,1,LG,승리, 2:11,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,12,1.68,0.283,0.377,0.832,6.39,0.01,0.61,0.001,,,7+일
26,2015-09-03,SS,0,한화,승리, 12:7,0,1.0,1,1,1.00,6,5,2,0,1,0,1,0,0,0,30,1.71,0.286,0.380,0.844,6.44,0.11,-0.39,0.003,,,2일
27,2018-04-13,SS,1,두산,패배, 12:0,0,1.0,3,3,3.50,7,6,3,0,1,0,1,0,0,0,28,4.00,0.500,0.571,1.404,27.00,0.08,-2.68,-0.011,,,7+일
28,2018-04-20,SS,0,한화,승리, 6:1,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,0,14,2.50,0.400,0.455,1.055,13.50,0.14,0.63,0.008,,,7일
29,2018-04-24,SS,0,LG,패배, 2:8,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,15,1.67,0.308,0.357,0.819,9.00,0.00,0.63,0.000,,,4일
30,2018-04-26,SS,0,LG,패배, 1:11,0,2.0,0,0,0.00,10,9,3,0,0,0,1,0,0,2,28,1.80,0.318,0.375,0.784,5.40,0.00,1.25,0.000,,,2일
31,2018-05-01,SS,0,NC,승리, 13:4,0,1.2,0,0,0.00,5,4,0,0,0,0,1,0,0,3,28,1.50,0.269,0.345,0.691,4.05,1.53,1.29,0.165,,W,5일
32,2018-05-02,SS,0,NC,패배, 8:13,0,2.0,2,2,2.00,9,9,3,1,0,1,0,0,0,2,40,1.50,0.286,0.342,0.799,5.19,0.11,-0.75,-0.028,,,1일
33,2018-05-05,SS,0,KT,승리, 10:1,0,1.0,0,0,0.00,3,3,1,0,0,0,0,0,0,0,11,1.45,0.289,0.341,0.788,4.66,0.14,0.63,0.006,,,3일
34,2018-05-09,SS,1,한화,패배, 4:1,0,1.0,2,2,2.00,5,5,2,1,0,1,0,0,0,1,14,1.50,0.302,0.348,0.883,5.91,0.34,-1.37,-0.092,,,4일
35,2018-05-11,SS,0,두산,승리, 10:5,0,1.0,0,0,0.00,5,4,1,0,0,0,1,0,0,1,20,1.54,0.298,0.353,0.864,5.40,0.24,0.63,0.008,,,2일
36,2018-05-17,SS,1,KIA,승리, 2:8,0,1.0,0,0,0.00,4,4,1,1,0,0,0,0,0,1,15,1.50,0.294,0.345,0.855,4.97,0.11,0.63,0.006,,,6일
37,2018-05-22,SS,0,SK,승리, 10:4,0,3.0,1,1,1.00,11,9,1,0,0,1,2,0,0,2,36,1.40,0.267,0.333,0.833,4.60,0.37,0.88,0.041,,SV,5일
38,2018-05-25,SS,1,롯데,승리, 2:13,0,1.0,0,0,0.00,4,4,1,1,0,0,0,0,0,0,13,1.38,0.266,0.329,0.829,4.32,0.01,-0.37,0.000,,,3일
39,2018-05-30,SS,0,KIA,승리, 6:1,0,0.0,0,0,0.00,2,2,2,0,0,0,0,0,0,0,9,1.50,0.288,0.347,0.862,4.32,0.99,-1.07,-0.089,,,5일
40,2018-06-03,SS,0,LG,패배, 0:8,0,2.1,0,0,0.00,9,8,1,1,0,0,1,0,0,2,36,1.42,0.270,0.333,0.819,3.79,0.35,1.37,0.050,,,4일
41,2018-06-06,SS,1,두산,패배, 7:3,0,2.0,1,0,1.00,8,8,3,0,0,0,0,0,0,0,18,1.43,0.280,0.337,0.813,3.43,0.17,0.25,-0.002,,,3일
42,2018-06-08,SS,0,KT,승리, 11:5,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,12,1.36,0.271,0.326,0.785,3.27,0.81,0.63,0.048,,,2일
