,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2020-09-07,SS,0,롯데,패배, 6:12,0,2.0,1,1,1.00,10,8,2,2,0,0,2,0,0,0,31,2.00,0.250,0.400,0.900,4.50,0.01,0.17,-0.001,,,7+일
1,2020-09-11,SS,1,키움,패배, 8:2,0,2.0,0,0,0.00,7,7,1,1,0,0,0,0,0,3,30,1.25,0.200,0.294,0.694,2.25,0.02,1.17,0.002,,,4일
2,2020-09-13,SS,1,삼성,패배, 11:0,0,3.0,1,1,1.00,13,11,3,0,1,0,1,0,0,2,53,1.29,0.231,0.300,0.723,2.57,0.00,0.75,-0.001,,,2일
3,2020-10-06,SS,1,삼성,패배, 3:2,1,5.0,1,1,1.00,18,15,1,0,0,0,1,0,1,4,78,0.92,0.171,0.250,0.543,2.25,1.08,1.92,0.177,64,,7+일
4,2020-10-11,SS,1,NC,승리, 3:7,1,4.0,3,3,3.00,21,17,5,0,0,0,4,0,0,4,85,1.25,0.207,0.304,0.597,3.38,1.51,-0.66,-0.164,40,,5일
5,2020-10-17,SS,1,KIA,승리, 8:11,1,2.1,3,2,3.00,13,9,1,0,0,1,4,0,0,1,64,1.36,0.194,0.317,0.630,3.93,1.29,-1.55,-0.176,42,,6일
6,2021-04-04,SS,1,KIA,승리, 1:4,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,1,0.00,0.000,0.000,0.000,0.00,0.93,0.22,0.026,,,7+일
7,2021-04-08,SS,1,삼성,패배, 6:1,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,2,17,0.75,0.000,0.200,0.200,0.00,0.07,0.55,0.004,,,4일
8,2021-04-11,SS,0,한화,패배, 2:3,0,0.0,1,1,0.50,1,0,0,0,0,0,1,0,0,0,6,1.50,0.000,0.333,0.333,6.75,2.36,-0.71,-0.093,,,3일
9,2021-06-24,SS,1,키움,패배, 2:1,0,0.1,1,1,0.50,3,2,1,0,0,0,1,0,0,0,15,2.40,0.167,0.444,0.611,10.80,2.39,-0.49,-0.081,,L,7+일
10,2021-06-25,SS,1,롯데,패배, 9:1,0,1.0,1,1,1.00,4,4,2,1,0,0,0,0,0,0,17,2.25,0.300,0.462,0.862,10.13,0.01,-0.45,0.000,,,1일
