,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2015-04-05,SS,0,KT,승리, 4:1,1,5.1,1,1,0.65,18,17,4,1,0,0,1,0,0,1,70,0.94,0.235,0.278,0.572,1.69,1.13,2.64,0.227,56,W,7+일
1,2015-04-11,SS,0,삼성,패배, 2:5,1,4.2,4,4,4.00,21,19,7,1,0,2,2,0,0,3,70,1.40,0.306,0.359,0.887,4.50,0.87,-1.30,-0.244,35,L,6일
2,2015-04-16,SS,0,LG,패배, 5:10,0,1.2,2,2,2.50,7,6,1,0,0,1,1,0,0,1,29,1.37,0.286,0.348,0.896,5.40,0.22,-1.57,-0.083,,,5일
3,2015-04-19,SS,1,넥센,패배, 15:4,1,2.0,5,5,4.50,12,11,6,4,0,1,0,0,0,1,49,1.61,0.340,0.386,1.065,7.90,0.82,-3.39,-0.300,25,L,3일
4,2015-04-24,SS,0,두산,패배, 3:7,1,4.2,5,5,5.00,25,21,7,1,1,0,2,0,1,4,84,1.69,0.338,0.390,1.012,8.35,0.80,-2.47,-0.285,32,L,5일
5,2015-05-22,SS,1,삼성,패배, 8:1,0,2.2,2,2,2.35,13,12,5,0,1,0,0,0,0,0,41,1.71,0.349,0.389,1.005,8.14,0.06,-0.41,-0.003,,,7+일
6,2015-07-09,SS,0,넥센,패배, 4:16,0,4.2,8,6,6.45,26,22,9,1,2,1,4,0,0,2,89,1.91,0.361,0.413,1.061,8.77,0.02,-3.67,-0.011,,,7+일
7,2015-08-28,SS,0,KT,패배, 0:10,0,2.0,5,5,5.00,11,10,5,1,0,2,0,0,0,3,40,1.95,0.373,0.417,1.112,9.76,0.03,-3.77,-0.012,,,7+일
8,2018-03-25,SS,1,KT,승리, 1:14,0,1.0,0,0,0.00,5,5,2,0,0,0,0,0,0,1,21,2.00,0.400,0.400,0.800,0.00,0.01,0.63,0.001,,,7+일
9,2018-03-27,SS,1,삼성,승리, 0:17,0,1.0,0,0,0.00,6,5,2,0,0,0,1,0,0,1,27,2.50,0.400,0.455,0.855,0.00,0.00,0.63,0.000,,,2일
10,2018-03-29,SS,1,삼성,승리, 0:7,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,2,17,2.00,0.308,0.400,0.708,0.00,0.03,0.63,0.001,,,2일
11,2018-04-03,SS,0,SK,패배, 3:13,0,4.2,3,3,3.70,21,20,6,0,0,3,1,0,0,4,80,1.70,0.303,0.361,0.937,3.52,0.02,-0.83,-0.022,,,5일
12,2018-04-12,SS,0,한화,패배, 4:15,0,4.2,8,8,8.00,25,23,10,3,0,1,1,0,1,3,83,1.95,0.357,0.410,1.035,8.03,0.04,-5.15,-0.006,,,7+일
13,2018-04-20,SS,0,두산,패배, 4:6,0,1.0,0,0,0.00,3,3,1,0,0,0,0,0,0,0,19,1.88,0.356,0.406,1.016,7.43,0.06,0.63,0.003,,,7+일
14,2018-05-25,SS,0,NC,승리, 14:2,0,2.1,0,0,0.00,9,8,2,0,0,0,1,0,0,3,38,1.79,0.343,0.397,0.964,6.32,0.00,0.54,0.000,,,7+일
15,2018-05-30,SS,1,넥센,패배, 6:1,0,2.0,1,1,1.00,8,8,2,0,0,1,0,0,0,1,27,1.70,0.333,0.383,0.956,6.11,0.10,0.25,-0.002,,,5일
16,2018-06-17,SS,0,LG,패배, 6:9,0,2.0,0,0,0.00,8,6,1,0,0,0,2,0,0,3,30,1.68,0.321,0.382,0.925,5.49,0.38,1.25,0.040,,,7+일
17,2018-06-21,SS,1,NC,패배, 7:4,0,2.0,0,0,0.00,6,5,0,0,0,0,1,0,0,0,13,1.57,0.302,0.368,0.880,4.98,0.17,1.25,0.023,,,4일
18,2018-06-24,SS,0,넥센,승리, 14:10,0,2.0,0,0,0.50,7,7,1,1,0,0,0,0,0,2,21,1.48,0.290,0.353,0.848,4.56,0.62,1.33,0.020,,,3일
19,2018-06-30,SS,0,두산,패배, 2:12,0,4.0,3,3,3.00,18,18,6,1,0,1,0,0,0,3,52,1.48,0.297,0.350,0.855,4.88,0.01,-0.49,-0.003,,,6일
20,2018-07-08,SS,1,LG,패배, 8:1,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,22,1.47,0.289,0.347,0.838,4.71,0.21,0.63,0.015,,,7+일
21,2018-07-10,SS,0,NC,패배, 6:8,0,3.1,0,0,0.00,10,9,0,0,0,0,1,0,0,2,39,1.34,0.268,0.328,0.783,4.22,0.21,1.85,0.050,,,2일
22,2018-07-19,SS,1,삼성,패배, 6:2,0,2.2,0,0,0.00,10,10,2,0,0,0,0,0,0,2,30,1.30,0.263,0.319,0.755,3.89,0.64,2.65,0.118,,,7+일
23,2018-07-22,SS,1,KT,패배, 6:5,0,1.1,3,3,3.00,8,7,3,0,0,2,1,0,0,2,38,1.36,0.271,0.329,0.808,4.50,1.10,-2.40,-0.408,BLHD,L,3일
24,2018-07-25,SS,0,한화,승리, 11:3,0,2.0,0,0,0.00,8,8,2,0,0,0,0,0,0,3,30,1.34,0.270,0.325,0.791,4.26,0.06,1.25,0.002,,,3일
25,2018-07-27,SS,0,삼성,패배, 10:11,0,0.2,1,1,2.20,5,3,1,1,0,0,2,1,0,1,16,1.40,0.272,0.333,0.803,4.42,6.98,-0.30,-0.675,BLSV,L,2일
