,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2010-03-28,SS,1,넥센,패배, 11:3,0,1.0,2,2,0.00,7,6,3,0,0,2,1,0,0,1,28,4.00,0.500,0.571,2.071,18.00,,,,,,7+일
1,2010-03-30,SS,0,한화,패배, 3:13,0,1.0,3,3,0.00,7,4,2,0,0,0,2,0,1,2,35,4.00,0.500,0.643,1.743,22.50,,,,,,2일
2,2016-05-11,SS,1,넥센,패배, 16:2,0,4.1,6,6,6.50,22,18,5,1,0,2,4,0,0,8,86,2.08,0.278,0.409,1.076,12.46,0.03,-4.04,-0.045,,,7+일
3,2016-05-29,SS,0,한화,패배, 2:9,0,2.1,0,0,0.00,8,7,0,0,0,0,1,0,0,3,37,1.50,0.200,0.333,0.813,8.10,0.01,1.68,0.001,,,7+일
4,2016-06-05,SS,1,NC,패배, 14:7,0,1.0,1,1,0.65,4,2,0,0,0,0,1,0,0,0,12,1.43,0.185,0.324,0.768,8.22,0.17,1.07,-0.004,,,7일
5,2016-06-10,SS,0,두산,패배, 3:5,0,2.1,0,0,0.00,7,7,0,0,0,0,0,0,0,1,29,1.10,0.147,0.268,0.621,6.30,0.23,1.42,0.041,,,5일
6,2016-06-11,SS,0,두산,승리, 10:8,0,1.1,0,0,0.00,5,4,0,0,0,0,1,0,0,1,25,1.06,0.132,0.261,0.577,5.56,0.69,0.63,0.006,,,1일
7,2016-06-15,SS,0,넥센,승리, 11:6,0,1.0,0,0,0.00,4,4,1,1,0,0,0,0,0,2,16,1.05,0.143,0.260,0.593,5.11,0.23,0.64,0.008,,,4일
8,2016-06-16,SS,0,넥센,패배, 7:10,0,0.1,0,0,0.00,2,2,1,0,0,0,0,0,0,0,5,1.11,0.159,0.269,0.610,4.97,0.09,0.13,0.002,,,1일
9,2016-06-18,SS,1,SK,패배, 4:0,0,1.0,0,0,0.00,4,4,1,0,1,0,0,0,0,2,16,1.10,0.167,0.268,0.643,4.61,0.06,0.64,0.004,,,2일
10,2016-06-21,SS,0,KIA,패배, 6:9,0,0.2,2,2,3.05,6,6,4,1,0,0,0,0,0,1,27,1.33,0.222,0.306,0.732,5.65,1.32,-2.60,-0.306,BLHD,L,3일
11,2016-06-22,SS,0,KIA,승리, 18:5,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,2,11,1.24,0.211,0.292,0.696,5.28,0.00,0.64,0.000,,,1일
12,2016-06-25,SS,0,한화,패배, 1:8,0,2.1,1,1,0.30,11,10,3,0,0,0,1,0,0,1,38,1.30,0.224,0.303,0.691,5.09,0.27,1.27,0.028,,,3일
13,2016-06-30,SS,1,삼성,승리, 6:7,0,1.0,1,1,0.50,8,4,1,1,0,0,2,0,1,0,32,1.39,0.225,0.325,0.719,5.30,0.28,-0.46,-0.010,,,5일
14,2016-07-06,SS,0,NC,패배, 3:12,0,1.0,4,4,4.00,8,8,5,1,0,0,0,0,0,0,23,1.58,0.266,0.352,0.782,6.86,0.06,-3.36,-0.012,,,6일
15,2016-07-09,SS,1,LG,승리, 12:13,0,1.0,0,0,0.00,5,3,0,0,0,0,2,1,0,2,22,1.60,0.256,0.354,0.769,6.53,3.37,0.64,0.137,,W,3일
16,2016-07-12,SS,0,삼성,패배, 4:8,0,1.2,0,0,0.00,5,5,0,0,0,0,0,0,0,1,20,1.48,0.241,0.337,0.728,6.04,0.04,1.00,0.005,,,3일
17,2016-07-13,SS,0,삼성,승리, 13:12,0,1.1,0,0,0.00,6,4,0,0,0,0,1,0,1,1,24,1.44,0.231,0.336,0.710,5.70,0.14,0.78,0.006,,,1일
18,2016-07-19,SS,1,KIA,패배, 6:1,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,1,5,1.40,0.226,0.330,0.696,5.55,0.13,0.66,0.007,,,6일
19,2016-07-22,SS,1,한화,승리, 2:10,0,1.0,1,1,1.00,6,5,2,0,0,1,1,0,0,3,32,1.46,0.235,0.339,0.737,5.68,0.00,-0.36,0.000,,,3일
