,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2015-03-28,SS,0,롯데,패배, 9:12,0,0.2,0,0,0.00,2,1,0,0,0,0,1,0,0,1,16,1.50,0.000,0.500,0.500,0.00,0.53,0.64,0.018,,,7+일
1,2015-03-31,SS,1,삼성,패배, 8:6,0,1.1,0,0,0.00,6,6,2,1,0,0,0,0,0,0,21,1.50,0.286,0.375,0.804,0.00,0.41,0.40,0.016,,,3일
2,2015-04-03,SS,1,KIA,패배, 5:0,0,0.2,0,0,0.00,3,2,0,0,0,0,1,0,0,1,14,1.50,0.222,0.364,0.697,0.00,0.76,1.12,0.034,,,3일
3,2015-04-04,SS,1,KIA,패배, 10:2,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,0,7,1.20,0.182,0.308,0.581,0.00,0.41,0.82,0.021,,,1일
4,2015-04-05,SS,1,KIA,패배, 4:1,0,0.1,1,1,1.00,4,2,2,0,0,0,1,0,0,0,12,1.91,0.308,0.438,0.823,2.45,1.60,-1.75,-0.170,,,1일
5,2015-04-07,SS,0,SK,패배, 2:3,0,0.1,0,0,0.00,2,1,0,0,0,0,1,0,0,0,11,2.00,0.286,0.444,0.801,2.25,0.91,0.36,0.023,,,2일
6,2015-04-09,SS,0,SK,패배, 2:13,0,2.2,2,2,2.00,11,8,1,0,0,0,3,0,0,3,47,1.80,0.227,0.414,0.687,4.05,0.43,-0.66,-0.026,,,2일
7,2015-04-14,SS,1,두산,패배, 18:2,0,1.0,3,3,1.45,7,6,3,2,0,0,1,0,0,1,23,2.09,0.286,0.444,0.837,7.04,0.54,-1.60,-0.050,,,5일
8,2015-04-15,SS,1,두산,패배, 7:6,0,2.2,1,1,1.00,12,9,3,0,0,0,1,1,1,1,41,1.94,0.297,0.438,0.816,6.10,3.32,0.86,-0.025,,L,1일
9,2015-04-18,SS,0,삼성,패배, 1:3,0,0.1,0,0,0.00,2,2,1,0,0,0,0,0,0,0,7,1.97,0.308,0.440,0.825,5.91,0.66,-0.02,-0.001,,,3일
10,2015-04-21,SS,1,SK,패배, 9:3,0,1.0,1,1,2.20,6,5,2,0,0,0,1,0,0,0,24,2.06,0.318,0.446,0.832,6.17,2.51,-1.33,-0.180,,,3일
11,2015-04-25,SS,1,넥센,패배, 3:0,0,1.0,0,0,0.00,3,2,0,0,0,0,1,0,0,1,15,1.97,0.304,0.441,0.811,5.68,0.27,0.61,0.015,,,4일
12,2015-04-28,SS,0,두산,패배, 2:6,0,1.0,0,0,0.35,4,3,0,0,0,0,1,0,0,0,16,1.90,0.286,0.429,0.776,5.27,0.75,1.14,0.008,,,3일
13,2015-04-30,SS,0,두산,패배, 3:4,0,0.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,3,1.81,0.280,0.422,0.762,5.02,0.83,1.12,0.039,,,2일
14,2015-05-01,SS,1,NC,패배, 4:2,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,5,1.77,0.275,0.415,0.748,4.91,0.57,0.48,0.015,,,1일
15,2015-05-05,SS,0,한화,패배, 8:15,0,0.0,1,1,1.15,1,1,1,0,0,0,0,0,0,0,4,1.84,0.288,0.424,0.770,5.52,2.57,-1.12,-0.161,,,4일
16,2015-05-08,SS,1,LG,승리, 3:7,0,0.1,1,1,1.00,2,2,1,0,0,1,0,0,0,0,7,1.87,0.296,0.426,0.833,6.00,0.38,-0.71,-0.005,,,3일
