,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2023-10-05,SS,1,LG,패배, 5:3,0,2.0,0,0,0.00,6,6,0,0,0,0,0,0,0,2,28,0.00,0.000,0.000,0.000,0.00,0.07,1.05,0.011,,,7+일
1,2023-10-09,SS,0,LG,승리, 8:1,0,1.0,0,0,0.00,4,3,1,0,0,0,1,0,0,1,16,0.67,0.111,0.200,0.311,0.00,0.06,0.52,0.001,,,4일
2,2023-10-12,SS,0,KIA,패배, 5:6,1,3.0,5,4,3.45,19,14,5,1,0,0,3,0,1,2,73,1.67,0.261,0.393,0.697,6.00,1.45,-2.30,-0.272,30,,3일
3,2024-03-24,SS,0,SSG,패배, 6:7,0,0.0,1,1,0.65,3,0,0,0,0,0,2,0,1,0,13,-,0.000,1.000,1.000,-,0.03,-1.97,-0.003,,,7+일
4,2024-04-05,SS,1,KT,패배, 8:7,0,0.1,0,0,0.00,2,1,0,0,0,0,1,0,0,0,9,9.00,0.000,0.800,0.800,27.00,1.12,0.39,0.028,,,7+일
5,2024-04-21,SS,0,SSG,승리, 10:8,0,1.0,0,0,0.00,3,2,0,0,0,0,1,0,0,0,11,3.00,0.000,0.625,0.625,6.75,0.30,0.61,0.017,,W,7+일
6,2024-04-21,SS,0,SSG,패배, 5:5,0,0.0,1,1,0.50,2,1,1,0,0,0,0,0,1,0,10,3.75,0.250,0.700,0.950,13.50,1.92,-1.02,-0.138,,,0일
7,2024-04-23,SS,0,삼성,패배, 3:7,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,0,14,2.57,0.143,0.571,0.714,7.71,0.09,0.54,0.006,,,2일
8,2024-04-26,SS,1,KIA,승리, 6:7,0,0.2,1,1,1.00,6,4,2,1,0,0,0,0,2,1,19,2.67,0.273,0.600,0.964,9.00,1.34,-1.29,-0.135,,,3일
9,2024-04-28,SS,1,KIA,패배, 10:7,0,1.0,1,0,1.00,6,4,1,0,0,0,1,0,1,1,21,2.50,0.267,0.577,0.910,6.75,0.36,-0.39,-0.033,,,2일
10,2024-04-30,SS,0,NC,패배, 0:8,0,1.0,0,0,0.00,3,2,0,0,0,0,1,0,0,1,12,2.20,0.235,0.552,0.846,5.40,0.04,0.61,0.002,,,2일
11,2024-05-07,SS,1,SSG,패배, 4:2,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,18,1.83,0.200,0.500,0.750,4.50,0.23,0.61,0.017,,,7일
12,2024-05-14,SS,1,키움,패배, 5:0,0,1.0,1,0,1.00,6,5,2,0,0,0,1,0,0,1,27,2.00,0.240,0.500,0.780,3.86,0.18,-0.39,-0.014,,,7일
13,2024-05-19,SS,0,KT,패배, 4:10,0,1.0,1,1,1.00,4,4,1,0,0,0,0,0,0,1,20,1.88,0.241,0.476,0.752,4.50,0.03,-0.39,-0.003,,,5일
14,2024-06-09,SS,0,KT,패배, 2:11,0,2.0,0,0,0.70,8,8,3,0,0,0,0,0,0,2,27,1.80,0.270,0.460,0.757,3.60,0.06,0.67,-0.002,,,7+일
15,2024-06-11,SS,0,삼성,패배, 4:6,0,0.2,0,0,0.00,4,3,1,0,0,0,0,0,1,2,16,1.78,0.275,0.463,0.763,3.38,0.61,0.10,0.000,,,2일
16,2024-09-21,SS,1,두산,패배, 14:7,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,8,1.63,0.256,0.439,0.718,3.09,0.00,0.61,0.000,,,7+일
