,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2021-04-21,SS,0,삼성,패배, 4:14,0,2.1,3,0,3.00,12,10,3,0,0,0,1,0,0,1,47,1.71,0.300,0.333,0.633,0.00,0.02,-1.67,-0.008,,,7+일
1,2021-04-27,SS,1,KT,패배, 14:5,0,1.2,1,1,1.70,9,7,2,0,0,0,2,0,0,1,41,2.00,0.294,0.381,0.675,2.25,0.00,-0.86,0.000,,,6일
2,2021-05-08,SS,1,키움,패배, 9:2,0,1.0,3,3,3.00,6,6,3,0,0,2,0,0,0,1,26,2.20,0.348,0.407,1.016,7.20,0.01,-2.45,-0.007,,,7+일
3,2022-06-02,SS,0,SSG,승리, 14:1,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,10,0.00,0.000,0.000,0.000,0.00,0.00,0.51,0.000,,,7+일
4,2022-06-04,SS,1,KIA,승리, 3:4,0,1.1,0,0,0.00,5,4,0,0,0,0,1,0,0,0,17,0.43,0.000,0.125,0.125,0.00,0.98,0.60,0.055,,HD,2일
5,2022-06-05,SS,1,KIA,패배, 2:2,0,0.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,5,0.38,0.000,0.125,0.125,0.00,2.28,0.20,0.051,,,1일
6,2022-06-07,SS,0,키움,패배, 0:3,0,2.0,0,0,0.00,8,7,1,0,0,0,1,0,0,2,30,0.64,0.071,0.188,0.259,0.00,0.56,0.94,0.064,,,2일
7,2022-06-09,SS,0,키움,승리, 7:1,0,1.0,0,0,0.00,5,5,2,0,0,0,0,0,0,0,17,0.88,0.158,0.238,0.396,0.00,0.44,-0.49,0.014,,,2일
8,2022-06-12,SS,0,롯데,패배, 0:13,0,0.2,0,0,1.20,3,3,1,1,0,0,0,0,0,2,18,0.95,0.182,0.250,0.477,0.00,0.14,-1.04,-0.014,,,3일
9,2022-06-14,SS,1,SSG,승리, 4:5,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,1,4,0.90,0.174,0.240,0.457,0.00,1.24,0.41,0.029,,W,2일
10,2022-06-15,SS,1,SSG,승리, 3:6,0,1.0,0,0,1.20,4,4,1,1,0,0,0,0,0,1,12,0.91,0.185,0.241,0.500,0.00,1.37,-0.36,-0.001,,W,1일
