,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2015-09-24,SS,1,두산,패배, 10:6,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,0,11,0.00,0.000,0.000,0.000,0.00,0.11,1.15,0.011,,,7+일
1,2015-09-30,SS,1,KIA,패배, 13:1,0,0.0,2,0,0.80,2,1,0,0,0,0,1,0,0,0,11,0.75,0.000,0.167,0.167,0.00,0.06,-1.06,-0.004,,,6일
2,2016-04-21,SS,1,한화,패배, 9:5,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,1,0.00,0.000,0.000,0.000,0.00,0.12,0.64,0.004,,,7+일
3,2016-05-20,SS,1,두산,패배, 19:5,0,2.1,6,6,4.45,13,9,3,0,0,1,4,0,0,0,54,2.63,0.300,0.500,1.100,20.25,0.07,-3.88,-0.037,,,7+일
4,2017-06-23,SS,0,두산,패배, 1:9,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,10,0.00,0.000,0.000,0.000,0.00,0.00,0.61,0.000,,,7+일
5,2017-06-27,SS,1,LG,승리, 10:11,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,3,0.00,0.000,0.000,0.000,0.00,0.05,0.62,0.002,,,4일
6,2017-07-09,SS,1,SK,패배, 6:0,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,2,18,0.43,0.125,0.125,0.250,0.00,0.01,0.61,0.001,,,7+일
7,2019-03-23,SS,1,키움,패배, 7:4,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,7,0.00,0.000,0.000,0.000,0.00,0.11,0.52,0.008,,,7+일
8,2019-03-27,SS,1,삼성,패배, 23:4,0,0.2,1,1,0.65,5,4,2,1,0,0,1,0,0,1,15,1.80,0.286,0.375,0.804,5.40,0.70,-0.50,-0.035,,,4일
9,2019-03-28,SS,1,삼성,패배, 12:7,0,0.2,2,0,2.70,6,3,1,0,0,0,2,1,0,0,22,2.57,0.300,0.429,0.829,3.86,0.17,-2.47,-0.030,,,1일
10,2019-06-27,SS,1,KT,패배, 10:2,0,1.2,0,0,0.70,8,8,3,0,0,0,0,0,0,1,31,2.25,0.333,0.409,0.798,2.25,0.01,0.05,-0.001,,,7+일
11,2019-07-02,SS,0,SK,패배, 1:10,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,1,5,1.93,0.300,0.375,0.725,1.93,0.00,0.42,0.000,,,5일
12,2019-07-03,SS,0,SK,패배, 5:8,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,17,1.59,0.261,0.333,0.637,1.59,0.33,1.20,0.023,,,1일
13,2019-07-05,SS,0,키움,패배, 1:14,0,3.0,1,1,1.00,14,11,2,1,0,0,3,0,0,3,53,1.62,0.235,0.341,0.635,2.08,0.00,0.56,0.000,,,2일
14,2019-07-11,SS,1,NC,패배, 4:0,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,8,1.45,0.216,0.318,0.588,1.86,0.15,0.52,0.012,,,6일
15,2019-07-14,SS,1,두산,패배, 8:2,0,0.0,2,2,1.15,3,1,1,0,0,0,2,0,0,0,9,1.76,0.237,0.362,0.651,3.72,0.08,-2.10,-0.009,,,3일
16,2020-05-16,SS,0,LG,패배, 1:3,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,18,0.00,0.000,0.000,0.000,0.00,0.08,0.58,0.006,,,7+일
