,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2020-05-05,SS,0,LG,패배, 2:8,0,0.1,1,1,2.55,3,2,1,1,0,0,1,0,0,1,15,6.00,0.500,0.667,1.667,27.00,0.11,-3.11,-0.024,,,7+일
1,2020-06-09,SS,0,NC,패배, 8:12,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,2,19,2.25,0.333,0.429,0.929,6.75,0.07,0.58,0.003,,,7+일
2,2020-06-11,SS,0,NC,패배, 5:7,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,2,16,1.13,0.200,0.273,0.573,3.38,0.08,1.10,0.008,,,2일
3,2020-06-14,SS,0,한화,패배, 2:3,0,1.1,0,0,0.35,5,4,0,0,0,0,1,0,0,1,18,1.00,0.143,0.250,0.464,2.25,0.95,0.48,0.008,,,3일
4,2020-06-17,SS,1,삼성,패배, 6:3,0,0.2,0,0,0.85,3,3,1,0,0,0,0,0,0,1,16,1.07,0.176,0.263,0.498,1.93,0.73,-0.49,-0.059,,,3일
5,2020-06-19,SS,0,LG,승리, 18:10,0,1.1,1,1,1.00,6,6,2,0,0,0,0,0,0,2,27,1.17,0.217,0.280,0.541,3.00,0.02,-0.30,0.001,,,2일
6,2020-06-23,SS,0,SK,승리, 9:2,0,1.0,0,0,0.00,5,5,3,0,0,0,0,0,0,1,18,1.43,0.286,0.333,0.654,2.57,0.07,0.58,0.004,,,4일
7,2020-06-25,SS,0,SK,승리, 14:6,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,2,10,1.25,0.258,0.303,0.593,2.25,0.05,0.58,0.004,,,2일
8,2020-06-26,SS,1,NC,패배, 9:3,0,1.0,3,3,2.30,8,6,4,0,0,0,1,0,0,1,28,1.67,0.324,0.375,0.726,5.00,1.42,-1.77,-0.179,,,1일
9,2020-06-28,SS,1,NC,패배, 5:0,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,0,20,1.60,0.317,0.364,0.705,4.50,0.47,0.58,0.024,,,2일
10,2020-07-01,SS,0,키움,승리, 14:5,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,0,8,1.55,0.295,0.354,0.672,4.09,0.01,0.58,0.000,,,3일
11,2020-07-02,SS,0,키움,패배, 7:10,0,1.2,0,0,0.00,7,6,1,0,0,0,1,0,0,1,23,1.50,0.280,0.345,0.645,3.55,1.53,1.17,0.144,,,1일
12,2020-07-05,SS,1,한화,승리, 4:7,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,2,20,1.46,0.278,0.339,0.635,3.29,2.29,0.58,0.096,,HD,3일
13,2020-07-07,SS,1,LG,승리, 6:9,0,0.2,1,1,1.70,4,3,1,0,1,0,1,0,0,1,21,1.53,0.281,0.349,0.682,3.77,0.88,-1.20,-0.031,,,2일
14,2020-07-14,SS,1,SK,패배, 12:7,0,0.2,3,3,1.45,5,4,2,0,0,0,0,0,1,1,22,1.60,0.295,0.368,0.712,5.40,0.99,-1.04,-0.034,,,7일
15,2020-07-16,SS,1,SK,승리, 2:4,0,2.0,0,0,0.00,7,6,0,0,0,0,1,0,0,1,29,1.47,0.269,0.347,0.660,4.76,0.92,1.17,0.094,,HD,2일
16,2020-07-18,SS,0,KIA,승리, 6:0,0,1.2,0,0,0.00,7,5,1,0,0,0,2,0,0,0,28,1.50,0.264,0.354,0.660,4.34,0.65,0.93,0.044,,,2일
17,2020-07-21,SS,1,키움,승리, 1:6,0,1.0,0,0,0.00,5,5,2,0,0,0,0,0,0,0,20,1.53,0.273,0.356,0.668,4.12,0.09,0.58,0.006,,,3일
18,2020-07-25,SS,1,LG,승리, 3:7,0,0.1,2,2,1.65,4,4,3,2,0,0,0,0,0,1,11,1.65,0.296,0.374,0.732,4.95,1.23,-1.93,-0.139,,,4일
19,2020-07-28,SS,1,키움,패배, 6:2,0,0.2,0,0,0.50,4,2,0,0,0,0,1,0,1,1,18,1.65,0.289,0.379,0.728,4.79,0.28,0.07,-0.010,,,3일
20,2020-07-30,SS,1,키움,패배, 8:5,0,0.2,0,0,0.50,2,2,1,0,0,0,0,0,0,0,3,1.64,0.294,0.381,0.734,4.64,0.30,-0.16,-0.026,,,2일
21,2020-07-31,SS,0,NC,패배, 7:10,0,0.0,0,0,0.00,1,0,0,0,0,0,0,0,1,0,4,1.64,0.294,0.388,0.741,4.64,1.11,-0.28,-0.026,,,1일
22,2020-08-04,SS,1,삼성,패배, 6:3,0,0.2,0,0,0.50,3,2,0,0,0,0,1,0,0,1,18,1.64,0.287,0.386,0.731,4.50,0.65,0.07,-0.022,,,4일
23,2020-08-05,SS,1,삼성,패배, 2:2,0,0.2,0,0,0.00,4,3,1,0,0,0,1,0,0,1,17,1.68,0.289,0.390,0.734,4.37,1.68,0.06,0.013,,,1일
24,2020-08-07,SS,1,롯데,패배, 8:4,0,0.1,1,1,1.00,4,2,1,0,0,1,1,0,1,1,15,1.74,0.293,0.404,0.784,4.70,0.10,-1.48,-0.021,,,2일
25,2020-08-14,SS,1,KT,패배, 5:3,0,0.1,0,0,0.00,2,2,1,0,0,0,0,0,0,0,10,1.76,0.298,0.405,0.788,4.63,0.79,0.00,-0.001,,,7일
26,2020-08-15,SS,1,KT,승리, 5:7,0,2.1,0,0,0.00,9,7,0,0,0,0,2,0,0,1,34,1.68,0.277,0.392,0.748,4.21,0.68,1.62,0.094,,W,1일
27,2020-08-18,SS,0,롯데,승리, 9:2,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,12,1.61,0.269,0.382,0.728,4.05,0.08,0.58,0.006,,,3일
28,2020-08-20,SS,1,롯데,패배, 6:5,0,0.2,0,0,0.00,3,2,0,0,0,0,1,0,0,1,12,1.61,0.264,0.381,0.721,3.95,1.26,0.58,0.053,,,2일
29,2020-08-21,SS,1,롯데,승리, 0:1,0,1.1,0,0,0.00,6,4,0,0,0,0,2,1,0,1,25,1.60,0.255,0.379,0.706,3.77,2.77,0.76,0.143,,,1일
30,2020-08-22,SS,0,SK,승리, 8:1,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,1,5,1.59,0.252,0.376,0.700,3.72,0.21,0.62,0.006,,,1일
31,2020-08-25,SS,1,KIA,승리, 8:10,0,1.0,0,0,0.35,3,2,0,0,0,0,1,0,0,0,13,1.57,0.248,0.375,0.694,3.60,2.23,1.70,0.121,,,3일
32,2020-08-26,SS,1,KIA,패배, 7:5,0,0.0,3,3,2.15,4,2,2,0,0,0,2,0,0,0,20,1.70,0.261,0.393,0.723,4.50,0.94,-3.11,-0.134,,,1일
33,2020-08-29,SS,0,LG,패배, 5:5,0,0.2,1,1,1.50,3,3,1,0,0,1,0,0,0,0,8,1.70,0.263,0.392,0.748,4.70,1.67,-1.16,-0.243,,,3일
34,2020-09-04,SS,0,삼성,패배, 5:12,0,1.0,1,1,1.00,6,5,2,0,0,0,1,0,0,1,34,1.74,0.268,0.396,0.754,4.83,0.01,-0.42,-0.001,,,6일
35,2020-09-16,SS,1,NC,패배, 5:3,0,0.1,0,0,0.00,3,1,0,0,0,0,2,0,0,1,14,1.78,0.266,0.401,0.756,4.78,0.39,-0.48,-0.011,,,7+일
36,2020-10-15,SS,1,한화,승리, 3:16,0,1.0,1,1,1.00,5,4,1,0,0,1,0,0,1,3,23,1.76,0.266,0.401,0.776,4.91,0.00,-0.42,0.000,,,7+일
37,2021-04-07,SS,0,KT,패배, 3:7,0,0.2,1,1,2.20,5,4,2,0,0,0,1,0,0,0,16,4.50,0.500,0.600,1.100,13.50,0.53,-1.96,-0.097,,,7+일
38,2021-05-11,SS,0,KIA,패배, 1:7,0,1.0,0,0,0.00,4,4,2,1,0,0,0,0,0,1,16,3.00,0.500,0.556,1.181,5.40,0.06,0.55,0.003,,,7+일
39,2021-05-15,SS,1,삼성,승리, 4:14,0,1.1,3,1,2.65,9,6,1,0,0,0,3,0,0,1,32,3.00,0.357,0.500,0.929,6.00,0.00,-2.07,0.000,,,4일
40,2021-05-19,SS,1,NC,승리, 5:6,0,2.0,1,1,1.00,10,7,1,1,0,0,3,0,0,1,37,2.60,0.286,0.464,0.845,5.40,0.20,0.11,-0.013,,,4일
41,2021-05-22,SS,0,SSG,패배, 3:8,0,1.0,1,1,1.00,6,3,1,0,0,0,2,0,0,1,29,2.67,0.292,0.471,0.846,6.00,0.07,-0.45,-0.006,,,3일
42,2021-05-23,SS,0,SSG,패배, 0:8,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,0,15,2.43,0.259,0.447,0.780,5.14,0.00,0.55,0.000,,,1일
43,2021-09-23,SS,1,삼성,패배, 7:4,0,1.0,0,0,0.00,6,6,2,0,0,0,0,0,0,2,20,2.38,0.273,0.432,0.765,4.50,0.05,0.55,0.002,,,7+일
44,2021-09-30,SS,1,두산,승리, 4:12,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,11,2.22,0.250,0.417,0.723,4.00,0.01,0.55,0.000,,,7일
45,2021-10-02,SS,0,키움,승리, 10:3,0,2.0,1,1,1.00,9,8,3,2,0,0,1,0,0,2,36,2.18,0.273,0.421,0.785,4.09,0.21,0.11,0.005,,,2일
46,2021-10-05,SS,1,SSG,패배, 8:0,0,3.0,1,1,1.00,14,12,3,1,0,0,2,0,0,3,55,2.07,0.268,0.408,0.765,3.86,0.04,0.66,-0.006,,,3일
47,2021-10-11,SS,1,KT,패배, 4:2,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,15,2.00,0.254,0.400,0.739,3.60,0.50,0.55,0.028,,,6일
48,2021-10-14,SS,0,롯데,승리, 13:3,0,1.0,0,0,0.35,5,3,0,0,0,0,2,0,0,2,24,2.00,0.242,0.400,0.723,3.38,0.00,0.93,0.000,,,3일
49,2021-10-20,SS,1,키움,패배, 6:5,0,0.1,0,0,0.00,4,1,0,0,0,0,3,0,0,0,20,2.14,0.238,0.417,0.734,3.31,0.30,-1.01,-0.019,,,6일
50,2021-10-27,SS,0,한화,승리, 9:1,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,3,14,2.02,0.227,0.402,0.705,3.12,0.01,0.55,0.001,,,7일
51,2022-10-02,SS,1,NC,패배, 2:0,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,2,15,0.00,0.000,0.000,0.000,0.00,0.68,0.51,0.052,,,7+일
52,2022-10-04,SS,1,KIA,패배, 8:3,0,1.0,0,0,0.00,4,3,0,0,0,0,0,0,1,0,8,0.00,0.000,0.143,0.143,0.00,0.02,0.51,0.001,,,2일
53,2022-10-06,SS,0,KIA,패배, 3:4,0,1.0,0,0,0.00,3,3,1,0,0,0,0,0,0,0,6,0.33,0.111,0.200,0.311,0.00,2.53,0.51,0.108,,HD,2일
54,2023-06-10,SS,0,한화,패배, 0:7,0,0.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,5,0.00,0.000,0.000,0.000,0.00,0.01,1.67,0.001,,,7+일
